;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7581 are extrapolated until 7609 (30:09:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Tue Aug 09 18:22:49 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00029612 ;ratio_vir2PMO6V (f10.8)
0.99970693 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
     664     1.0506    -0.3356
     667     1.1015    -0.3197
     670     1.1524    -0.3039
     673     1.2033    -0.2904
     676     1.2586    -0.2781
     679     1.2216    -0.2921
     682     1.2004    -0.2855
     685     1.2282    -0.2626
     688     1.2559    -0.3102
     691     1.2370    -0.2370
     694     1.3203    -0.2715
     697     1.2189    -0.2998
     700     1.2379    -0.3197
     703     1.2568    -0.2494
     706     1.2755    -0.2240
     709     1.2941    -0.2510
     712     1.3618    -0.2702
     715     1.4023    -0.2096
     718     1.3424    -0.2574
     721     1.3608    -0.2232
     724     1.3793    -0.2300
     727     1.3770    -0.2159
     730     1.3747    -0.2414
     733     1.3724    -0.2968
     736     1.3920    -0.2444
     739     1.4846    -0.2527
     742     1.4907    -0.2378
     745     1.4180    -0.2763
     748     1.4678    -0.2294
     751     1.4472    -0.2370
     754     1.4970    -0.2651
     757     1.4799    -0.2522
     760     1.4959    -0.1960
     763     1.4732    -0.2344
     766     1.4563    -0.2292
     769     1.5436    -0.2682
     772     1.5479    -0.2463
     775     1.6142    -0.2378
     778     1.6594    -0.2023
     781     1.5972    -0.2226
     784     1.6147    -0.2217
     787     1.6381    -0.2173
     790     1.6614    -0.2130
     793     1.6357    -0.2337
     796     1.6641    -0.2599
     799     1.6730    -0.2436
     802     1.7198    -0.2257
     805     1.7234    -0.2172
     808     1.6644    -0.2761
     811     1.7025    -0.2669
     814     1.7406    -0.2578
     817     1.7536    -0.2332
     820     1.7666    -0.2898
     823     1.7653    -0.2859
     826     1.7640    -0.2820
     829     1.7627    -0.2781
     832     1.7805    -0.2535
     835     1.7858    -0.2333
     838     1.8112    -0.2719
     841     1.8054    -0.2754
     844     1.7995    -0.2789
     847     1.7937    -0.2847
     850     1.7878    -0.2906
     853     1.8550    -0.3094
     856     1.9021    -0.2708
     859     1.8736    -0.3181
     862     1.9105    -0.2786
     865     1.9474    -0.2465
     868     1.9927    -0.2764
     871     1.9335    -0.2979
     874     1.8742    -0.3193
     877     1.8963    -0.3030
     880     2.0192    -0.2724
     883     1.9933    -0.2904
     886     1.9675    -0.2868
     889     2.0109    -0.3292
     892     1.9935    -0.3082
     895     1.9761    -0.3170
     898     2.0196    -0.3335
     901     2.0096    -0.2952
     904     1.9997    -0.3500
     907     2.1210    -0.2759
     910     2.1716    -0.2847
     913     2.0656    -0.3352
     916     2.0914    -0.3475
     919     2.1936    -0.3308
     922     2.1388    -0.3086
     925     2.0840    -0.3712
     928     2.0229    -0.3673
     931     2.1048    -0.3544
     934     2.1866    -0.2973
     937        NaN        NaN
     940        NaN        NaN
     943        NaN        NaN
     946        NaN        NaN
     949        NaN        NaN
     952        NaN        NaN
     955        NaN        NaN
     958        NaN        NaN
     961        NaN        NaN
     964        NaN        NaN
     967        NaN        NaN
     970        NaN        NaN
     973        NaN        NaN
     976        NaN        NaN
     979        NaN        NaN
     982        NaN        NaN
     985        NaN        NaN
     988        NaN        NaN
     991        NaN        NaN
     994        NaN        NaN
     997        NaN        NaN
    1000        NaN        NaN
    1003        NaN        NaN
    1006        NaN        NaN
    1009        NaN        NaN
    1012        NaN        NaN
    1015        NaN        NaN
    1018        NaN        NaN
    1021        NaN        NaN
    1024        NaN        NaN
    1027        NaN        NaN
    1030        NaN        NaN
    1033        NaN        NaN
    1036        NaN        NaN
    1039        NaN        NaN
    1042        NaN        NaN
    1045     2.1917     0.8302
    1048     2.1227     0.8141
    1051     2.1397     0.8025
    1054     2.1566     0.0401
    1057     2.1408     0.0178
    1060     2.1059     0.0389
    1063     2.1467     0.0054
    1066     2.1987     0.0415
    1069     2.1349     0.0129
    1072     2.1330     0.0435
    1075     2.1311     0.0983
    1078     2.1978     0.0318
    1081     2.1560     0.0151
    1084     2.1143    -0.0016
    1087     2.1866     0.0401
    1090     2.2287     0.0492
    1093     2.2134     0.0129
    1096     2.1820     0.0534
    1099     2.1214     0.0750
    1102     2.2494     0.0233
    1105     2.2028     0.0180
    1108     2.2678     0.0773
    1111        NaN        NaN
    1114        NaN        NaN
    1117        NaN        NaN
    1120        NaN        NaN
    1123        NaN        NaN
    1126        NaN        NaN
    1129        NaN        NaN
    1132        NaN        NaN
    1135        NaN        NaN
    1138        NaN        NaN
    1141        NaN        NaN
    1144        NaN        NaN
    1147        NaN        NaN
    1150        NaN        NaN
    1153        NaN        NaN
    1156        NaN        NaN
    1159        NaN        NaN
    1162        NaN     0.0437
    1165     2.4062     0.0377
    1168     2.3689     0.0309
    1171     2.3872     0.0409
    1174     2.4055     0.0509
    1177     2.4238     0.0610
    1180     2.4308     0.0719
    1183     2.5303     0.0677
    1186     2.4375     0.0236
    1189     2.4808     0.0715
    1192     2.4836     0.0851
    1195     2.5516     0.1010
    1198     2.5077     0.0936
    1201     2.5303     0.0925
    1204     2.5530     0.0914
    1207     2.4761     0.0774
    1210     2.5151     0.0709
    1213     2.5263     0.1080
    1216     2.5375     0.0907
    1219     2.5230     0.0420
    1222     2.5432     0.1002
    1225     2.5634     0.1129
    1228     2.6196     0.0755
    1231     2.5954     0.0644
    1234     2.5712     0.0720
    1237     2.5988     0.0940
    1240     2.5860     0.0899
    1243     2.6500     0.0729
    1246     2.6463     0.0588
    1249     2.6715     0.1182
    1252     2.5869     0.1167
    1255     2.6641     0.0960
    1258     2.6501     0.0869
    1261     2.6805     0.1131
    1264     2.7109     0.1267
    1267     2.7192     0.1232
    1270     2.7457     0.1508
    1273     2.7461     0.0918
    1276     2.7465     0.1285
    1279     2.8060     0.1731
    1282     2.7945     0.1090
    1285     2.7829     0.1148
    1288     2.7315     0.1089
    1291     2.7402     0.1083
    1294     2.7489     0.1077
    1297     2.7177     0.1059
    1300     2.7833     0.1106
    1303     2.7679     0.1252
    1306     2.7525     0.1161
    1309     2.8274     0.1163
    1312     2.8168     0.1724
    1315     2.8063     0.1349
    1318     2.7803     0.1305
    1321     2.7909     0.1357
    1324     2.8016     0.1408
    1327     2.8213     0.1737
    1330     2.8232     0.1500
    1333     2.9315     0.2028
    1336     2.8224     0.1513
    1339     2.8628     0.0978
    1342     2.8799     0.1822
    1345     2.8970     0.1440
    1348     2.9063     0.1662
    1351     2.9004     0.1456
    1354     2.8945     0.1266
    1357     2.9351     0.1901
    1360     2.9208     0.1719
    1363     2.9293     0.1650
    1366     2.8650     0.1597
    1369     2.9207     0.1750
    1372     2.9550     0.1761
    1375     2.8958     0.1997
    1378     2.9585     0.1814
