;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7874 are extrapolated until 7900 (18:07:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Mon Jun 05 11:41:25 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00031593 ;ratio_vir2PMO6V (f10.8)
0.99968512 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
     664     1.0689    -0.3140
     667     1.1200    -0.2981
     670     1.1712    -0.2822
     673     1.2223    -0.2686
     676     1.2779    -0.2561
     679     1.2412    -0.2700
     682     1.2202    -0.2634
     685     1.2483    -0.2404
     688     1.2763    -0.2878
     691     1.2577    -0.2144
     694     1.3412    -0.2490
     697     1.2400    -0.2772
     700     1.2592    -0.2968
     703     1.2785    -0.2266
     706     1.2973    -0.2010
     709     1.3162    -0.2279
     712     1.3842    -0.2470
     715     1.4248    -0.1864
     718     1.3652    -0.2340
     721     1.3838    -0.1998
     724     1.4025    -0.2065
     727     1.4003    -0.1924
     730     1.3982    -0.2177
     733     1.3960    -0.2730
     736     1.4158    -0.2205
     739     1.5087    -0.2286
     742     1.5147    -0.2137
     745     1.4422    -0.2521
     748     1.4921    -0.2051
     751     1.4717    -0.2126
     754     1.5216    -0.2406
     757     1.5045    -0.2277
     760     1.5205    -0.1713
     763     1.4981    -0.2096
     766     1.4812    -0.2044
     769     1.5685    -0.2432
     772     1.5730    -0.2212
     775     1.6392    -0.2126
     778     1.6843    -0.1771
     781     1.6222    -0.1973
     784     1.6398    -0.1964
     787     1.6630    -0.1919
     790     1.6863    -0.1874
     793     1.6606    -0.2080
     796     1.6890    -0.2341
     799     1.6979    -0.2178
     802     1.7445    -0.1997
     805     1.7480    -0.1912
     808     1.6889    -0.2500
     811     1.7269    -0.2408
     814     1.7649    -0.2315
     817     1.7778    -0.2067
     820     1.7907    -0.2633
     823     1.7893    -0.2593
     826     1.7879    -0.2554
     829     1.7865    -0.2514
     832     1.8040    -0.2267
     835     1.8091    -0.2063
     838     1.8344    -0.2448
     841     1.8284    -0.2482
     844     1.8225    -0.2517
     847     1.8165    -0.2574
     850     1.8105    -0.2631
     853     1.8776    -0.2818
     856     1.9245    -0.2432
     859     1.8960    -0.2904
     862     1.9327    -0.2508
     865     1.9694    -0.2186
     868     2.0146    -0.2485
     871     1.9552    -0.2698
     874     1.8958    -0.2911
     877     1.9176    -0.2747
     880     2.0404    -0.2441
     883     2.0145    -0.2619
     886     1.9885    -0.2582
     889     2.0318    -0.3006
     892     2.0143    -0.2795
     895     1.9967    -0.2882
     898     2.0401    -0.3045
     901     2.0300    -0.2662
     904     2.0199    -0.3210
     907     2.1412    -0.2467
     910     2.1916    -0.2554
     913     2.0856    -0.3059
     916     2.1113    -0.3180
     919     2.2134    -0.3013
     922     2.1585    -0.2789
     925     2.1036    -0.3414
     928     2.0423    -0.3375
     931     2.1241    -0.3245
     934     2.2059    -0.2674
     937        NaN        NaN
     940        NaN        NaN
     943        NaN        NaN
     946        NaN        NaN
     949        NaN        NaN
     952        NaN        NaN
     955        NaN        NaN
     958        NaN        NaN
     961        NaN        NaN
     964        NaN        NaN
     967        NaN        NaN
     970        NaN        NaN
     973        NaN        NaN
     976        NaN        NaN
     979        NaN        NaN
     982        NaN        NaN
     985        NaN        NaN
     988        NaN        NaN
     991        NaN        NaN
     994        NaN        NaN
     997        NaN        NaN
    1000        NaN        NaN
    1003        NaN        NaN
    1006        NaN        NaN
    1009        NaN        NaN
    1012        NaN        NaN
    1015        NaN        NaN
    1018        NaN        NaN
    1021        NaN        NaN
    1024        NaN        NaN
    1027        NaN        NaN
    1030        NaN        NaN
    1033        NaN        NaN
    1036        NaN        NaN
    1039        NaN        NaN
    1042        NaN        NaN
    1045     2.2150     0.8531
    1048     2.1462     0.8372
    1051     2.1633     0.8257
    1054     2.1804     0.0634
    1057     2.1648     0.0412
    1060     2.1300     0.0624
    1063     2.1709     0.0289
    1066     2.2231     0.0652
    1069     2.1594     0.0367
    1072     2.1576     0.0673
    1075     2.1558     0.1223
    1078     2.2225     0.0558
    1081     2.1809     0.0393
    1084     2.1393     0.0228
    1087     2.2119     0.0646
    1090     2.2540     0.0736
    1093     2.2389     0.0376
    1096     2.2075     0.0781
    1099     2.1471     0.0998
    1102     2.2750     0.0482
    1105     2.2285     0.0430
    1108     2.2936     0.1025
    1111        NaN        NaN
    1114        NaN        NaN
    1117        NaN        NaN
    1120        NaN        NaN
    1123        NaN        NaN
    1126        NaN        NaN
    1129        NaN        NaN
    1132        NaN        NaN
    1135        NaN        NaN
    1138        NaN        NaN
    1141        NaN        NaN
    1144        NaN        NaN
    1147        NaN        NaN
    1150        NaN        NaN
    1153        NaN        NaN
    1156        NaN        NaN
    1159        NaN        NaN
    1162        NaN     0.0703
    1165     2.4320     0.0643
    1168     2.3946     0.0576
    1171     2.4128     0.0677
    1174     2.4310     0.0778
    1177     2.4492     0.0879
    1180     2.4560     0.0989
    1183     2.5554     0.0948
    1186     2.4626     0.0508
    1189     2.5056     0.0988
    1192     2.5083     0.1124
    1195     2.5763     0.1285
    1198     2.5321     0.1212
    1201     2.5546     0.1202
    1204     2.5770     0.1192
    1207     2.5000     0.1053
    1210     2.5387     0.0988
    1213     2.5498     0.1360
    1216     2.5608     0.1187
    1219     2.5462     0.0701
    1222     2.5661     0.1284
    1225     2.5861     0.1412
    1228     2.6422     0.1038
    1231     2.6177     0.0928
    1234     2.5933     0.1005
    1237     2.6209     0.1225
    1240     2.6078     0.1186
    1243     2.6717     0.1016
    1246     2.6679     0.0876
    1249     2.6930     0.1471
    1252     2.6081     0.1457
    1255     2.6853     0.1251
    1258     2.6711     0.1161
    1261     2.7014     0.1423
    1264     2.7317     0.1560
    1267     2.7398     0.1527
    1270     2.7662     0.1802
    1273     2.7666     0.1213
    1276     2.7669     0.1582
    1279     2.8263     0.2027
    1282     2.8147     0.1388
    1285     2.8031     0.1447
    1288     2.7517     0.1387
    1291     2.7604     0.1382
    1294     2.7691     0.1378
    1297     2.7379     0.1361
    1300     2.8034     0.1408
    1303     2.7881     0.1555
    1306     2.7727     0.1465
    1309     2.8477     0.1467
    1312     2.8371     0.2028
    1315     2.8266     0.1655
    1318     2.8006     0.1613
    1321     2.8113     0.1664
    1324     2.8221     0.1716
    1327     2.8417     0.2046
    1330     2.8437     0.1808
    1333     2.9522     0.2338
    1336     2.8432     0.1824
    1339     2.8835     0.1289
    1342     2.9008     0.2134
    1345     2.9182     0.1753
    1348     2.9275     0.1977
    1351     2.9218     0.1771
    1354     2.9160     0.1582
    1357     2.9569     0.2217
    1360     2.9428     0.2035
    1363     2.9514     0.1967
    1366     2.8874     0.1916
    1369     2.9433     0.2070
    1372     2.9777     0.2080
    1375     2.9187     0.2318
    1378     2.9816     0.2135
    1381     3.0075     0.1807
    1384     3.0334     0.2280
    1387     2.9581     0.1513
    1390     3.0082     0.1850
    1393     2.9921     0.1428
    1396     2.9759     0.1788
    1399     3.0130     0.1868
    1402     2.9389     0.1779
    1405     3.0632     0.1974
    1408     3.0161     0.1666
    1411     2.9988     0.1552
    1414     2.9816     0.1438
    1417     3.0077     0.1625
    1420     3.0665     0.1639
    1423     2.9447     0.1229
    1426     3.0955     0.2009
    1429     3.0809     0.1762
    1432     2.9945     0.1673
    1435     3.0813     0.1895
    1438     3.0710     0.2172
    1441     3.0615     0.1792
    1444     3.0520     0.1411
    1447     3.0835     0.1620
    1450     3.1478     0.2070
    1453     3.1606     0.2206
    1456     3.1430     0.1500
    1459     3.1301        NaN
    1462     3.1172        NaN
    1465     3.1043        NaN
    1468     3.1641        NaN
    1471     3.1172        NaN
    1474     3.0703        NaN
    1477     3.1662        NaN
    1480     3.1445        NaN
    1483     3.1549        NaN
    1486     3.2753        NaN
    1489     3.1717        NaN
    1492     3.2567        NaN
