;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7763 are extrapolated until 7789 (29:03:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sun Feb 05 17:01:55 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00031745 ;ratio_vir2PMO6V (f10.8)
0.99968378 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
     664     1.0566    -0.3296
     667     1.1076    -0.3137
     670     1.1585    -0.2978
     673     1.2095    -0.2843
     676     1.2650    -0.2719
     679     1.2280    -0.2858
     682     1.2069    -0.2792
     685     1.2348    -0.2563
     688     1.2627    -0.3038
     691     1.2439    -0.2305
     694     1.3273    -0.2651
     697     1.2258    -0.2933
     700     1.2449    -0.3131
     703     1.2640    -0.2428
     706     1.2828    -0.2173
     709     1.3016    -0.2443
     712     1.3693    -0.2635
     715     1.4098    -0.2028
     718     1.3501    -0.2506
     721     1.3686    -0.2164
     724     1.3871    -0.2231
     727     1.3849    -0.2090
     730     1.3826    -0.2344
     733     1.3804    -0.2898
     736     1.4000    -0.2373
     739     1.4928    -0.2454
     742     1.4989    -0.2306
     745     1.4263    -0.2689
     748     1.4761    -0.2221
     751     1.4556    -0.2295
     754     1.5055    -0.2576
     757     1.4884    -0.2448
     760     1.5043    -0.1884
     763     1.4818    -0.2267
     766     1.4650    -0.2217
     769     1.5521    -0.2605
     772     1.5566    -0.2386
     775     1.6229    -0.2299
     778     1.6681    -0.1945
     781     1.6058    -0.2147
     784     1.6234    -0.2138
     787     1.6467    -0.2094
     790     1.6700    -0.2050
     793     1.6445    -0.2256
     796     1.6728    -0.2518
     799     1.6818    -0.2355
     802     1.7285    -0.2174
     805     1.7320    -0.2089
     808     1.6729    -0.2678
     811     1.7111    -0.2586
     814     1.7493    -0.2493
