;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960329 1360.73681 1365.67896 1365.98962 1365.36560
19960330 1360.68682 1365.62878 1365.94299 1365.30945
19960331 1360.70945 1365.65149 1365.95996 1365.33655
19960401 1360.70106 1365.64307 1365.97375 1365.31177
19960402 1360.71991 1365.66199 1365.98645 1365.33984
19960403 1360.73304 1365.67517 1366.00500 1365.35547
19960404 1360.74180 1365.68396 1366.02087  -99.00000
19960405 1360.74144 1365.68359 1366.00842 1365.36133
19960406 1360.69230 1365.63428 1365.99731 1365.27551
19960407 1360.69254 1365.63452 1366.03345 1365.25378
19960408 1360.68974 1365.63171 1366.02112 1365.24622
19960409 1360.70178 1365.64380 1366.01001 1365.28760
19960410 1360.69960 1365.64160 1366.00269 1365.27490
19960411 1360.76272 1365.70496 1366.04773 1365.36609
19960412 1360.74569 1365.68787 1366.04639 1365.34167
19960413 1360.78984 1365.73218 1366.05554 1365.40808
19960414 1360.77671 1365.71899 1366.04431 1365.39099
19960415 1360.72441 1365.66650 1365.98376  -99.00000
19960416 1360.83789 1365.78040 1365.99402 1365.57251
19960417 1360.62771 1365.56946 1365.95776 1365.19690
19960418 1360.63975 1365.58154 1365.94763 1365.23181
19960419 1360.65094 1365.59277 1365.98267 1365.21863
19960420 1360.63720 1365.57898 1365.97510 1365.18811
19960421 1360.62029 1365.56201 1365.95203 1365.18738
19960422 1360.58733 1365.52893 1365.91382 1365.16052
19960423 1360.69339 1365.63538 1365.89636 1365.37952
19960424 1360.57176 1365.51331 1365.89307 1365.15637
19960425 1360.60473 1365.54639 1365.91064 1365.19092
19960426 1360.60691 1365.54858 1365.91113 1365.20081
19960427 1360.60764 1365.54932 1365.87341 1365.22461
19960428 1360.60837 1365.55005 1365.87451 1365.22339
19960429 1360.64401 1365.58582 1365.90088 1365.27966
19960430 1360.61956 1365.56128 1365.86609 1365.25562
19960501 1360.67077 1365.61267 1365.88794 1365.32983
19960502 1360.66420 1365.60608 1365.92126 1365.31433
19960503 1360.63331 1365.57507 1365.90576 1365.24329
19960504 1360.65180 1365.59363 1365.91382 1365.27917
19960505 1360.71237 1365.65442 1365.95740 1365.34595
19960506 1360.78522 1365.72754 1366.01147 1365.45325
19960507 1360.85650 1365.79907 1366.04590 1365.53528
19960508 1360.86939 1365.81201 1366.11609 1365.50012
19960509 1360.88654 1365.82922 1366.09949 1365.54675
19960510 1360.79228 1365.73462 1366.01550 1365.45691
19960511 1360.75311 1365.69531 1365.95886 1365.41858
19960512 1360.74837 1365.69055 1365.96497 1365.40430
19960513 1360.75396 1365.69617 1365.97839 1365.40454
19960514 1360.82281 1365.76526 1366.02246 1365.48669
19960515 1360.81526 1365.75769 1366.06262 1365.44763
19960516 1360.90199 1365.84473 1366.09875 1365.59131
19960517 1360.89335 1365.83606 1366.11096 1365.55090
19960518 1360.84506 1365.78760 1366.07898 1365.50647
19960519 1360.73827 1365.68042 1366.01233 1365.34827
19960520 1360.66736 1365.60925 1365.93823 1365.28125
19960521 1360.63477 1365.57654 1365.91040 1365.24268
19960522 1360.64304 1365.58484 1365.91309 1365.25427
19960523 1360.63866 1365.58044 1365.91101 1365.24951
19960524 1360.63890 1365.58069 1365.87634 1365.28699
19960525 1360.63963 1365.58142 1365.89099 1365.26843
19960526 1360.64924 1365.59106 1365.90723 1365.27173
19960527 1360.60947 1365.55115 1365.89929 1365.20483
19960528 1360.65544 1365.59729 1365.90979 1365.28271
19960529 1360.58891 1365.53052 1365.88293 1365.18042
19960530 1360.59305 1365.53467 1365.87231 1365.19751
19960531 1360.60983 1365.55151 1365.89050 1365.21069
19960601 1360.63416 1365.57593 1365.91968 1365.23401
19960602 1360.68865 1365.63062 1365.97412 1365.28833
19960603 1360.70592 1365.64795 1366.00012 1365.29065
19960604 1360.80225 1365.74463 1366.06055 1365.43494
19960605 1360.76698 1365.70923 1366.06128 1365.35913
19960606 1360.71443 1365.65649 1366.03430 1365.28308
19960607 1360.68792 1365.62988 1365.97327 1365.28394
19960608 1360.65131 1365.59314 1365.95667 1365.23242
19960609 1360.67758 1365.61951 1365.98352 1365.25806
19960610 1360.73888 1365.68103 1366.02661 1365.33325
19960611 1360.73803 1365.68018 1366.04077 1365.32153
19960612 1360.75518 1365.69739 1366.04724 1365.34851
19960613 1360.74326 1365.68542 1366.02954 1365.33496
19960614 1360.71468 1365.65674 1365.99060 1365.32251
19960615 1360.64596 1365.58777 1365.93481 1365.24133
19960616 1360.62650 1365.56824 1365.91370 1365.22522
19960617 1360.63233 1365.57410 1365.91345 1365.23462
19960618 1360.58916 1365.53076 1365.87354 1365.18799
19960619 1360.62929 1365.57104 1365.90979 1365.23206
19960620 1360.63890 1365.58069 1365.91284 1365.24780
19960621 1360.62260 1365.56433 1365.90564 1365.22302
19960622 1360.60217 1365.54382 1365.89343 1365.19519
19960623 1360.61883 1365.56055 1365.90576 1365.21545
19960624 1360.65800 1365.59985 1365.95398 1365.24622
19960625 1360.67053 1365.61243 1365.95386 1365.27136
19960626 1360.63720 1365.57898 1365.93774 1365.22070
19960627 1360.65970 1365.60156 1365.94006 1365.27039
19960628 1360.70130 1365.64331 1366.00061 1365.29004
19960629 1360.79398 1365.73633 1366.08044 1365.39221
19960630 1360.84154 1365.78406 1366.13013 1365.43311
19960701 1360.87304 1365.81567 1366.15857 1365.47876
19960702 1360.88532 1365.82800 1366.18225 1365.47412
19960703 1360.85528 1365.79785 1366.16614 1365.42993
19960704 1360.84166 1365.78418 1366.14636 1365.42468
19960705 1360.82706 1365.76953 1366.13440 1365.40479
19960706 1360.77792 1365.72021 1366.08313 1365.35754
19960707 1360.75919 1365.70142 1366.04810 1365.35291
19960708 1360.53309 1365.47449 1365.82117 1365.12781
19960709 1360.37217 1365.31299 1365.67004 1364.95605
19960710 1360.49076 1365.43201 1365.78162 1365.08276
19960711 1360.62686 1365.56860 1365.92505 1365.18933
19960712 1360.70543 1365.64746 1366.00366 1365.29065
19960713 1360.66031 1365.60217 1365.96765 1365.22852
19960714 1360.59110 1365.53271 1365.89294 1365.17249
19960715 1360.61093 1365.55261 1365.91589 1365.18921
19960716 1360.62200 1365.56372 1365.90918 1365.21863
19960717 1360.62577 1365.56750 1365.92102 1365.21375
19960718 1360.59098 1365.53259 1365.88757 1365.17749
19960719 1360.61300 1365.55469 1365.90991 1365.20178
19960720 1360.60801 1365.54968 1365.90063 1365.19873
19960721 1360.59074 1365.53235 1365.88550 1365.17908
19960722 1360.59232 1365.53394 1365.88684 1365.17786
19960723 1360.61068 1365.55237 1365.89258 1365.21216
19960724 1360.58709 1365.52869 1365.89490 1365.16248
19960725 1360.63477 1365.57654 1365.92981 1365.21594
19960726 1360.68147 1365.62341 1365.96545 1365.28137
19960727 1360.67259 1365.61450 1365.98364 1365.24548
19960728 1360.73098 1365.67310 1366.03430 1365.31201
19960729 1360.69534 1365.63733 1366.00305 1365.27039
19960730 1360.62552 1365.56726 1365.90625 1365.22815
19960731 1360.51776 1365.45911 1365.82092 1365.09741
19960801 1360.47945 1365.42065 1365.76611 1365.07520
19960802 1360.46874 1365.40991 1365.72449 1365.09509
19960803 1360.50645 1365.44775 1365.75928 1365.13892
19960804 1360.60497 1365.54663 1365.85022 1365.24255
19960805 1360.72514 1365.66724 1365.95642 1365.37732
19960806 1360.76394 1365.70618 1366.02258 1365.40588
19960807 1360.78960 1365.73193 1366.03479 1365.42847
19960808 1360.71237 1365.65442 1365.97070 1365.33484
19960809 1360.63696 1365.57874 1365.91113 1365.24622
19960810 1360.60035 1365.54199 1365.87695 1365.20288
19960811 1360.53686 1365.47827 1365.81934 1365.13721
19960812 1360.60570 1365.54736 1365.87878 1365.21594
19960813 1360.68950 1365.63147 1365.94141 1365.31995
19960814 1360.65046 1365.59229 1365.93518 1365.24963
19960815 1360.59487 1365.53650 1365.87683 1365.19629
19960816 1360.59037 1365.53198 1365.85864 1365.20508
19960817 1360.61689 1365.55859 1365.89709 1365.22021
19960818 1360.62528 1365.56702 1365.90125 1365.22974
19960819 1360.61251 1365.55420 1365.88306 1365.22510
19960820 1360.62017 1365.56189 1365.88928 1365.23425
19960821 1360.61093 1365.55261 1365.87793 1365.22717
19960822 1360.64134 1365.58313 1365.90173 1365.26404
19960823 1360.70458 1365.64661 1365.95349 1365.33557
19960824 1360.79970 1365.74207 1366.07397 1365.41028
19960825 1360.90709 1365.84985 1366.18628 1365.51379
19960826 1360.93178 1365.87463 1366.20715 1365.54224
19960827 1360.88812 1365.83081 1366.16785 1365.49402
19960828 1360.86087 1365.80347 1366.11841 1365.48804
19960829 1360.81636 1365.75879 1366.10010 1365.41797
19960830 1360.84640 1365.78894 1366.13208 1365.44653
19960831 1360.88861 1365.83130 1366.15833 1365.50427
19960901 1360.91743 1365.86023 1366.19763 1365.52319
19960902 1360.94224 1365.88513 1366.19641 1365.56995
19960903 1360.90332 1365.84607 1366.15674 1365.53491
19960904 1360.80140 1365.74377 1366.05579 1365.43127
19960905 1360.71979 1365.66187 1365.98523 1365.33838
19960906 1360.66189 1365.60376 1365.94336 1365.26477
19960907 1360.67819 1365.62012 1365.95825 1365.27856
19960908 1360.69753 1365.63953 1365.95825 1365.32068
19960909 1360.70677 1365.64880 1365.98035 1365.31787
19960910  -99.00000  -99.00000  -99.00000  -99.00000
19960911  -99.00000  -99.00000  -99.00000  -99.00000
19960912  -99.00000  -99.00000  -99.00000  -99.00000
19960913  -99.00000  -99.00000  -99.00000  -99.00000
19960914 1360.66128 1365.60315  -99.00000 1365.28149
19960915 1360.63866 1365.58044  -99.00000 1365.25830
19960916 1360.59037 1365.53198  -99.00000 1365.20959
