;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960329 1360.56517 1365.64465 1365.99438 1365.30176
19960330 1360.51847 1365.59778 1365.94971 1365.24646
19960331 1360.54012 1365.61951 1365.96423 1365.27563
19960401 1360.53428 1365.61365 1365.97864 1365.24890
19960402 1360.55009 1365.62952 1365.98987 1365.27527
19960403 1360.56529 1365.64478 1366.00830 1365.29358
19960404 1360.57928 1365.65881 1366.02991  -99.00000
19960405 1360.57453 1365.65405 1366.01257 1365.30396
19960406 1360.52978 1365.60913 1365.99915 1365.21399
19960407 1360.53756 1365.61694 1366.03833 1365.19348
19960408 1360.53428 1365.61365 1366.02734 1365.18628
19960409 1360.54048 1365.61987 1366.01465 1365.22388
19960410 1360.54170 1365.62109 1366.01086 1365.21777
19960411 1360.59922 1365.67883 1366.05200 1365.30530
19960412 1360.58013 1365.65967 1366.04749 1365.27637
19960413 1360.62464 1365.70435 1366.06262 1365.34607
19960414 1360.61759 1365.69727 1366.05310 1365.36169
19960415 1360.55325 1365.63269 1365.98962  -99.00000
19960416 1360.65541 1365.73523 1366.00061 1365.50427
19960417 1360.47566 1365.55481 1365.96289 1365.14465
19960418 1360.47943 1365.55859 1365.95483 1365.16931
19960419 1360.49342 1365.57263 1365.98828 1365.15454
19960420 1360.48271 1365.56189 1365.98181 1365.12793
19960421 1360.46216 1365.54126 1365.95996 1365.12000
19960422 1360.42531 1365.50427 1365.91882 1365.09070
19960423 1360.51397 1365.59326 1365.90552 1365.30139
19960424 1360.41145 1365.49036 1365.89551 1365.09729
19960425 1360.44222 1365.52124 1365.91919 1365.12170
19960426 1360.43796 1365.51697 1365.91565 1365.12573
19960427 1360.43808 1365.51709 1365.88123 1365.15295
19960428 1360.44039 1365.51941 1365.88220 1365.15320
19960429 1360.47153 1365.55066 1365.90662 1365.20776
19960430 1360.44672 1365.52576 1365.87512 1365.18323
19960501 1360.49159 1365.57080 1365.89233 1365.25122
19960502 1360.49062 1365.56982 1365.92542 1365.23914
19960503 1360.46338 1365.54248 1365.91382 1365.16565
19960504 1360.47846 1365.55762 1365.91992 1365.20081
19960505 1360.53598 1365.61536 1365.96313 1365.26843
19960506 1360.60165 1365.68127 1366.01367 1365.36572
19960507 1360.67462 1365.75452 1366.05261 1365.45959
19960508 1360.69104 1365.77100 1366.12231 1365.41797
19960509 1360.70807 1365.78809 1366.10791 1365.47058
19960510 1360.61819 1365.69788 1366.02710 1365.38245
19960511 1360.57186 1365.65137 1365.96631 1365.33899
19960512 1360.56663 1365.64612 1365.97119 1365.32251
19960513 1360.57526 1365.65479 1365.98584 1365.32556
19960514 1360.63802 1365.71777 1366.02649 1365.40344
19960515 1360.63899 1365.71875 1366.06848 1365.37000
19960516 1360.71816 1365.79822 1366.10498 1365.50745
19960517 1360.71719 1365.79724 1366.12146 1365.47522
19960518 1360.67219 1365.75208 1366.08862 1365.43274
19960519 1360.57344 1365.65295 1366.02332 1365.28247
19960520 1360.49244 1365.57166 1365.94568 1365.19739
19960521 1360.46812 1365.54724 1365.92126 1365.17297
19960522 1360.47153 1365.55066 1365.92261 1365.17566
19960523 1360.46715 1365.54626 1365.91736 1365.17517
19960524 1360.46374 1365.54285 1365.88440 1365.20898
19960525 1360.46824 1365.54736 1365.89941 1365.19617
19960526 1360.47724 1365.55640 1365.91394 1365.19861
19960527 1360.44173 1365.52075 1365.90698 1365.13391
19960528 1360.48357 1365.56274 1365.91882 1365.20825
19960529 1360.42397 1365.50293 1365.89270 1365.11230
19960530 1360.42215 1365.50110 1365.87915 1365.12280
19960531 1360.44246 1365.52148 1365.90088 1365.13904
19960601 1360.46326 1365.54236 1365.92432 1365.16064
19960602 1360.51883 1365.59814 1365.98071 1365.21497
19960603 1360.53914 1365.61853 1366.00928 1365.22095
19960604 1360.62890 1365.70862 1366.06494 1365.36670
19960605 1360.60080 1365.68042 1366.06873 1365.29150
19960606 1360.55374 1365.63318 1366.04797 1365.21643
19960607 1360.52285 1365.60217 1365.98364 1365.21667
19960608 1360.48478 1365.56396 1365.96533 1365.16125
19960609 1360.51069 1365.58997 1365.99048 1365.18823
19960610 1360.57259 1365.65210 1366.03638 1365.26440
19960611 1360.57125 1365.65076 1366.04822 1365.25232
19960612 1360.58961 1365.66919 1366.05701 1365.28088
19960613 1360.57441 1365.65393 1366.03796 1365.26123
19960614 1360.55167 1365.63110 1366.00378 1365.25867
19960615 1360.48089 1365.56006 1365.94617 1365.17346
19960616 1360.46058 1365.53967 1365.92236 1365.15906
19960617 1360.46715 1365.54626 1365.92419 1365.16833
19960618 1360.42130 1365.50024 1365.88330 1365.11719
19960619 1360.46082 1365.53992 1365.91748 1365.16235
19960620 1360.47153 1365.55066 1365.92322 1365.17847
19960621 1360.45644 1365.53552 1365.91589 1365.15515
19960622 1360.43516 1365.51416 1365.90430 1365.12463
19960623 1360.45000 1365.52905 1365.91357 1365.14441
19960624 1360.49098 1365.57019 1365.96338 1365.17664
19960625 1360.50169 1365.58093 1365.96362 1365.19897
19960626 1360.47140 1365.55054 1365.94800 1365.15259
19960627 1360.49098 1365.57019 1365.94861 1365.19910
19960628 1360.53063 1365.60999 1366.00745 1365.21558
19960629 1360.62269 1365.70239 1366.08691 1365.31775
19960630 1360.67475 1365.75464 1366.13977 1365.36584
19960701 1360.70515 1365.78516 1366.16675 1365.41028
19960702 1360.72011 1365.80017 1366.19397 1365.40601
19960703 1360.68958 1365.76953 1366.17664 1365.36157
19960704 1360.67791 1365.75781 1366.15869 1365.35876
19960705 1360.65979 1365.73962 1366.14392 1365.33447
19960706 1360.61588 1365.69556 1366.09692 1365.29346
19960707 1360.59691 1365.67651 1366.06299 1365.28821
19960708 1360.38007 1365.45886 1365.84412 1365.07349
19960709 1360.20555 1365.28369 1365.68042 1364.88660
19960710 1360.32048 1365.39905 1365.78735 1365.01062
19960711 1360.45377 1365.53284 1365.92883 1365.11646
19960712 1360.53987 1365.61926 1366.01221 1365.22632
19960713 1360.49877 1365.57800 1365.98376 1365.16370
19960714 1360.42762 1365.50659 1365.90637 1365.10620
19960715 1360.44124 1365.52026 1365.92224 1365.11755
19960716 1360.45790 1365.53699 1365.92322 1365.15100
19960717 1360.46277 1365.54187 1365.93079 1365.15283
19960718 1360.42568 1365.50464 1365.90051 1365.10840
19960719 1360.44696 1365.52600 1365.92090 1365.13306
