;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960412 1360.57770 1365.65723 1366.04175 1365.27722
19960413 1360.62209 1365.70178 1366.05688 1365.34680
19960414 1360.61503 1365.69470 1366.04724 1365.36255
19960415 1360.55058 1365.63000 1365.98364  -99.00000
19960416 1360.65286 1365.73267 1365.99463 1365.50488
19960417 1360.47298 1365.55212 1365.95679 1365.14539
19960418 1360.47663 1365.55579 1365.94873 1365.16980
19960419 1360.49050 1365.56970 1365.98206 1365.15503
19960420 1360.47980 1365.55896 1365.97559 1365.12830
19960421 1360.45924 1365.53833 1365.95374 1365.12036
19960422 1360.42239 1365.50134 1365.91248 1365.09106
19960423 1360.51093 1365.59021 1365.89917 1365.30176
19960424 1360.40828 1365.48718 1365.88904 1365.09753
19960425 1360.43905 1365.51807 1365.91272 1365.12195
19960426 1360.43480 1365.51379 1365.90906 1365.12585
19960427 1360.43492 1365.51392 1365.87463 1365.15308
19960428 1360.43699 1365.51599 1365.87549 1365.15320
19960429 1360.46812 1365.54724 1365.89978 1365.20776
19960430 1360.44331 1365.52234 1365.86829 1365.18323
19960501 1360.48807 1365.56726 1365.88550 1365.25110
19960502 1360.48697 1365.56616 1365.91846 1365.23901
19960503 1360.45973 1365.53882 1365.90686 1365.16541
19960504 1360.47469 1365.55383 1365.91284 1365.20044
19960505 1360.53221 1365.61157 1365.95593 1365.26807
19960506 1360.59788 1365.67749 1366.00647 1365.36523
19960507 1360.67073 1365.75061 1366.04529 1365.45923
19960508 1360.68715 1365.76709 1366.11499 1365.41748
19960509 1360.70406 1365.78406 1366.10046 1365.46997
19960510 1360.61418 1365.69385 1366.01953 1365.38184
19960511 1360.56772 1365.64722 1365.95874 1365.33826
19960512 1360.56249 1365.64197 1365.96362 1365.32178
19960513 1360.57101 1365.65051 1365.97827 1365.32471
19960514 1360.63376 1365.71350 1366.01868 1365.40259
19960515 1360.63461 1365.71436 1366.06067 1365.36914
19960516 1360.71378 1365.79382 1366.09717 1365.50647
19960517 1360.71269 1365.79272 1366.11353 1365.47412
19960518 1360.66757 1365.74744 1366.08057 1365.43152
19960519 1360.56882 1365.64832 1366.01526 1365.28125
19960520 1360.48770 1365.56689 1365.93762 1365.19617
19960521 1360.46338 1365.54248 1365.91309 1365.17163
19960522 1360.46666 1365.54578 1365.91443 1365.17432
19960523 1360.46228 1365.54138 1365.90906 1365.17371
19960524 1360.45876 1365.53784 1365.87610 1365.20740
19960525 1360.46326 1365.54236 1365.89111 1365.19446
19960526 1360.47226 1365.55139 1365.90552 1365.19678
19960527 1360.43650 1365.51550 1365.89844 1365.13196
19960528 1360.47834 1365.55750 1365.91016 1365.20630
19960529 1360.41862 1365.49756 1365.88416 1365.11023
19960530 1360.41680 1365.49573 1365.87048 1365.12061
19960531 1360.43699 1365.51599 1365.89209 1365.13684
19960601 1360.45766 1365.53674 1365.91553 1365.15833
19960602 1360.51312 1365.59241 1365.97192 1365.21252
19960603 1360.53343 1365.61279 1366.00024 1365.21838
19960604 1360.62306 1365.70276 1366.05591 1365.36401
19960605 1360.59497 1365.67456 1366.05969 1365.28870
19960606 1360.54766 1365.62708 1366.03882 1365.21362
19960607 1360.51677 1365.59607 1365.97449 1365.21362
19960608 1360.47858 1365.55774 1365.95618 1365.15808
19960609 1360.50436 1365.58362 1365.98108 1365.18506
19960610 1360.56614 1365.64563 1366.02698 1365.26111
19960611 1360.56481 1365.64429 1366.03882 1365.24890
19960612 1360.58317 1365.66272 1366.04749 1365.27734
19960613 1360.56772 1365.64722 1366.02844 1365.25757
19960614 1360.54510 1365.62451 1365.99426 1365.25488
19960615 1360.47408 1365.55322 1365.93640 1365.16968
19960616 1360.45377 1365.53284 1365.91260 1365.15515
19960617 1360.46022 1365.53931 1365.91443 1365.16431
19960618 1360.41437 1365.49329 1365.87341 1365.11304
19960619 1360.45377 1365.53284 1365.90759 1365.15820
19960620 1360.46435 1365.54346 1365.91321 1365.17419
19960621 1360.44915 1365.52820 1365.90588 1365.15076
19960622 1360.42787 1365.50684 1365.89417 1365.12012
19960623 1360.44258 1365.52161 1365.90344 1365.13977
19960624 1360.48357 1365.56274 1365.95313 1365.17188
19960625 1360.49415 1365.57336 1365.95325 1365.19409
19960626 1360.46374 1365.54285 1365.93762 1365.14758
19960627 1360.48320 1365.56238 1365.93823 1365.19397
19960628 1360.52273 1365.60205 1365.99695 1365.21033
19960629 1360.61479 1365.69446 1366.07642 1365.31238
19960630 1360.66660 1365.74646 1366.12915 1365.36035
19960701 1360.69688 1365.77686 1366.15601 1365.40454
19960702 1360.71184 1365.79187 1366.18323 1365.40015
19960703 1360.68131 1365.76123 1366.16589 1365.35559
19960704 1360.66952 1365.74939 1366.14795 1365.35278
19960705 1360.65127 1365.73108 1366.13306 1365.32825
19960706 1360.60725 1365.68689 1366.08594 1365.28711
19960707 1360.58816 1365.66772 1366.05200 1365.28174
19960708 1360.37119 1365.44995 1365.83301 1365.06689
19960709 1360.19667 1365.27478 1365.66931 1364.87976
19960710 1360.31148 1365.39001 1365.77625 1365.00366
19960711 1360.44453 1365.52356 1365.91760 1365.10938
19960712 1360.53063 1365.60999 1366.00085 1365.21912
19960713 1360.48940 1365.56860 1365.97241 1365.15637
19960714 1360.41826 1365.49719 1365.89502 1365.09875
19960715 1360.43164 1365.51062 1365.91077 1365.10986
19960716 1360.44830 1365.52734 1365.91162 1365.14331
19960717 1360.45316 1365.53223 1365.91919 1365.14490
19960718 1360.41583 1365.49475 1365.88879 1365.10034
19960719 1360.43711 1365.51611 1365.90930 1365.12488
19960720 1360.43504 1365.51404 1365.90186 1365.12598
19960721 1360.41607 1365.49500 1365.88586 1365.10364
19960722 1360.41449 1365.49341 1365.88513 1365.09814
19960723 1360.43832 1365.51733 1365.89478 1365.14001
19960724 1360.40828 1365.48718 1365.89160 1365.08191
19960725 1360.45657 1365.53564 1365.92773 1365.13428
19960726 1360.50485 1365.58411 1365.96338 1365.20471
19960727 1360.49548 1365.57471 1365.98303 1365.16565
19960728 1360.55325 1365.63269 1366.03137 1365.23328
19960729 1360.52309 1365.60242 1366.00745 1365.19556
19960730 1360.44878 1365.52783 1365.90820 1365.14746
19960731 1360.34675 1365.42542 1365.82434 1365.02588
19960801 1360.30491 1365.38342 1365.76953 1364.99719
19960802 1360.28837 1365.36682 1365.72253 1365.01160
19960803 1360.32473 1365.40332 1365.75500 1365.05505
19960804 1360.42300 1365.50195 1365.84595 1365.15881
19960805 1360.54328 1365.62268 1365.95337 1365.29321
19960806 1360.58402 1365.66357 1366.01953 1365.32251
19960807 1360.61406 1365.69373 1366.03772 1365.35034
19960808 1360.53659 1365.61597 1365.97070 1365.25891
19960809 1360.46228 1365.54138 1365.91345 1365.16943
19960810 1360.42458 1365.50354 1365.87805 1365.12524
19960811 1360.36231 1365.44104 1365.82227 1365.05981
19960812 1360.42020 1365.49915 1365.87207 1365.12646
19960813 1360.51275 1365.59204 1365.94165 1365.24194
19960814 1360.47688 1365.55603 1365.93677 1365.17517
19960815 1360.41655 1365.49548 1365.87646 1365.11426
19960816 1360.41315 1365.49207 1365.85718 1365.12695
19960817 1360.44258 1365.52161 1365.89941 1365.14380
19960818 1360.44720 1365.52625 1365.90051 1365.14758
19960819 1360.43589 1365.51489 1365.88220 1365.14758
19960820 1360.44380 1365.52283 1365.88879 1365.15686
19960821 1360.43601 1365.51501 1365.87878 1365.15125
19960822 1360.45973 1365.53882 1365.89709 1365.18066
19960823 1360.52686 1365.60620 1365.95032 1365.25854
19960824 1360.61965 1365.69934 1366.06836 1365.33032
19960825 1360.72814 1365.80823 1366.18311 1365.43335
19960826 1360.75623 1365.83643 1366.20715 1365.46570
19960827 1360.71415 1365.79419 1366.16968 1365.41870
19960828 1360.68873 1365.76868 1366.12109 1365.41614
19960829 1360.64082 1365.72058 1366.09851 1365.34290
19960830 1360.66757 1365.74744 1366.12988 1365.36536
19960831 1360.71208 1365.79211 1366.15564 1365.42847
19960901 1360.74103 1365.82117 1366.19641 1365.44629
19960902 1360.76876 1365.84900 1366.19714 1365.49768
19960903 1360.72911 1365.80920 1366.15881 1365.45947
19960904 1360.63182 1365.71155 1366.05969 1365.36316
19960905 1360.55070 1365.63013 1365.98828 1365.27197
19960906 1360.48551 1365.56470 1365.94287 1365.18689
19960907 1360.50752 1365.58679 1365.95898 1365.21094
19960908 1360.52285 1365.60217 1365.95715 1365.24719
19960909 1360.52966 1365.60901 1365.97864 1365.23962
19960910  -99.00000  -99.00000  -99.00000  -99.00000
19960911  -99.00000  -99.00000  -99.00000  -99.00000
19960912  -99.00000  -99.00000  -99.00000  -99.00000
19960913  -99.00000  -99.00000  -99.00000  -99.00000
19960914 1360.48831 1365.56750  -99.00000 1365.21191
19960915 1360.47128 1365.55042  -99.00000 1365.19434
19960916 1360.41668 1365.49561  -99.00000 1365.13953
19960917 1360.53306 1365.61243 1365.97253 1365.27441
19960918 1360.55605 1365.63550 1365.98779 1365.28308
19960919 1360.55897 1365.63843 1366.00818 1365.26880
19960920 1360.59995 1365.67957 1366.05334 1365.30579
19960921 1360.69043 1365.77039 1366.12061 1365.42004
19960922 1360.70880 1365.78882 1366.14929 1365.42554
19960923 1360.74115 1365.82129 1366.18201 1365.46057
19960924 1360.70174 1365.78174 1366.13696 1365.42651
19960925 1360.71683 1365.79688 1366.13135 1365.46216
19960926 1360.70576 1365.78577 1366.11060 1365.46045
19960927 1360.67110 1365.75098 1366.10925 1365.39648
19960928 1360.69420 1365.77417 1366.12097 1365.42688
19960929 1360.68277 1365.76270 1366.09851 1365.42847
19960930 1360.66100 1365.74084 1366.07654 1365.41541
19961001 1360.59472 1365.67432 1366.00476 1365.34338
19961002 1360.49658 1365.57581 1365.92651 1365.21960
19961003 1360.48661 1365.56580 1365.90198 1365.22925
19961004 1360.53136 1365.61072 1365.90686 1365.31335
19961005 1360.48430 1365.56348 1365.87500 1365.25098
19961006 1360.44270 1365.52173 1365.87158 1365.17175
19961007 1360.43686 1365.51587 1365.85571 1365.17041
19961008 1360.45097 1365.53003 1365.85852 1365.20105
