;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7514 are extrapolated until 7540 (23:07:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Wed Jun 08 15:29:16 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00030888 ;ratio_vir2PMO6V (f10.8)
0.99969307 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
     664     1.0527    -0.3340
     667     1.1036    -0.3181
     670     1.1545    -0.3023
     673     1.2054    -0.2887
     676     1.2609    -0.2765
     679     1.2238    -0.2904
     682     1.2028    -0.2837
     685     1.2306    -0.2609
     688     1.2584    -0.3085
     691     1.2396    -0.2352
     694     1.3229    -0.2697
     697     1.2215    -0.2980
     700     1.2405    -0.3178
     703     1.2595    -0.2476
     706     1.2782    -0.2220
     709     1.2968    -0.2490
     712     1.3645    -0.2682
     715     1.4050    -0.2077
     718     1.3452    -0.2553
     721     1.3636    -0.2213
     724     1.3821    -0.2280
     727     1.3798    -0.2140
     730     1.3776    -0.2394
     733     1.3753    -0.2949
     736     1.3949    -0.2423
     739     1.4877    -0.2506
     742     1.4937    -0.2357
     745     1.4211    -0.2741
     748     1.4708    -0.2272
     751     1.4504    -0.2348
     754     1.5002    -0.2629
     757     1.4831    -0.2500
     760     1.4989    -0.1938
     763     1.4764    -0.2321
     766     1.4595    -0.2269
     769     1.5468    -0.2659
     772     1.5512    -0.2439
     775     1.6175    -0.2354
     778     1.6626    -0.1999
     781     1.6005    -0.2201
     784     1.6180    -0.2194
     787     1.6413    -0.2150
     790     1.6645    -0.2105
     793     1.6390    -0.2312
     796     1.6674    -0.2574
     799     1.6763    -0.2411
     802     1.7230    -0.2231
     805     1.7266    -0.2147
     808     1.6675    -0.2736
     811     1.7057    -0.2644
     814     1.7439    -0.2552
     817     1.7569    -0.2305
     820     1.7699    -0.2871
     823     1.7686    -0.2832
     826     1.7673    -0.2793
     829     1.7660    -0.2755
     832     1.7837    -0.2507
     835     1.7889    -0.2305
     838     1.8144    -0.2691
     841     1.8085    -0.2726
     844     1.8027    -0.2761
     847     1.7969    -0.2819
     850     1.7910    -0.2877
     853     1.8582    -0.3065
     856     1.9053    -0.2678
     859     1.8768    -0.3152
     862     1.9137    -0.2756
     865     1.9506    -0.2435
     868     1.9959    -0.2734
     871     1.9366    -0.2947
     874     1.8773    -0.3161
     877     1.8993    -0.2998
     880     2.0222    -0.2692
     883     1.9964    -0.2872
     886     1.9705    -0.2835
     889     2.0139    -0.3260
     892     1.9964    -0.3049
     895     1.9790    -0.3137
     898     2.0226    -0.3302
     901     2.0127    -0.2919
     904     2.0027    -0.3466
     907     2.1240    -0.2726
     910     2.1745    -0.2812
     913     2.0687    -0.3317
     916     2.0943    -0.3440
     919     2.1966    -0.3273
     922     2.1418    -0.3051
     925     2.0870    -0.3676
     928     2.0257    -0.3638
     931     2.1076    -0.3509
     934     2.1894    -0.2938
     937        NaN        NaN
     940        NaN        NaN
     943        NaN        NaN
     946        NaN        NaN
     949        NaN        NaN
     952        NaN        NaN
     955        NaN        NaN
     958        NaN        NaN
     961        NaN        NaN
     964        NaN        NaN
     967        NaN        NaN
     970        NaN        NaN
     973        NaN        NaN
     976        NaN        NaN
     979        NaN        NaN
     982        NaN        NaN
     985        NaN        NaN
     988        NaN        NaN
     991        NaN        NaN
     994        NaN        NaN
     997        NaN        NaN
    1000        NaN        NaN
    1003        NaN        NaN
    1006        NaN        NaN
    1009        NaN        NaN
    1012        NaN        NaN
    1015        NaN        NaN
    1018        NaN        NaN
    1021        NaN        NaN
    1024        NaN        NaN
    1027        NaN        NaN
    1030        NaN        NaN
    1033        NaN        NaN
    1036        NaN        NaN
    1039        NaN        NaN
    1042        NaN        NaN
    1045     2.1941     0.8310
    1048     2.1252     0.8151
    1051     2.1422     0.8036
    1054     2.1591     0.0412
    1057     2.1434     0.0189
    1060     2.1085     0.0401
    1063     2.1494     0.0066
    1066     2.2013     0.0429
    1069     2.1377     0.0144
    1072     2.1358     0.0450
    1075     2.1338     0.0999
    1078     2.2006     0.0334
    1081     2.1588     0.0168
    1084     2.1171     0.0002
    1087     2.1895     0.0419
    1090     2.2315     0.0510
    1093     2.2165     0.0149
    1096     2.1850     0.0554
    1099     2.1245     0.0770
    1102     2.2524     0.0254
    1105     2.2058     0.0200
    1108     2.2708     0.0794
    1111        NaN        NaN
    1114        NaN        NaN
    1117        NaN        NaN
    1120        NaN        NaN
    1123        NaN        NaN
    1126        NaN        NaN
    1129        NaN        NaN
    1132        NaN        NaN
    1135        NaN        NaN
    1138        NaN        NaN
    1141        NaN        NaN
    1144        NaN        NaN
    1147        NaN        NaN
    1150        NaN        NaN
    1153        NaN        NaN
    1156        NaN        NaN
    1159        NaN        NaN
    1162        NaN     0.0463
    1165     2.4095     0.0402
    1168     2.3722     0.0336
    1171     2.3905     0.0436
    1174     2.4088     0.0537
    1177     2.4271     0.0638
    1180     2.4341     0.0746
    1183     2.5336     0.0705
    1186     2.4408     0.0264
    1189     2.4841     0.0744
    1192     2.4869     0.0879
    1195     2.5549     0.1039
    1198     2.5110     0.0966
    1201     2.5336     0.0955
    1204     2.5562     0.0944
    1207     2.4794     0.0805
    1210     2.5182     0.0739
    1213     2.5295     0.1111
    1216     2.5407     0.0938
    1219     2.5262     0.0452
    1222     2.5464     0.1034
    1225     2.5665     0.1161
    1228     2.6228     0.0787
    1231     2.5985     0.0677
    1234     2.5742     0.0752
    1237     2.6019     0.0973
    1240     2.5891     0.0932
    1243     2.6532     0.0762
    1246     2.6494     0.0621
    1249     2.6745     0.1216
    1252     2.5899     0.1201
    1255     2.6673     0.0995
    1258     2.6531     0.0903
    1261     2.6836     0.1165
