;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7994 are extrapolated until 8020 (15:11:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sat Sep 30 09:30:10 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00036420 ;ratio_vir2PMO6V (f10.8)
0.99963534 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
     664     1.0831    -0.2979
     667     1.1344    -0.2818
     670     1.1857    -0.2658
     673     1.2369    -0.2522
     676     1.2928    -0.2397
     679     1.2562    -0.2535
     682     1.2355    -0.2468
     685     1.2637    -0.2238
     688     1.2918    -0.2712
     691     1.2734    -0.1978
     694     1.3572    -0.2322
     697     1.2561    -0.2604
     700     1.2755    -0.2800
     703     1.2948    -0.2098
     706     1.3139    -0.1841
     709     1.3330    -0.2109
     712     1.4010    -0.2299
     715     1.4419    -0.1693
     718     1.3823    -0.2169
     721     1.4011    -0.1826
     724     1.4198    -0.1891
     727     1.4178    -0.1749
     730     1.4158    -0.2004
     733     1.4138    -0.2556
     736     1.4336    -0.2030
     739     1.5265    -0.2110
     742     1.5328    -0.1961
     745     1.4604    -0.2344
     748     1.5103    -0.1873
     751     1.4899    -0.1947
     754     1.5399    -0.2227
     757     1.5230    -0.2097
     760     1.5390    -0.1534
     763     1.5166    -0.1915
     766     1.4996    -0.1863
     769     1.5869    -0.2251
     772     1.5914    -0.2030
     775     1.6577    -0.1944
     778     1.7028    -0.1588
     781     1.6406    -0.1789
     784     1.6582    -0.1780
     787     1.6814    -0.1735
     790     1.7047    -0.1689
     793     1.6790    -0.1895
     796     1.7074    -0.2156
     799     1.7161    -0.1991
     802     1.7626    -0.1810
     805     1.7661    -0.1724
     808     1.7068    -0.2312
     811     1.7448    -0.2218
     814     1.7828    -0.2125
     817     1.7956    -0.1878
     820     1.8084    -0.2442
     823     1.8069    -0.2402
     826     1.8054    -0.2362
     829     1.8038    -0.2321
     832     1.8213    -0.2074
     835     1.8263    -0.1870
     838     1.8515    -0.2255
     841     1.8454    -0.2288
     844     1.8392    -0.2321
     847     1.8331    -0.2379
     850     1.8270    -0.2436
     853     1.8940    -0.2623
     856     1.9408    -0.2235
     859     1.9122    -0.2708
     862     1.9488    -0.2310
     865     1.9854    -0.1988
     868     2.0304    -0.2286
     871     1.9709    -0.2498
     874     1.9115    -0.2711
     877     1.9333    -0.2548
     880     2.0559    -0.2239
     883     2.0298    -0.2418
     886     2.0037    -0.2381
     889     2.0469    -0.2804
     892     2.0293    -0.2593
     895     2.0116    -0.2679
     898     2.0550    -0.2843
     901     2.0448    -0.2458
     904     2.0346    -0.3005
     907     2.1557    -0.2263
     910     2.2061    -0.2349
     913     2.1000    -0.2852
     916     2.1255    -0.2974
     919     2.2277    -0.2805
     922     2.1727    -0.2582
     925     2.1177    -0.3206
     928     2.0565    -0.3168
     931     2.1381    -0.3036
     934     2.2198    -0.2465
     937        NaN        NaN
     940        NaN        NaN
     943        NaN        NaN
     946        NaN        NaN
     949        NaN        NaN
     952        NaN        NaN
     955        NaN        NaN
     958        NaN        NaN
     961        NaN        NaN
     964        NaN        NaN
     967        NaN        NaN
     970        NaN        NaN
     973        NaN        NaN
     976        NaN        NaN
     979        NaN        NaN
     982        NaN        NaN
     985        NaN        NaN
     988        NaN        NaN
     991        NaN        NaN
     994        NaN        NaN
     997        NaN        NaN
    1000        NaN        NaN
    1003        NaN        NaN
    1006        NaN        NaN
    1009        NaN        NaN
    1012        NaN        NaN
    1015        NaN        NaN
    1018        NaN        NaN
    1021        NaN        NaN
    1024        NaN        NaN
    1027        NaN        NaN
    1030        NaN        NaN
    1033        NaN        NaN
    1036        NaN        NaN
    1039        NaN        NaN
    1042        NaN        NaN
    1045     2.2321     0.8750
    1048     2.1633     0.8577
    1051     2.1805     0.8450
    1054     2.1977     0.0812
    1057     2.1821     0.0577
    1060     2.1475     0.0776
    1063     2.1884     0.0430
    1066     2.2408     0.0780
    1069     2.1771     0.0484
    1072     2.1754     0.0782
    1075     2.1737     0.1323
    1078     2.2406     0.0652
    1081     2.1991     0.0484
    1084     2.1575     0.0316
    1087     2.2300     0.0734
    1090     2.2723     0.0828
    1093     2.2572     0.0472
    1096     2.2259     0.0886
