 36  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to e.g. C. Frohlich, D. Crommelynck, C. Wehrli, M. Anklin, S. Dewitte, 
;   A. Fichot, W. Finsterle, A. Jiménez, A. Chevalier, and H. J. Roth. 
;   "In-flight performances of VIRGO solar irradiance instruments on SOHO" 
;   Sol. Phys., 175:267–286, 1997, doi:10.1023/A:1004929108864 
;and acknowlege receipt of the updated dataset (mention version used) "of the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO from VIRGO Team through PMOD/WRC, Davos, Switzerland" 
;The data are available from the ftp server ftp.pmodwrc.ch in the directory 
;/data/irradiance/virgo/TSI/virgo_tsi_d_ and virgo_tsi_h_6_005_1705.dat
;for daily and hourly values respectively. 
;Virgo version 6.4 is a new way to analyse the degradation and other long-term changes in space
;and is described in "Degradation of Radiometers in Space: Application to VIRGO TSI", 
;  available at ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_TSI-vers64.pdf.
;In view of the differences in absolute scale between the classical radiomezters and TIM/SORCE
;  a new characterizion of the VIRGO radiometer has been performed and is described in
;  ftp://ftp.pmodwrc.ch/pub/Claus/VIRGO-TSI/VIRGO_Char2Space.pdf. The new scale can be implemented
;  by multiplying the VIRGO, PMO6V and DIARAD TSI with 0.9962805, 0.9975214 and0.9950435, respectively.
;The new VIRGO values are presented in the first irradiance column and the original valöues in the following ones.
;Publications for the new version 6.4 and the scale in the open literature are in preparation.
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO new scale (Wm-2)
;3rd col: TSI VIRGO original scale (Wm-2)
;4th col: TSI DIARAD original scale (Wm-2)
;5th col: TSI PMO6-V original scale (Wm-2)
;format (i4,2i2.2,4f11.5)
;Col 2-5 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created Jun 05 2017
;Version: 6_005_1705
the first part is version of the procedure 
;    and the second part the YYMM month of the update
;                   level 2.0
;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19960128 1360.54352 1365.62292  -99.00000 1365.24561
19960129 1360.53744 1365.61682  -99.00000 1365.23999
19960130 1360.54997 1365.62939  -99.00000 1365.25281
19960131 1360.55860 1365.63806  -99.00000 1365.26172
19960201 1360.57514 1365.65466  -99.00000 1365.27844
19960202 1360.57186 1365.65137  -99.00000 1365.27527
19960203 1360.53014 1365.60950  -99.00000 1365.23352
19960204 1360.48624 1365.56543  -99.00000 1365.18970
19960205 1360.46326 1365.54236  -99.00000 1365.16687
19960206 1360.47286 1365.55200  -99.00000 1365.17676
19960207 1360.48405 1365.56323 1365.94885 1365.18286
19960208 1360.45657 1365.53564 1365.91260 1365.15967
19960209 1360.46119 1365.54028 1365.90527 1365.17542
19960210 1360.48612 1365.56531 1365.92993 1365.19897
19960211 1360.42908 1365.50806 1365.88232  -99.00000
19960212 1360.41327 1365.49219 1365.86633  -99.00000
19960213 1360.44550 1365.52454 1365.89868  -99.00000
19960214 1360.41108 1365.48999 1365.86389  -99.00000
19960215 1360.42896 1365.50793 1365.88123  -99.00000
19960216 1360.44659 1365.52563 1365.89819  -99.00000
19960217 1360.45365 1365.53271 1365.90454  -99.00000
19960218 1360.49731 1365.57654 1365.94800  -99.00000
19960219 1360.49402 1365.57324 1365.94434  -99.00000
19960220 1360.55909 1365.63855 1366.00928  -99.00000
19960221 1360.60397 1365.68359 1366.05420  -99.00000
19960222 1360.59107 1365.67065 1366.05115 1365.26624
19960223 1360.57514 1365.65466 1366.05969 1365.24915
19960224 1360.56213 1365.64160 1366.03479 1365.23389
19960225 1360.54559 1365.62500 1366.01721 1365.23242
19960226 1360.56067 1365.64014 1366.02954 1365.24878
19960227 1360.59582 1365.67542 1366.06470 1365.28577
19960228 1360.59752 1365.67712 1366.05737 1365.29431
19960229 1360.54778 1365.62720 1366.01184 1365.24231
19960301 1360.52491 1365.60425 1365.99255 1365.22339
19960302 1360.50083 1365.58008 1365.97766 1365.18201
19960303 1360.49415 1365.57336 1365.94946 1365.19373
19960304 1360.46921 1365.54834 1365.96106 1365.13489
19960305 1360.46301 1365.54211 1365.94666 1365.12732
19960306 1360.48746 1365.56665 1365.95166 1365.18127
19960307 1360.49074 1365.56995 1365.95313 1365.18811
19960308 1360.50400 1365.58325 1365.91638 1365.25098
19960309 1360.46800 1365.54712 1365.89966 1365.19568
19960310 1360.47870 1365.55786 1365.90039 1365.21606
19960311 1360.46544 1365.54456 1365.91431 1365.17566
19960312 1360.45207 1365.53113 1365.88928 1365.17322
19960313 1360.41120 1365.49011 1365.85596 1365.12830
19960314 1360.44088 1365.51990 1365.88416 1365.15576
19960315 1360.49840 1365.57764 1365.92944 1365.22729
19960316 1360.52078 1365.60010 1365.96008 1365.24036
19960317 1360.56420 1365.64368 1365.99353 1365.29749
19960318 1360.56833 1365.64783 1366.01196 1365.28394
19960319 1360.57332 1365.65283 1366.00928 1365.30835
19960320 1360.55240 1365.63184 1365.99402 1365.26990
19960321 1360.54000 1365.61938 1365.96179 1365.27649
19960322 1360.41826 1365.49719 1365.86682 1365.12756
19960323 1360.40172 1365.48059 1365.85181 1365.11401
19960324 1360.42191 1365.50085 1365.86560 1365.13635
19960325 1360.47955 1365.55872 1365.91187 1365.19604
19960326 1360.48758 1365.56677 1365.90356 1365.25452
19960327 1360.52832 1365.60767 1365.97742  -99.00000
19960328 1360.55921 1365.63867 1366.00781  -99.00000
19960329 1360.56432 1365.64380 1365.99207 1365.30237
19960330 1360.51762 1365.59692 1365.94739 1365.24707
19960331 1360.53927 1365.61865 1365.96179 1365.27625
19960401 1360.53343 1365.61279 1365.97620 1365.24939
19960402 1360.54912 1365.62854 1365.98743 1365.27588
19960403 1360.56420 1365.64368 1366.00586 1365.29419
19960404 1360.57818 1365.65771 1366.02734  -99.00000
19960405 1360.57356 1365.65308 1366.01001 1365.30444
19960406 1360.52868 1365.60803 1365.99646 1365.21460
19960407 1360.53647 1365.61584 1366.03564 1365.19397
19960408 1360.53306 1365.61243 1366.02478 1365.18677
19960409 1360.53939 1365.61877 1366.01196 1365.22437
19960410 1360.54060 1365.62000 1366.00818 1365.21826
19960411 1360.59813 1365.67773 1366.04919 1365.30579
19960412 1360.57903 1365.65857 1366.04468 1365.27673
19960413 1360.62342 1365.70313 1366.05981 1365.34644
19960414 1360.61637 1365.69604 1366.05029 1365.36218
19960415 1360.55204 1365.63147 1365.98669  -99.00000
19960416 1360.65419 1365.73401 1365.99768 1365.50452
19960417 1360.47432 1365.55347 1365.95996 1365.14502
19960418 1360.47809 1365.55725 1365.95190 1365.16956
19960419 1360.49196 1365.57117 1365.98523 1365.15479
19960420 1360.48125 1365.56042 1365.97876 1365.12805
19960421 1360.46070 1365.53979 1365.95691 1365.12012
19960422 1360.42385 1365.50281 1365.91577 1365.09094
19960423 1360.51251 1365.59180 1365.90247 1365.30151
19960424 1360.40987 1365.48877 1365.89233 1365.09741
19960425 1360.44063 1365.51965 1365.91602 1365.12183
19960426 1360.43638 1365.51538 1365.91248 1365.12573
19960427 1360.43650 1365.51550 1365.87805 1365.15295
