 51  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to one of the publications and acknowlege receipt of the 
;dataset (mention version used) from VIRGO Team through PMOD/WRC, Davos,
;Switzerland, and acknowledge "unpublished data from the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO"
;The data are also available from the ftp server OBSUN.PMODWRC.CH in the directory 
;/data/irradiance/virgo/virgo_tsi_d_v4_901.dat or virgo_tsi_h_v4_901.dat
;as daily and hourly values respectively. These files contain VIRGO, DIARAD 
;and PMO6-V data at level 2.0 (determined by comparison of level 1.8 data 
;of DIARAD and PMO6-V: non-exposure dependent changes) and level 1.8 (determined 
;by comparison of backup and operational individual radiometers: exposure dependent 
;changes). The level 1.8 DIARAD data are also available from 
;http://remotesensing.oma.be/solarconstant/virgo/diarad_data.htm
;
;Selected REFERENCES:
;(1)   Fr{\"o}hlich, C., Crommelynck, D., Wehrli, C., Anklin, M., Dewitte, S., Fichot,
;      A., Finsterle, W., Jim{\e}nez, A., Chevalier, A. and Roth, H.~J.: 1997,
;      In-flight performances of {VIRGO} solar irradiance instruments on {SOHO},
19960417 1365.44873 1365.90601 1364.88586 1365.96228 1365.04309
19960418 1365.44275 1365.89990 1364.90881 1365.95703 1365.06738
19960419 1365.47803 1365.93530 1364.89478 1365.99329 1365.05457
19960420 1365.47400 1365.93140 1364.86487 1365.99023 1365.02563
19960421 1365.45117 1365.90857 1364.85913 1365.96826 1365.02112
19960422 1365.41309 1365.87061 1364.83374 1365.93103 1364.99683
19960423 1365.39575 1365.85339 1365.04431 1365.91467 1365.20825
19960424 1365.38794 1365.84570 1364.83887 1365.90759 1365.00391
19960425 1365.40320 1365.86096 1364.86194 1365.92346 1365.02795
19960426 1365.39648 1365.85425 1364.87012 1365.91736 1365.03699
19960427 1365.36255 1365.82031 1364.89648 1365.88428 1365.06421
19960428 1365.36475 1365.82251 1364.89551 1365.88721 1365.06409
19960429 1365.39465 1365.85242 1364.94910 1365.91785 1365.11865
19960430 1365.36768 1365.82544 1364.92480 1365.89148 1365.09497
19960501 1365.41748 1365.84436 1364.99402 1365.91089 1365.16528
19960502 1365.42273 1365.87708 1364.98206 1365.94421 1365.15454
19960503 1365.38757 1365.85742 1364.91040 1365.92493 1365.08386
19960504 1365.39868 1365.85571 1364.94580 1365.92346 1365.12024
19960505 1365.45142 1365.89160 1365.01123 1365.95996 1365.18665
19960506 1365.51892 1365.94019 1365.11365 1366.00928 1365.28967
19960507 1365.59131 1365.98096 1365.20154 1366.05127 1365.37793
19960508 1365.61011 1366.05237 1365.16589 1366.12366 1365.34265
19960509 1365.62341 1366.03271 1365.21399 1366.10474 1365.39148
19960510 1365.53027 1365.94690 1365.12524 1366.01953 1365.30359
19960511 1365.48926 1365.89429 1365.08423 1365.96741 1365.26355
19960512 1365.48828 1365.90601 1365.07056 1365.97949 1365.25073
19960513 1365.49390 1365.91492 1365.07288 1365.98889 1365.25403
19960514 1365.55505 1365.95105 1365.15137 1366.02551 1365.33350
19960515 1365.55554 1365.99316 1365.11792 1366.06787 1365.30103
19960516 1365.63513 1366.02881 1365.25403 1366.10388 1365.43823
19960517 1365.62793 1366.03516 1365.22070 1366.11047 1365.40613
19960518 1365.57727 1365.99573 1365.17590 1366.07092 1365.36267
19960519 1365.47327 1365.92542 1365.02100 1366.00037 1365.20935
19960520 1365.39526 1365.84741 1364.94519 1365.92224 1365.13501
19960521 1365.36707 1365.81946 1364.91479 1365.89429 1365.10596
19960522 1365.36890 1365.81775 1364.91931 1365.89282 1365.11169
19960523 1365.36755 1365.81738 1364.91772 1365.89270 1365.11096
19960524 1365.36584 1365.78674 1364.95276 1365.86279 1365.14661
19960525 1365.36719 1365.79626 1364.93811 1365.87317 1365.13245
19960526 1365.37402 1365.80701 1364.93933 1365.88477 1365.13403
19960527 1365.33752 1365.80066 1364.87451 1365.87927 1365.06958
19960528 1365.37805 1365.81104 1364.94629 1365.89075 1365.14172
19960529 1365.31689 1365.78455 1364.84924 1365.86487 1365.04529
19960530 1365.31677 1365.77405 1364.85986 1365.85461 1365.05713
19960531 1365.33582 1365.79675 1364.87341 1365.87695 1365.07227
19960601 1365.35999 1365.82593 1364.89441 1365.90601 1365.09460
19960602 1365.41821 1365.88855 1364.94788 1365.96899 1365.14880
19960603 1365.44165 1365.92261 1364.95203 1366.00354 1365.15356
19960604 1365.53601 1365.98523 1365.09485 1366.06665 1365.29712
19960605 1365.50110 1365.98206 1365.02014 1366.06372 1365.22327
19960606 1365.44580 1365.94763 1364.94409 1366.02942 1365.14832
19960607 1365.41064 1365.87646 1364.94116 1365.95874 1365.14624
19960608 1365.37036 1365.85437 1364.88879 1365.93713 1365.09448
19960609 1365.39050 1365.87488 1364.91443 1365.95837 1365.12061
19960610 1365.45251 1365.91565 1364.98608 1365.99988 1365.19250
19960611 1365.45056 1365.92700 1364.97424 1366.01208 1365.18115
19960612 1365.46655 1365.93359 1364.99963 1366.01941 1365.20703
19960613 1365.45227 1365.91492 1364.98401 1366.00159 1365.19189
19960614 1365.42578 1365.87622 1364.97522 1365.96375 1365.18335
19960615 1365.35779 1365.81970 1364.89209 1365.90796 1365.10046
19960616 1365.33533 1365.79761 1364.87549 1365.88684 1365.08398
19960617 1365.34058 1365.79883 1364.88208 1365.88928 1365.09058
19960618 1365.29883 1365.76257 1364.83508 1365.85425 1365.04333
19960619 1365.33887 1365.79907 1364.87927 1365.89197 1365.08740
19960620 1365.34583 1365.79663 1364.89490 1365.89087 1365.10303
19960621 1365.32690 1365.78284 1364.87097 1365.87817 1365.07886
19960622 1365.30200 1365.76221 1364.84229 1365.85876 1365.05017
19960623 1365.31738 1365.77307 1364.86182 1365.87048 1365.06995
19960624 1365.35669 1365.82166 1364.89160 1365.91992 1365.09998
19960625 1365.36829 1365.82263 1364.91443 1365.92163 1365.12317
19960626 1365.33887 1365.81042 1364.86731 1365.91016 1365.07642
19960627 1365.36121 1365.81616 1364.91223 1365.91663 1365.12183
19960628 1365.40332 1365.87878 1364.93225 1365.97998 1365.14221
19960629 1365.49426 1365.95386 1365.03467 1366.05554 1365.24512
19960630 1365.54224 1366.00073 1365.07922 1366.10291 1365.29004
19960701 1365.57141 1366.02563 1365.12354 1366.12842 1365.33484
19960702 1365.58289 1366.04626 1365.11963 1366.14978 1365.33118
19960703 1365.55164 1366.02551 1365.07776 1366.12988 1365.28967
19960704 1365.53870 1366.00525 1365.07385 1366.11035 1365.28589
19960705 1365.52539 1365.99719 1365.05359 1366.10303 1365.26599
19960706 1365.48438 1365.95728 1365.01135 1366.06396 1365.22388
19960707 1365.46570 1365.92590 1365.00391 1366.03345 1365.21667
19960708 1365.24377 1365.70239 1364.78516 1365.81055 1364.99829
19960709 1365.07507 1365.54285 1364.60730 1365.65137 1364.82104
19960710 1365.18848 1365.64709 1364.73010 1365.75598 1364.94446
19960711 1365.31897 1365.78235 1364.83508 1365.89172 1365.05005
19960712 1365.39734 1365.85645 1364.94116 1365.96594 1365.15723
19960713 1365.35205 1365.82007 1364.87891 1365.92993 1365.09570
19960714 1365.28491 1365.74719 1364.82263 1365.85730 1365.04004
19960715 1365.30505 1365.77307 1364.83716 1365.88342 1365.05518
19960716 1365.32166 1365.77502 1364.86938 1365.88562 1365.08813
19960717 1365.32520 1365.78613 1364.86438 1365.89673 1365.08386
19960718 1365.29028 1365.75757 1364.82300 1365.86829 1365.04346
19960719 1365.31226 1365.77942 1364.84753 1365.89014 1365.06885
19960720 1365.30725 1365.76904 1364.84546 1365.87988 1365.06763
19960721 1365.28857 1365.75378 1364.82336 1365.86499 1365.04614
19960722 1365.28882 1365.75378 1364.82080 1365.86523 1365.04431
19960723 1365.30798 1365.75989 1364.85608 1365.87146 1365.08032
19960724 1365.28162 1365.75977 1364.80347 1365.87158 1365.02844
19960725 1365.33032 1365.79602 1364.85693 1365.90808 1365.08264
19960726 1365.37585 1365.82959 1364.92212 1365.94189 1365.14844
19960727 1365.36584 1365.84583 1364.88574 1365.95850 1365.11279
19960728 1365.42126 1365.89221 1364.95044 1366.00500 1365.17810
19960729 1365.38782 1365.86426 1364.90979 1365.97742 1365.13806
19960730 1365.31775 1365.77075 1364.86462 1365.88440 1365.09338
19960731 1365.21667 1365.69348 1364.73975 1365.80750 1364.96899
19960801 1365.17639 1365.64294 1364.70996 1365.75745 1364.93958
19960802 1365.16553 1365.60449 1364.72668 1365.71960 1364.95667
19960803 1365.21399 1365.64502 1364.77112 1365.76086 1365.00146
19960804 1365.30237 1365.73169 1364.87317 1365.84827 1365.10352
19960805 1365.41968 1365.83374 1365.00562 1365.95129 1365.23596
19960806 1365.46045 1365.89673 1365.03613 1366.01501 1365.26648
19960807 1365.48450 1365.90894 1365.06018 1366.02808 1365.29053
19960808 1365.40625 1365.84180 1364.96814 1365.96167 1365.19873
19960809 1365.33240 1365.78589 1364.87891 1365.90662 1365.10962
19960810 1365.29333 1365.75256 1364.83398 1365.87390 1365.06482
19960811 1365.23328 1365.69812 1364.76855 1365.82007 1364.99963
19960812 1365.29736 1365.75330 1364.84155 1365.87585 1365.07288
19960813 1365.38904 1365.82275 1364.95068 1365.94604 1365.18225
19960814 1365.34631 1365.81104 1364.88171 1365.93469 1365.11353
19960815 1365.28809 1365.75037 1364.82581 1365.87451 1365.05811
19960816 1365.28308 1365.72913 1364.83716 1365.85364 1365.06982
19960817 1365.30786 1365.76453 1364.85107 1365.88953 1365.08435
19960818 1365.31140 1365.76355 1364.85767 1365.88892 1365.09143
19960819 1365.30237 1365.74731 1364.85730 1365.87317 1365.09143
19960820 1365.31128 1365.75647 1364.86621 1365.88281 1365.10059
19960821 1365.30310 1365.74670 1364.85950 1365.87354 1365.09424
19960822 1365.33167 1365.76965 1364.89380 1365.89697 1365.12878
19960823 1365.39832 1365.82422 1364.96851 1365.95203 1365.20386
19960824 1365.48914 1365.93823 1365.04004 1366.06653 1365.27588
19960825 1365.59387 1366.04578 1365.14185 1366.17419 1365.37830
19960826 1365.61816 1366.06396 1365.17224 1366.19250 1365.40930
19960827 1365.57336 1366.02112 1365.12549 1366.14966 1365.36316
19960828 1365.54224 1365.96912 1365.11853 1366.09766 1365.35645
19960829 1365.49963 1365.95081 1365.04761 1366.07922 1365.28564
19960830 1365.52991 1365.98596 1365.07397 1366.11426 1365.31226
19960831 1365.57629 1366.01526 1365.13464 1366.14368 1365.37305
19960901 1365.60559 1366.05811 1365.15308 1366.18652 1365.39172
19960902 1365.63354 1366.05920 1365.19971 1366.18787 1365.43860
19960903 1365.59253 1366.02148 1365.16357 1366.15039 1365.40271
19960904 1365.49402 1365.92297 1365.06494 1366.05225 1365.30457
19960905 1365.41064 1365.85132 1364.96997 1365.98096 1365.20996
19960906 1365.35059 1365.80884 1364.89221 1365.93872 1365.13269
19960907 1365.36707 1365.82324 1364.90991 1365.95300 1365.15100
19960908 1365.38354 1365.82031 1364.94580 1365.95020 1365.18713
19960909 1365.38818 1365.83459 1364.94177 1365.96497 1365.18311
19960910  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960911  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960912  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960913 1365.40845 1365.86658  -99.00000 1365.69043  -99.00000
19960914 1365.41553 1365.90332 1364.91479 1365.73364 1365.15576
19960915 1365.40393 1365.91418 1364.89368 1365.75134 1365.13428
19960916 1365.36841 1365.89355 1364.84326 1365.73743 1365.08350
19960917 1365.42981 1365.87988 1364.98145 1365.73022 1365.22119
19960918 1365.44299 1365.89624 1364.98975 1365.75244 1365.22937
19960919 1365.45044 1365.92542 1364.97546 1365.78735 1365.21521
19960920 1365.49744 1365.97913 1365.01575 1365.84668 1365.25549
19960921 1365.58875 1366.05164 1365.12598 1365.92480 1365.36584
19960922 1365.61292 1366.08704 1365.13696 1365.96582 1365.37720
19960923 1365.64648 1366.12268 1365.17029 1366.00684 1365.41077
19960924 1365.60986 1366.07996 1365.13977 1365.96948 1365.38037
19960925 1365.62781 1366.07825 1365.17725 1365.97302 1365.41809
19960926 1365.61682 1366.05969 1365.17395 1365.95972 1365.41479
19960927 1365.58569 1366.06177 1365.11426 1365.96680 1365.35510
19960928 1365.61096 1366.07935 1365.14490 1365.98962 1365.38562
19960929 1365.60095 1366.05664 1365.14771 1365.97180 1365.38806
19960930 1365.58508 1366.04077 1365.13318 1365.96106 1365.37329
19961001 1365.51501 1365.96826 1365.06177 1365.89355 1365.30151
19961002 1365.41809 1365.88916 1364.94336 1365.81970 1365.18262
19961003 1365.41174 1365.86377 1364.95972 1365.79895 1365.19873
19961004 1365.44531 1365.85547 1365.03516 1365.79529 1365.27405
19961005 1365.39661 1365.81616 1364.97705 1365.76074 1365.21570
19961006 1365.35010 1365.80432 1364.89600 1365.75342 1365.13440
19961007 1365.34241 1365.78101 1364.89819 1365.73462 1365.13635
19961008 1365.35693 1365.78723 1364.92676 1365.74524 1365.16479
19961009 1365.38293 1365.79919 1364.96667 1365.76172 1365.20422
19961010 1365.38354 1365.81323 1364.95386 1365.78015 1365.19104
19961011 1365.35840 1365.80420 1364.91260 1365.77563 1365.14954
19961012 1365.36462 1365.81970 1364.90503 1365.79553 1365.14148
19961013 1365.35474 1365.79883 1364.91052 1365.77905 1365.14661
19961014 1365.39600 1365.83545 1364.94397 1365.81982 1365.17957
19961015 1365.41394 1365.84155 1364.97766 1365.83020 1365.21301
19961016 1365.41443 1365.84900 1364.97986 1365.84167 1365.21484
19961017 1365.49756 1365.91223 1365.08069 1365.90894 1365.31543
19961018 1365.55896 1365.98926 1365.14124 1365.98975 1365.37573
19961019 1365.55713 1366.00696 1365.10266 1366.01111 1365.33704
19961020 1365.54956 1366.02954 1365.06958 1366.03735 1365.30396
19961021 1365.55664 1366.03613 1365.07715 1366.04749 1365.31152
19961022 1365.58545 1366.05042 1365.11987 1366.06519 1365.35413
19961023 1365.56506 1366.05225 1365.07788 1366.07043 1365.31226
19961024 1365.61829 1366.07019 1365.15161 1366.09143 1365.38635
19961025 1365.55811 1366.05566 1365.06067 1366.07971 1365.29578
19961026 1365.54651 1366.00757 1365.08557 1366.03442 1365.32117
19961027 1365.55017 1366.01404 1365.08203 1366.04358 1365.31812
19961028 1365.50061 1365.96448 1365.04211 1365.99670 1365.27869
19961029 1365.47278 1365.91956 1365.02600 1365.95435 1365.26294
19961030 1365.40295 1365.87158 1364.93433 1365.90906 1365.17175
19961031 1365.38477 1365.84717 1364.92249 1365.88733 1365.16040
19961101 1365.42139 1365.86584 1364.97217 1365.90869 1365.21057
19961102 1365.40222 1365.87048 1364.93408 1365.91565 1365.17285
19961103 1365.39941 1365.85522 1364.94373 1365.90283 1365.18298
19961104 1365.38562 1365.85474 1364.91650 1365.90491 1365.15625
19961105 1365.39563 1365.84985 1364.94128 1365.90259 1365.18140
19961106 1365.41504 1365.89221 1364.93726 1365.94751 1365.17749
19961107 1365.44592 1365.90308 1364.98877 1365.96082 1365.22925
19961108 1365.42114 1365.90002 1364.94214 1365.96021 1365.18298
19961109 1365.42542 1365.90308 1364.93921 1365.96570 1365.18005
19961110 1365.45972 1365.94373 1364.97266 1366.00879 1365.21387
19961111 1365.51660 1365.97937 1365.05164 1366.04675 1365.29309
19961112 1365.52881 1366.01465 1365.04297 1366.08435 1365.28479
19961113 1365.57764 1366.02295 1365.14453 1366.09509 1365.38635
19961114 1365.61279 1366.09204 1365.13354 1366.16675 1365.37537
19961115 1365.64319 1366.11670 1365.16968 1366.19409 1365.41138
19961116 1365.68860 1366.13110 1365.24426 1366.21106 1365.48584
19961117 1365.69336 1366.16077 1365.22327 1366.24329 1365.46472
19961118 1365.66260 1366.14526 1365.18005 1366.23022 1365.42139
19961119 1365.66492 1366.14441 1365.18555 1366.23193 1365.42688
19961120 1365.65613 1366.12451 1365.18591 1366.21436 1365.42725
19961121 1365.64929 1366.12756 1365.16211 1366.21960 1365.40356
19961122 1365.56335 1366.01831 1365.10010 1366.11279 1365.34180
19961123 1365.26123 1365.67065 1364.80225 1365.76733 1365.04407
19961124 1364.94067 1365.39636 1364.48511 1365.49475 1364.72693
19961125 1364.55212 1365.02856 1364.07568 1365.12903 1364.31750
19961126 1364.59326 1365.05554 1364.13428 1365.15820 1364.37610
19961127 1364.68445 1365.15137 1364.21753 1365.25647 1364.45911
19961128 1364.82446 1365.27332 1364.37573 1365.38062 1364.61707
19961129 1365.08301 1365.53394 1364.63220 1365.64319 1364.87366
19961130 1365.33887 1365.79688 1364.88953 1365.90796 1365.13123
19961201 1365.48926 1365.95178 1365.00952 1366.06470 1365.25146
19961202 1365.49414 1365.97424 1365.01208 1366.08862 1365.25452
19961203 1365.44543 1365.91309 1364.97778 1366.02905 1365.22070
19961204 1365.45056 1365.89307 1365.00037 1366.01050 1365.24377
19961205 1365.41235 1365.86511 1364.96069 1365.98389 1365.20471
19961206 1365.43835 1365.88855 1364.98584 1366.00854 1365.23047
19961207 1365.46448 1365.90906 1365.02002 1366.03040 1365.26526
19961208 1365.45154 1365.88745 1365.01575 1366.01025 1365.26123
19961209 1365.45703 1365.90100 1365.01306 1366.02539 1365.25891
19961210 1365.48340 1365.93713 1365.02966 1366.06311 1365.27576
19961211 1365.53015 1365.96411 1365.09448 1366.09167 1365.34082
19961212 1365.58728 1366.02893 1365.14575 1366.15784 1365.39246
19961213 1365.67505 1366.12048 1365.22961 1366.25098 1365.47656
19961214 1365.71692 1366.14819 1365.28564 1366.28003 1365.53284
19961215 1365.67505 1366.11743 1365.23267 1366.25061 1365.48022
19961216 1365.64404 1366.08435 1365.20178 1366.21899 1365.44971
19961217 1365.68958 1366.12231 1365.25684 1366.25842 1365.50500
19961218 1365.70691 1366.15198 1365.26196 1366.28943 1365.51050
19961219 1365.74158 1366.20227 1365.28088 1366.34106 1365.52991
19961220 1365.77673 1366.22534 1365.32825 1366.36560 1365.57776
19961221 1365.77795 1366.21704 1365.33350 1366.35864 1365.58362
19961222 1365.74561 1366.18945 1365.30164 1366.33252 1365.55249
19961223 1365.66870 1366.12549 1365.21179 1366.27014 1365.46313
19961224 1365.60889 1366.04895 1365.16882 1366.19519 1365.42053
19961225 1365.53967 1365.99585 1365.07800 1366.14355 1365.33032
19961226 1365.55298 1365.99927 1365.10754 1366.14856 1365.36023
19961227 1365.53650 1365.99597 1365.07703 1366.14685 1365.33020
19961228 1365.51038 1365.96924 1365.05151 1366.12158 1365.30518
19961229 1365.43713 1365.90027 1364.97400 1366.05420 1365.22827
19961230 1365.42920 1365.88354 1364.97485 1366.03882 1365.22986
19961231 1365.46399 1365.90100 1365.02136 1366.05786 1365.27734
19970101 1365.47546 1365.92432 1365.02759 1366.08252 1365.28430
19970102 1365.49536 1365.94873 1365.04297 1366.10864 1365.30078
19970103 1365.55237 1365.99890 1365.10583 1366.16028 1365.36450
19970104 1365.54724 1366.00977 1365.08459 1366.17261 1365.34399
19970105 1365.55090 1366.01086 1365.09082 1366.17529 1365.35071
19970106 1365.52991 1365.98242 1365.07727 1366.14856 1365.33752
19970107 1365.56250 1366.02332 1365.10168 1366.19104 1365.36267
19970108 1365.61987 1366.09534 1365.14917 1366.26477 1365.41089
19970109 1365.65308 1366.13379 1365.17249 1366.30457 1365.43494
19970110 1365.69202 1366.14868 1365.23462 1366.32117 1365.49780
19970111 1365.67786 1366.14258 1365.21326 1366.31653 1365.47705
19970112 1365.62183 1366.08264 1365.16101 1366.25818 1365.42529
19970113 1365.60596 1366.06531 1365.14648 1366.24219 1365.41101
19970114 1365.64832 1366.08606 1365.21057 1366.26404 1365.47498
