 51  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to one of the publications and acknowlege receipt of the 
;dataset (mention version used) from VIRGO Team through PMOD/WRC, Davos,
;Switzerland, and acknowledge "unpublished data from the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO"
;The data are also available from the ftp server OBSUN.PMODWRC.CH in the directory 
;/data/irradiance/virgo/virgo_tsi_d_v4_901.dat or virgo_tsi_h_v4_901.dat
;as daily and hourly values respectively. These files contain VIRGO, DIARAD 
;and PMO6-V data at level 2.0 (determined by comparison of level 1.8 data 
;of DIARAD and PMO6-V: non-exposure dependent changes) and level 1.8 (determined 
;by comparison of backup and operational individual radiometers: exposure dependent 
;changes). The level 1.8 DIARAD data are also available from 
;http://remotesensing.oma.be/solarconstant/virgo/diarad_data.htm
;
;Selected REFERENCES:
;(1)   Fr{\"o}hlich, C., Crommelynck, D., Wehrli, C., Anklin, M., Dewitte, S., Fichot,
;      A., Finsterle, W., Jim{\e}nez, A., Chevalier, A. and Roth, H.~J.: 1997,
;      In-flight performances of {VIRGO} solar irradiance instruments on {SOHO},
;      {\em Sol. Phys.} {\bf 175},~267--286.
;(2)   Fr{\"o}hlich, C. and M. Anklin, `Uncertainty of Total Solar Irradiance: 
;      An Assessment of the Last 20 Years of Space Radiometry. {\em Metrologia}, 
;      {\bf 37}, 387-391, 2000
;   Since version 3.00 a new determination of the degradation of the 
;   radiometers has been used to produce level 1.8 and 2.0 which is described in 
;(3)   Fr{\"o}hlich, C. and W. Finsterle, `VIRGO Radiometry and Total Solar 
;      Irradiance 1996-2000 Revised. In: P. Brekke, B. Fleck, and J. B. Gurman (eds.): 
;      Recent Insights Into the Physics of the Sun and Heliosphere - Highlights
;      from SOHO and Other Space Missions. p.105-110, ASP Conference Series, 
;      Vol. 203, 2001
;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
;      form VIRGO on SOHO: 5 years observations with DIARAD, in preparation, 2002
;   These publications or preprints of them can be found on the anonymous ftp 
;   server obsun.wrcpmod.ch in the directory /publications/ best reachable 
;   through www.pmodwrc.ch.
;
;Describtion of columns:
;1st col: Date (YYYYMMDD) at noon
;2nd col: TSI VIRGO (Wm-2)
;3rd col: TSI DIARAD level 2 (Wm-2)
;4th col: TSI PMO6-V level 2 (Wm-2)
;5th col: TSI DIARAD level 1.8 (Wm-2)
;6th col: TSI PMO6-V level 1.8 (Wm-2)
;format (i4,2i2.2,5f11.5)
;Col 2-6 contain the daily average of the corresponding day.
;Missing values are indicated by -99.
;File created Dec 22 2001
;Version: 4.901; the suffix 01 means updated from 4.90
;                   level 2.0                  level 1.8
;           VIRGO     DIARAD     PMO6V      DIARAD     PMO6V
19960130 1365.63733 1366.09473 1365.20227 1366.09021 1365.23999
19960131 1365.63684 1366.09460 1365.19934 1366.09094 1365.23975
19960201 1365.64478 1366.10303 1365.20288 1366.10022 1365.24597
19960202 1365.62512 1366.08313 1365.18445 1366.08130 1365.23010
19960203 1365.57324 1366.03137 1365.12793 1366.03040 1365.17578
19960204 1365.51343 1365.97180 1365.06970 1365.97180 1365.11975
19960205 1365.48706 1365.94568 1365.03467 1365.94653 1365.08679
19960206 1365.49072 1365.94946 1365.03088 1365.95129 1365.08496
19960207 1365.49414 1365.95288 1365.02441 1365.95569 1365.08057
19960208 1365.43250 1365.89124 1364.98804 1365.89502 1365.04614
19960209 1365.43127 1365.89001 1364.99011 1365.89465 1365.05029
19960210 1365.45483 1365.91333 1364.99817 1365.91919 1365.06042
19960211 1365.40295 1365.86145  -99.00000 1365.86829  -99.00000
19960212 1365.38428 1365.84290  -99.00000 1365.85083  -99.00000
19960213 1365.41003 1365.86865  -99.00000 1365.87781  -99.00000
19960214 1365.37866 1365.83728  -99.00000 1365.84741  -99.00000
19960215 1365.39111 1365.84949  -99.00000 1365.86011  -99.00000
19960216 1365.41638 1365.87439  -99.00000 1365.88538  -99.00000
19960217 1365.41357 1365.87146  -99.00000 1365.88281  -99.00000
19960218 1365.45386 1365.91138  -99.00000 1365.92346  -99.00000
19960219 1365.45862 1365.91589  -99.00000 1365.92883  -99.00000
19960220 1365.53149 1365.98853  -99.00000 1366.00244  -99.00000
19960221 1365.56763 1366.02429  -99.00000 1366.03906  -99.00000
19960222 1365.55945 1366.01587 1365.20068 1366.03162 1365.27612
19960223 1365.56836 1366.02441 1365.17297 1366.04126 1365.26331
19960224 1365.54871 1366.00464 1365.13354 1366.02246 1365.23083
19960225 1365.53467 1365.99036 1365.12109 1366.00903 1365.21570
19960226 1365.55054 1366.00586 1365.12256 1366.02576 1365.21289
19960227 1365.57751 1366.03247 1365.14404 1366.05371 1365.23486
19960228 1365.55859 1366.01355 1365.13977 1366.03625 1365.23096
19960229 1365.51123 1365.96606 1365.07690 1365.98987 1365.16821
19960301 1365.49231 1365.94714 1365.04688 1365.97192 1365.13867
19960302 1365.47681 1365.93152 1364.99792 1365.95715 1365.09045
19960303 1365.45190 1365.90649 1365.00037 1365.93274 1365.09399
19960304 1365.46912 1365.92358 1364.93555 1365.95044 1365.03015
19960305 1365.46472 1365.91907 1364.92505 1365.94629 1365.02112
19960306 1365.47571 1365.93005 1364.96985 1365.95764 1365.06738
19960307 1365.48145 1365.93579 1364.96619 1365.96375 1365.06519
19960308 1365.43567 1365.88989 1365.02271 1365.91821 1365.12329
19960309 1365.41211 1365.86633 1364.97083 1365.89514 1365.07239
19960310 1365.40784 1365.86218 1364.98364 1365.89148 1365.08508
19960311 1365.42383 1365.87817 1364.94580 1365.90820 1365.04651
19960312 1365.39111 1365.84546 1364.93713 1365.87622 1365.03735
19960313 1365.35608 1365.81055 1364.89392 1365.84192 1364.99463
19960314 1365.38452 1365.83936 1364.91968 1365.87146 1365.02112
19960315 1365.43201 1365.88684 1364.98645 1365.91968 1365.08875
19960316 1365.46899 1365.92383 1365.00073 1365.95740 1365.10352
19960317 1365.50378 1365.95898 1365.05334 1365.99341 1365.15674
19960318 1365.52063 1365.97595 1365.03918 1366.01086 1365.14307
19960319 1365.51685 1365.97229 1365.05591 1366.00757 1365.16052
19960320 1365.50134 1365.95703 1365.02136 1365.99243 1365.12683
19960321 1365.47351 1365.92920 1365.02380 1365.96484 1365.13025
19960322 1365.37549 1365.83142 1364.87451 1365.86719 1364.98206
19960323 1365.36401 1365.81995 1364.86292 1365.85608 1364.97180
19960324 1365.38025 1365.83630 1364.88611 1365.87268 1364.99634
19960325 1365.42578 1365.88184 1364.94495 1365.91882 1365.05664
19960326 1365.41052 1365.86658 1365.03125 1365.90430 1365.14417
19960327 1365.47742 1365.93359  -99.00000 1365.97217  -99.00000
19960328 1365.51086 1365.96716  -99.00000 1366.00659  -99.00000
19960329 1365.50049 1365.95679 1365.04492 1365.99719 1365.16577
19960330 1365.45752 1365.91382 1364.99060 1365.95508 1365.11426
19960331 1365.47156 1365.92786 1365.01611 1365.97021 1365.14197
19960401 1365.48132 1365.93774 1364.99023 1365.98108 1365.11804
19960402 1365.48889 1365.94531 1365.01758 1365.98975 1365.14722
19960403 1365.50671 1365.96326 1365.03503 1366.00867 1365.16602
19960404 1365.52405 1365.98071  -99.00000 1366.02722  -99.00000
19960405 1365.51917 1365.97583 1365.04175 1366.02319 1365.17603
19960406 1365.51501 1365.97168 1364.95618 1366.02014 1365.09241
19960407 1365.54517 1366.00195 1364.93518 1366.05115 1365.07373
19960408 1365.52649 1365.98328 1364.92737 1366.03345 1365.06812
19960409 1365.51685 1365.97363 1364.96655 1366.02466 1365.10901
19960410 1365.51270 1365.96960 1364.95862 1366.02161 1365.10266
19960411 1365.55298 1366.00989 1365.04358 1366.06287 1365.18884
19960412 1365.54993 1366.00684 1365.02039 1366.06067 1365.16736
19960413 1365.54846 1366.00537 1365.08862 1366.05994 1365.23718
19960414 1365.52991 1365.98694 1365.07617 1366.04211 1365.22583
19960415 1365.46997 1365.92700  -99.00000 1365.98254  -99.00000
19960416 1365.48230 1365.93945 1365.24072 1365.99536 1365.39551
