;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
19990923 1366.65271 1367.19336 1366.10889 1367.51929 1366.60767
19990924 1366.66235 1367.18982 1366.13489 1367.51599 1366.63391
19990925 1366.54968 1367.08838 1366.01086 1367.41504 1366.51013
19990926 1366.49646 1367.04517 1365.94788 1367.37219 1366.44714
19990927 1366.55469 1367.09229 1366.01721 1367.41992 1366.51648
19990928 1366.52832 1367.04919 1366.00745 1367.37756 1366.50647
19990929 1366.57251 1367.04614 1366.06909 1367.37512 1366.56799
19990930 1366.48376 1367.00281 1365.96472 1367.33240 1366.46375
19991001 1366.42896 1366.96338 1365.89465 1367.29346 1366.39368
19991002 1366.42175 1366.94617 1365.89746 1367.27686 1366.39648
19991003 1366.44067 1366.96082 1365.92322 1367.29199 1366.42224
19991004 1366.34155 1366.84790 1365.82800 1367.17969 1366.32703
19991005 1366.13757 1366.66479 1365.61023 1366.99719 1366.10925
19991006 1366.04492 1366.55811 1365.53162 1366.89111 1366.03052
19991007 1366.20544 1366.70752 1365.70337 1367.04126 1366.20203
19991008 1366.32715 1366.83508 1365.81934 1367.16943 1366.31787
19991009 1366.46082 1366.96680 1365.95483 1367.30164 1366.45337
19991010 1366.40332 1366.95349 1365.85986 1367.28882 1366.35852
19991011 1366.27209 1366.84302 1365.71338 1367.17896 1366.21204
19991012 1366.06714 1366.57422 1365.51697 1366.91077 1366.01550
19991013 1365.69177 1366.22473 1365.15454 1366.56165 1365.65308
19991014 1365.28333 1365.82019 1364.74658 1366.15771 1365.24512
19991015 1365.01416 1365.56494 1364.46790 1365.90308 1364.96643
19991016 1365.00818 1365.56860 1364.44775 1365.90710 1364.94641
19991017 1365.19116 1365.73096 1364.65149 1366.06995 1365.15002
19991018 1365.52466 1366.08716 1364.96216 1366.42688 1365.46057
19991019 1365.92432 1366.47192 1365.38513 1366.81238 1365.88330
19991020 1366.36719 1366.88159 1365.85266 1367.22278 1366.35059
19991021 1366.42065 1366.95654 1365.88086 1367.29846 1366.37854
19991022 1366.14929 1366.67993 1365.61560 1367.02258 1366.11304
19991023 1365.88208 1366.38184 1365.37268 1366.72534 1365.86987
19991024 1365.65820 1366.19421 1365.12207 1366.53845 1365.61914
19991025 1365.42261 1365.93347 1364.91992 1366.27832 1365.41663
19991026 1365.17468 1365.73572 1364.62927 1366.08130 1365.12585
19991027 1365.33813 1365.87207 1364.80420 1366.21777 1365.30115
19991028 1365.47974 1366.00623 1364.95593 1366.35193 1365.45325
19991029 1365.53967 1366.07349 1365.00598 1366.41968 1365.50354
19991030 1365.77417 1366.30127 1365.24707 1366.64844 1365.74402
19991031 1366.04272 1366.57446 1365.51099 1366.92297 1366.00708
19991101 1366.07300 1366.59839 1365.54199 1366.94849 1366.03723
19991102 1366.14673 1366.62378 1365.64929 1366.97485 1366.14392
19991103 1366.22266 1366.76099 1365.68372 1367.11279 1366.17798
19991104 1366.23621 1366.77905 1365.69336 1367.13171 1366.18738
19991105 1366.35266 1366.89124 1365.81409 1367.24487 1366.30774
19991106 1366.50562 1367.03870 1365.96936 1367.39319 1366.46252
19991107 1366.43787 1366.99548 1365.85864 1367.35095 1366.35132
19991108 1366.14783 1366.69434 1365.59656 1367.05078 1366.08875
19991109 1365.58130 1366.10657 1365.03223 1366.46411 1365.52393
19991110 1365.10925 1365.64063 1364.57788 1365.99915 1365.06897
19991111 1365.11353 1365.63477 1364.59216 1365.99402 1365.08289
19991112 1365.38782 1365.89746 1364.88733 1366.25732 1365.37793
19991113 1365.61145 1366.13855 1365.08240 1366.49902 1365.57288
19991114 1365.52002 1366.05066 1364.98938 1366.41211 1365.47937
19991115 1365.22021 1365.73755 1364.70276 1366.09998 1365.19226
19991116 1364.95374 1365.48218 1364.43408 1365.84558 1364.92297
19991117 1364.93689 1365.47217 1364.41772 1365.83679 1364.90588
19991118 1365.15027 1365.66455 1364.63623 1366.03027 1365.12366
19991119 1365.51184 1366.00305 1365.00110 1366.36987 1365.48804
19991120 1365.84375 1366.37122 1365.35034 1366.73877 1365.83704
19991121 1366.20642 1366.70825 1365.69824 1367.07629 1366.18481
19991122 1366.30261 1366.78162 1365.80957 1367.15027 1366.29614
19991123 1366.11487 1366.62366 1365.60706 1366.99292 1366.09326
19991124 1366.07312 1366.58301 1365.56323 1366.95313 1366.04919
19991125 1366.15503 1366.66553 1365.65039 1367.03625 1366.13611
19991126 1366.30298 1366.82581 1365.78137 1367.19702 1366.26721
19991127 1366.37830 1366.90698 1365.84802 1367.27856 1366.33386
19991128 1366.34119 1366.87036  -99.00000 1367.24219  -99.00000
19991129  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19991130 1366.04419 1366.57300  -99.00000 1366.94666  -99.00000
19991201 1366.19800 1366.72693  -99.00000 1367.10168  -99.00000
19991202  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19991203 1366.37170 1366.91772 1365.82031 1367.29443 1366.30383
19991204 1366.32275 1366.87463 1365.77319 1367.25232 1366.25610
19991205 1366.25562 1366.77173 1365.73499 1367.15051 1366.21729
19991206 1366.09729 1366.59033 1365.59167 1366.97009 1366.07324
19991207 1365.94934 1366.44080 1365.42236 1366.82178 1365.90332
19991208 1366.03333 1366.54456 1365.51050 1366.92639 1365.99097
19991209 1366.19019 1366.73865 1365.64185 1367.12122 1366.12195
19991210 1366.33984 1366.87512 1365.80457 1367.25867 1366.28430
19991211 1366.54651 1367.08276 1366.01013 1367.46704 1366.48950
19991212 1366.74146 1367.28040 1366.20679 1367.66541 1366.68579
19991213 1366.96484 1367.51599 1366.41357 1367.90173 1366.89233
19991214 1367.13074 1367.66162 1366.59167 1368.04810 1367.07007
19991215 1366.98230 1367.52917 1366.43530 1367.91638 1366.91333
19991216 1366.66760 1367.23462 1366.10291 1367.62280 1366.58093
19991217 1366.36670 1366.90930 1365.82605 1367.29846 1366.30481
19991218 1366.30298 1366.83301 1365.77295 1367.22327 1366.25293
19991219 1366.11731 1366.65820 1365.57275 1367.05017 1366.05408
19991220 1365.63770 1366.15869 1365.10547 1366.55261 1365.58826
19991221 1365.20911 1365.69922 1364.68750 1366.09570 1365.17175
19991222 1365.00598 1365.50842 1364.48730 1365.90771 1364.97327
19991223 1365.12061 1365.64697 1364.59192 1366.04907 1365.07922
19991224 1365.34119 1365.86975 1364.81152 1366.27454 1365.30029
19991225 1365.54871 1366.08325 1365.01404 1366.49109 1365.50427
19991226 1365.72888 1366.27026 1365.19238 1366.68164 1365.68408
19991227 1365.99878 1366.54773 1365.44995 1366.96179 1365.94324
19991228 1366.24646 1366.77881 1365.70044 1367.19629 1366.19519
19991229 1366.29089 1366.80823 1365.76013 1367.22986 1366.25708
19991230 1366.19165 1366.69373 1365.66614 1367.11890 1366.16479
19991231 1366.14880 1366.65552 1365.61914 1367.08411 1366.11938
20000101 1366.20496 1366.73914 1365.66833 1367.17053 1366.16980
20000102 1366.22156 1366.75916 1365.68384 1367.19299 1366.18616
20000103 1366.17065 1366.70422 1365.63403 1367.14014 1366.13696
20000104 1366.22266 1366.74023 1365.70361 1367.17834 1366.20667
20000105 1366.44238 1366.94104 1365.92798 1367.38062 1366.43079
20000106 1366.61060 1367.13135 1366.08984 1367.57227 1366.59253
20000107  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
20000108 1366.84985 1367.38293  -99.00000 1367.82544  -99.00000
20000109 1366.96997 1367.51172 1366.43140 1367.95459 1366.93408
20000110 1366.95300 1367.49890 1366.40271 1367.94214 1366.90540
20000111 1366.79968 1367.32642 1366.27454 1367.76978 1366.77722
20000112 1366.56323 1367.10339 1366.02307 1367.54700 1366.52588
20000113 1366.49988 1367.01282 1365.96094 1367.45691 1366.46362
20000114 1366.46167 1367.01599 1365.90759 1367.46057 1366.41040
20000115 1366.43787 1366.98657 1365.88916 1367.43213 1366.39185
20000116 1366.35510 1366.91418 1365.79590 1367.36072 1366.29858
20000117 1366.32397 1366.84692 1365.79626 1367.29456 1366.29895
20000118 1366.44702 1366.95117 1365.91211 1367.39978 1366.41492
20000119 1366.39844 1366.93140 1365.86560 1367.38037 1366.36829
20000120 1366.27466 1366.81262 1365.73560 1367.26184 1366.23828
20000121 1366.25696 1366.74329 1365.75354 1367.19263 1366.25635
20000122 1366.33508 1366.86816 1365.80090 1367.31787 1366.30371
20000123 1366.38574 1366.91516 1365.85535 1367.36523 1366.35815
20000124 1366.28955 1366.82690 1365.75220 1367.27710 1366.25500
20000125 1366.16724 1366.68848 1365.64600 1367.13879 1366.14868
20000126 1366.07678 1366.56799 1365.57288 1367.01819 1366.07568
20000127 1366.15515 1366.64624 1365.64429 1367.09668 1366.14697
20000128 1366.20581 1366.74744 1365.66687 1367.19849 1366.16968
20000129 1366.27002 1366.79248 1365.74756 1367.24451 1366.25024
20000130 1366.29834 1366.83508 1365.76172 1367.28809 1366.26440
20000131 1366.39880 1366.92920 1365.86877 1367.38330 1366.37158
20000201 1366.53882 1367.04700 1366.01257 1367.50232 1366.51526
20000202 1366.61475 1367.16479 1366.06458 1367.62109 1366.56726
20000203 1366.70691 1367.25415 1366.15955 1367.71118 1366.66223
20000204 1366.82373 1367.36060 1366.28687 1367.81812 1366.78955
20000205 1366.91943 1367.45862 1366.38025 1367.91650 1366.88293
20000206 1366.90088 1367.45618 1366.34570 1367.91431 1366.84839
20000207 1366.77185 1367.31860 1366.22498 1367.77686 1366.72766
20000208 1366.79102 1367.33496 1366.24707 1367.79333 1366.74988
20000209 1366.78320 1367.32117 1366.24622 1367.77991 1366.74890
20000210 1366.82080 1367.35754 1366.28162 1367.81665 1366.78430
20000211 1366.82092 1367.35315 1366.28857 1367.81262 1366.79138
20000212 1366.81714 1367.35608 1366.27832 1367.81555 1366.78101
20000213 1366.79431 1367.35278 1366.23596 1367.81226 1366.73865
20000214 1366.84534 1367.38562 1366.30505 1367.84521 1366.80774
20000215 1366.81567 1367.33362 1366.28613 1367.79358 1366.78882
20000216 1366.53284 1367.07715 1365.98840 1367.53772 1366.49109
20000217 1366.45239 1366.93713 1365.93787 1367.39819 1366.44055
20000218 1366.31982 1366.84985 1365.78833 1367.31152 1366.29102
20000219 1366.15869 1366.65698 1365.64270 1367.11914 1366.14551
20000220 1365.98010 1366.50562 1365.45532 1366.96814 1365.95813
20000221 1366.05835 1366.59668 1365.52734 1367.05957 1366.03003
20000222 1366.12256 1366.62292 1365.59546 1367.08606 1366.09827
20000223 1365.87903 1366.42078 1365.33740 1366.88440 1365.84009
20000224 1365.71655 1366.25879 1365.17432 1366.72290 1365.67712
20000225 1365.49255 1366.02466 1364.96045 1366.48938 1365.46313
20000226 1365.34741 1365.86523 1364.82959 1366.33020 1365.33240
20000227 1365.07837 1365.61548 1364.54126 1366.08032 1365.04395
20000228 1364.82837 1365.33081 1364.32251 1365.79529 1364.82520
20000229 1364.67334 1365.18372 1364.15564 1365.64795 1364.65833
20000301 1364.80713 1365.34021 1364.27710 1365.80457 1364.77979
20000302 1365.19299 1365.70581 1364.68066 1366.17053 1365.18335
20000303 1365.66138 1366.21057 1365.12598 1366.67542 1365.62866
20000304 1366.03687 1366.58887 1365.49255 1367.05371 1365.99524
20000305 1366.09424 1366.61560 1365.57202 1367.08032 1366.07471
20000306 1366.07532 1366.58411 1365.55676 1367.04871 1366.05945
20000307 1366.02905 1366.56458 1365.49805 1367.02942 1366.00073
20000308 1365.91699 1366.46887 1365.36292 1366.93420 1365.86560
20000309 1365.83167 1366.36572 1365.29749 1366.83093 1365.79980
20000310 1365.84973 1366.39172 1365.30371 1366.85559 1365.80469
20000311 1365.78833 1366.33057 1365.24792 1366.79260 1365.74707
20000312 1365.76184 1366.30322 1365.22046 1366.76245 1365.71692
20000313 1365.78955 1366.33069 1365.24829 1366.78552 1365.74072
20000314 1365.74207 1366.28979 1365.19434 1366.73889 1365.68188
20000315 1365.72339 1366.24976 1365.19702 1366.69324 1365.67957
20000316 1365.75732 1366.27307 1365.22803 1366.71155 1365.70630
20000317 1365.72302 1366.24268 1365.20117 1366.67676 1365.67554
20000318 1365.75330 1366.28699 1365.21948 1366.71655 1365.68982
20000319 1365.53357 1366.04492 1365.01697 1366.46997 1365.48364
20000320 1365.45837 1365.98877 1364.92700 1366.40930 1365.39014
20000321 1365.34119 1365.86792 1364.81433 1366.28455 1365.27368
20000322 1365.34082 1365.88025 1364.80139 1366.29272 1365.25720
20000323 1365.77637 1366.31006 1365.24280 1366.71875 1365.69507
20000324 1366.12598 1366.61719 1365.61926 1367.02258 1366.06848
20000325 1366.24841 1366.78772 1365.72180 1367.19031 1366.16882
20000326 1366.30298 1366.81042 1365.77832 1367.21082 1366.22363
20000327 1366.38477 1366.90442 1365.85803 1367.30371 1366.30249
20000328 1366.41956 1366.96851 1365.87073 1367.36768 1366.31482
20000329 1366.51270 1367.06128 1365.97620 1367.46118 1366.42065
20000330 1366.58887 1367.17798 1366.02649 1367.57874 1366.47144
20000331 1366.50842 1367.05701 1365.95398 1367.45801 1366.39905
20000401 1366.47717 1367.02258 1365.93164 1367.42383 1366.37683
20000402 1366.52161 1367.03870 1365.98828 1367.44031 1366.43372
20000403 1366.50916 1367.06384 1365.95435 1367.46570 1366.40039
20000404 1366.59460 1367.16821 1366.02112 1367.57031 1366.46790
20000405 1366.71582 1367.29639 1366.14099 1367.69885 1366.58862
20000406 1366.89233 1367.42920 1366.35083 1367.83203 1366.79907
20000407 1366.90161 1367.41443 1366.38892 1367.81750 1366.83777
20000408 1366.78967 1367.29712 1366.28210 1367.70056 1366.73169
20000409 1366.73828 1367.28308 1366.19263 1367.68665 1366.64246
20000410 1366.75964 1367.28113 1366.23828 1367.68506 1366.68835
20000411 1366.76111 1367.28296 1366.23267 1367.68726 1366.68311
20000412 1366.67456 1367.19971 1366.14941 1367.60425 1366.60059
20000413 1366.70313 1367.21960 1366.18677 1367.62439 1366.63904
20000414 1366.65259 1367.17749 1366.12756 1367.58264 1366.58081
20000415 1366.49084 1367.03967 1365.94214 1367.44495 1366.39600
20000416 1366.48523 1366.99011 1365.97009 1367.39575 1366.42456
20000417 1366.46729 1366.99426 1365.93750 1367.40015 1366.39258
20000418 1366.53259 1367.03796 1366.01868 1367.44409 1366.47424
20000419 1366.63403 1367.15283 1366.08252 1367.55933 1366.53870
20000420 1366.63171 1367.15869 1366.10474 1367.56543 1366.56140
20000421 1366.44849 1366.94702 1365.92554 1367.35400 1366.38257
20000422 1365.90198 1366.41760 1365.38647 1366.82495 1365.84412
20000423 1365.18213 1365.69910 1364.66516 1366.10681 1365.12317
20000424 1364.67847 1365.18384 1364.16577 1365.59167 1364.62402
20000425 1364.50195 1365.02576 1363.97815 1365.43396 1364.43652
20000426 1364.69641 1365.21338 1364.17468 1365.62183 1364.63318
20000427 1364.97461 1365.47559 1364.45166 1365.88428 1364.91040
20000428 1365.10852 1365.63428 1364.58264 1366.04321 1365.04150
20000429 1365.49622 1366.02747 1364.98120 1366.43677 1365.44019
20000430 1365.93652 1366.45227 1365.43018 1366.86182 1365.88928
20000501 1366.30078 1366.82813 1365.75842 1367.23792 1366.21790
20000502 1366.55103 1367.08191 1366.02014 1367.49207 1366.47986
20000503 1366.64478 1367.16919 1366.11780 1367.57959 1366.57776
20000504 1366.57898 1367.10913 1366.04871 1367.51978 1366.50916
20000505 1366.62036 1367.14343 1366.09729 1367.55444 1366.55823
20000506 1366.62549 1367.16431 1366.09229 1367.57568 1366.55432
20000507 1366.64099 1367.18506 1366.09692 1367.59692 1366.56018
20000508 1366.64673 1367.18140 1366.11194 1367.59412 1366.57703
20000509 1366.51563 1367.08472 1365.94653 1367.49866 1366.41418
20000510 1366.32019 1366.84705 1365.79065 1367.26257 1366.26147
20000511 1365.92017 1366.45203 1365.38843 1366.86902 1365.86206
20000512 1365.82751 1366.36780 1365.28760 1366.78601 1365.76331
20000513 1365.96045 1366.45557 1365.45508 1366.87488 1365.93237
20000514 1365.91406 1366.45630 1365.37195 1366.87659 1365.85107
20000515 1365.77441 1366.30859 1365.24036 1366.72974 1365.72180
20000516 1365.46667 1365.97815 1364.95947 1366.39990 1365.44336
20000517 1365.00427 1365.53442 1364.45813 1365.95667 1364.94434
20000518 1364.73865 1365.27576 1364.20166 1365.69873 1364.68945
20000519 1364.57141 1365.12427 1364.01855 1365.54797 1364.50769
20000520 1364.52600 1365.04675 1364.01306 1365.47107 1364.50342
20000521 1364.96912 1365.50012 1364.45264 1365.92493 1364.94397
20000522 1365.52466 1366.04468 1365.00476 1366.46985 1365.49707
20000523 1365.96887 1366.50073 1365.43713 1366.92615 1365.93018
20000524 1366.31262 1366.78772 1365.82227 1367.21313 1366.31567
20000525 1366.34021 1366.85681 1365.82166 1367.28210 1366.31543
20000526 1366.19263 1366.74292 1365.64246 1367.16809 1366.13623
20000527 1366.06177 1366.60535 1365.51819 1367.03052 1366.01233
20000528 1365.97144 1366.52576 1365.41724 1366.95093 1365.91162
20000529 1365.86511 1366.41638 1365.31372 1366.84155 1365.80835
20000530 1365.72485 1366.26306 1365.18677 1366.68799 1365.68176
20000531 1365.59680 1366.16528 1365.02832 1366.58997 1365.52380
20000601 1365.69116 1366.24573 1365.13672 1366.67029 1365.63269
20000602 1365.92676 1366.45557 1365.39795 1366.87988 1365.89429
20000603 1365.96399 1366.53186 1365.39612 1366.95618 1365.89282
20000604 1365.92139 1366.48450 1365.35828 1366.90881 1365.85522
20000605 1365.89648 1366.43933 1365.35376 1366.86365 1365.85083
20000606 1365.89343 1366.44543 1365.34534 1366.87000 1365.84241
20000607 1365.91272 1366.46118 1365.36414 1366.88599 1365.86133
20000608 1365.90271 1366.45581 1365.34973 1366.88074 1365.84692
20000609 1365.92419 1366.46765 1365.38513 1366.89282 1365.88232
20000610 1366.10889 1366.64624 1365.57153 1367.07166 1366.06885
20000611 1366.09888 1366.64124 1365.55640 1367.06665 1366.05408
20000612 1365.90747 1366.44641 1365.36865 1366.87170 1365.86646
20000613 1365.97461 1366.51367 1365.43555 1366.93884 1365.93372
20000614 1366.14783 1366.65979 1365.63586 1367.08496 1366.13440
20000615 1366.36316 1366.87952 1365.84668 1367.30469 1366.34546
20000616 1366.36438 1366.88416 1365.84473 1367.30908 1366.34387
20000617 1366.24915 1366.76501 1365.73315 1367.18958 1366.23291
20000618 1366.03992 1366.55334 1365.52637 1366.97742 1366.02686
20000619 1366.09692 1366.59473 1365.59900 1367.01831 1366.10022
20000620 1366.11926 1366.64087 1365.59766 1367.06384 1366.09973
20000621 1366.17993 1366.71692 1365.64294 1367.13928 1366.14600
20000622 1366.40735 1366.95593 1365.85876 1367.37756 1366.36255
20000623 1366.44751 1366.96899 1365.92590 1367.39038 1366.43030
20000624 1366.31982 1366.83020 1365.80945 1367.25134 1366.31421
20000625 1365.98120 1366.49756 1365.46497 1366.91846 1365.97009
20000626 1365.68103 1366.20154 1365.16064 1366.62231 1365.66614
20000627 1365.55359 1366.06177 1365.04529 1366.48254 1365.55103
20000628 1365.46606 1365.97656 1364.95544 1366.39722 1365.46130
20000629 1365.50720 1366.00854 1365.01636 1366.42908 1365.52209
20000630 1365.74939 1366.27563 1365.22314 1366.69580 1365.72876
20000701 1366.04163 1366.57483 1365.50830 1366.99487 1366.01379
20000702 1366.23962 1366.76648 1365.71289 1367.18616 1366.21826
20000703 1366.28528 1366.81372 1365.75684 1367.23315 1366.26196
20000704 1366.26611 1366.79431 1365.73792 1367.21326 1366.24292
20000705 1366.07446 1366.60547 1365.54346 1367.02393 1366.04834
20000706 1365.86682 1366.39978 1365.33398 1366.81738 1365.83875
20000707 1365.81592 1366.34790 1365.28491 1366.76477 1365.78955
20000708 1365.65967 1366.21057 1365.10925 1366.62646 1365.61377
20000709 1365.74512 1366.27612 1365.21167 1366.69116 1365.71619
20000710 1365.68567 1366.20007 1365.17126 1366.61414 1365.67590
20000711 1365.61096 1366.10742 1365.09534 1366.52063 1365.59985
20000712 1365.67004 1366.15881 1365.16260 1366.57117 1365.66699
20000713 1365.84070 1366.37366 1365.31238 1366.78528 1365.81689
20000714 1366.10229 1366.64478 1365.54614 1367.05566 1366.05139
20000715 1366.32483 1366.85315 1365.78882 1367.26343 1366.29492
20000716 1366.30652 1366.85132 1365.76172 1367.26111 1366.26880
20000717 1366.25903 1366.81982 1365.71021 1367.22974 1366.21838
20000718 1366.10876 1366.65991 1365.56335 1367.06982 1366.07263
20000719 1365.87610 1366.42041 1365.27466 1366.83081 1365.78540
20000720 1365.54968 1366.09534 1365.00391 1366.50623 1365.51587
20000721 1365.41382 1365.95776 1364.87219 1366.36938 1365.38562
20000722 1365.69531 1366.22681 1365.18457 1366.63928 1365.69971
20000723 1365.87854 1366.40991 1365.34705 1366.82361 1365.86377
20000724 1366.05896 1366.59863 1365.51929 1367.01379 1366.03784
20000725 1366.10925 1366.65881 1365.56348 1367.07556 1366.08386
20000726 1366.30713 1366.84644 1365.76794 1367.26453 1366.28992
20000727 1366.49939 1367.02075 1365.97754 1367.44043 1366.50110
20000728 1366.49182 1367.01819 1365.96533 1367.43896 1366.49011
20000729 1366.53723 1367.05627 1366.01758 1367.47754 1366.54285
20000730 1366.65466 1367.16296 1366.14636 1367.58435 1366.67188
20000731 1366.74634 1367.21973 1366.25623 1367.64111 1366.78186
20000801 1366.67053 1367.17664 1366.16443 1367.59790 1366.69067
20000802 1366.61145 1367.09692 1366.10095 1367.51819 1366.62781
20000803 1366.56238 1367.09338 1366.03406 1367.51477 1366.56165
20000804 1366.60132 1367.14270 1366.05994 1367.56482 1366.58875
20000805 1366.56934 1367.10547 1366.03320 1367.52844 1366.56335
20000806 1366.55737 1367.09314 1366.02258 1367.51697 1366.55383
20000807 1366.40369 1366.94238 1365.86951 1367.36633 1366.40125
20000808 1366.31421 1366.86560 1365.75012 1367.28967 1366.28198
20000809 1366.30713 1366.86841 1365.74573 1367.29248 1366.27783
20000810 1366.52454 1367.02673 1366.00403 1367.45093 1366.53699
20000811 1366.70667 1367.24854 1366.16492 1367.67297 1366.69885
20000812 1367.02417 1367.55859 1366.48987 1367.98364 1367.02502
20000813 1367.11023 1367.64294 1366.57751 1368.06921 1367.11462
20000814 1366.89758 1367.43860 1366.35669 1367.86658 1366.89600
20000815 1366.56885 1367.08276 1366.05493 1367.51257 1366.59668
20000816 1366.40686 1366.93408 1365.87976 1367.36536 1366.42395
20000817 1366.47766 1367.01672 1365.94153 1367.44983 1366.48840
20000818 1366.60291 1367.13428 1366.07434 1367.56836 1366.62305
20000819 1366.78992 1367.33997 1366.23987 1367.77429 1366.78931
20000820 1366.85413 1367.39441 1366.31384 1367.82825 1366.86304
20000821 1366.68494 1367.22351 1366.14648 1367.65710 1366.69556
20000822 1366.43079 1366.97559 1365.88611 1367.40930 1366.43567
20000823 1366.22437 1366.74475 1365.70398 1367.17871 1366.25427
20000824 1366.22156 1366.73059 1365.70605 1367.16455 1366.25696
20000825 1366.27600 1366.77930 1365.77283 1367.21326 1366.32397
20000826 1366.18933 1366.71692 1365.66028 1367.15076 1366.21167
20000827 1366.10974 1366.64990 1365.56958 1367.08313 1366.12061
20000828 1366.07629 1366.61560 1365.53491 1367.04749 1366.08472
20000829 1366.05371 1366.60059 1365.51685 1367.03064 1366.06482
20000830 1366.22668 1366.75391 1365.69958 1367.18213 1366.24548
20000831 1366.32837 1366.86377 1365.79309 1367.29016 1366.33716
20000901 1366.36865 1366.91260 1365.82471 1367.33704 1366.36682
20000902 1366.31848 1366.84949 1365.78735 1367.27173 1366.32727
20000903 1366.29700 1366.84424 1365.74976 1367.26379 1366.28711
20000904 1366.19043 1366.72461 1365.65625 1367.14111 1366.19080
20000905 1366.07007 1366.60632 1365.53394 1367.01978 1366.06567
20000906 1366.38586 1366.89929 1365.87244 1367.31030 1366.40149
20000907 1366.85876 1367.37500 1366.34875 1367.78345 1366.87488
20000908 1367.09668 1367.64001 1366.55322 1368.04688 1367.07715
20000909 1367.16479 1367.70020 1366.62952 1368.10620 1367.15125
20000910 1367.10999 1367.64807 1366.56458 1368.05396 1367.08447
20000911 1366.97815 1367.48987 1366.46631 1367.89587 1366.98486
20000912 1366.79065 1367.31226 1366.26904 1367.71802 1366.78638
20000913 1366.76404 1367.26208 1366.24060 1367.66797 1366.75696
20000914 1366.50500 1367.00525 1366.00476 1367.41089 1366.52014
20000915 1366.32703 1366.82703 1365.82703 1367.23181 1366.34119
20000916 1366.26099 1366.77466 1365.77368 1367.17847 1366.28625
20000917 1366.12231 1366.64856 1365.59595 1367.05151 1366.10779
20000918 1365.84058 1366.35535 1365.30823 1366.75793 1365.81982
20000919 1365.34546 1365.84058 1364.85022 1366.24292 1365.36218
20000920 1364.80786 1365.31201 1364.30359 1365.71411 1364.81555
20000921 1364.25464 1364.76001 1363.73730 1365.16162 1364.24854
20000922 1363.84924 1364.36487 1363.33350 1364.76611 1363.84387
20000923 1363.97058 1364.49011 1363.45117 1364.89063 1363.96033
20000924 1364.61230 1365.11523 1364.10938 1365.51489 1364.61707
20000925 1365.33765 1365.85120 1364.82959 1366.24976 1365.33557
20000926 1365.97412 1366.43835 1365.47986 1366.83606 1365.98438
20000927 1366.43982 1366.99133 1365.89026 1367.38879 1366.39380
20000928 1366.81885 1367.34155 1366.29614 1367.73901 1366.79907
20000929 1366.66711 1367.16699 1366.16711 1367.56445 1366.66968
20000930 1366.31274 1366.84094 1365.78455 1367.23828 1366.28699
20001001 1365.93604 1366.45996 1365.41199 1366.85742 1365.91455
20001002 1365.95093 1366.44812 1365.45374 1366.84570 1365.95642
20001003 1366.30603 1366.79138 1365.82422 1367.18994 1366.32690
20001004 1366.54846 1367.10095 1365.99597 1367.50061 1366.49866
20001005 1366.84985 1367.39038 1366.30920 1367.79114 1366.81189
20001006 1366.92542 1367.45715 1366.39368 1367.85840 1366.89636
20001007 1366.82410 1367.38696 1366.24207 1367.78870 1366.74475
20001008 1366.76111 1367.29541 1366.20923 1367.69739 1366.71191
20001009 1366.66736 1367.22742 1366.10718 1367.62976 1366.60986
20001010 1366.51440 1367.05273 1365.97620 1367.45532 1366.47888
20001011 1366.44043 1366.96436 1365.91357 1367.36719 1366.41626
20001012 1366.57861 1367.12109 1366.03918 1367.52405 1366.54187
20001013 1366.71887 1367.22888 1366.20508 1367.63196 1366.70776
20001014 1366.64905 1367.18494 1366.11255 1367.58838 1366.61523
20001015 1366.71765 1367.26697 1366.16833 1367.67102 1366.67102
20001016 1366.88562 1367.41321 1366.35803 1367.81812 1366.86072
20001017 1366.94043 1367.45654 1366.42273 1367.86218 1366.92542
20001018 1366.85583 1367.42126 1366.29041 1367.82751 1366.79309
20001019 1366.76709 1367.32263 1366.21057 1367.72961 1366.71326
20001020 1366.58459 1367.13293 1366.03625 1367.53979 1366.53894
20001021 1366.53430 1367.09094 1365.97961 1367.49658 1366.48230
20001022 1366.64160 1367.20630 1366.07703 1367.60974 1366.57971
20001023 1366.81287 1367.36487 1366.26086 1367.76697 1366.76355
20001024 1367.04602 1367.58093 1366.50244 1367.98413 1367.00513
20001025 1367.14404 1367.68921 1366.59888 1368.09448 1367.10168
20001026 1367.12537 1367.68005 1366.57239 1368.08789 1367.07532
20001027 1366.96350 1367.52161 1366.39783 1367.93127 1366.90112
20001028 1366.90125 1367.43347 1366.37109 1367.84521 1366.87512
20001029 1366.97693 1367.46057 1366.47437 1367.87476 1366.97925
20001030 1366.89954 1367.41089 1366.37183 1367.82751 1366.87769
20001031 1366.87500 1367.40466 1366.34290 1367.82373 1366.84973
20001101 1366.67590 1367.21741 1366.13428 1367.63867 1366.64209
20001102 1366.42407 1366.97266 1365.87549 1367.39612 1366.38416
20001103 1366.27637 1366.81433 1365.73999 1367.23975 1366.24939
20001104 1366.34570 1366.87146 1365.81433 1367.29907 1366.32434
20001105 1366.46021 1367.00134 1365.91907 1367.43091 1366.42957
