 52  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
;This dataset is freely available with one restriction:
;If you use the data or some product based on the data in a published 
;paper refer to one of the publications and acknowlege receipt of the 
;dataset (mention version used) from VIRGO Team through PMOD/WRC, Davos,
;Switzerland, and acknowledge "unpublished data from the VIRGO Experiment 
;on the cooperative ESA/NASA Mission SoHO"
;The data are also available from the ftp server OBSUN.PMODWRC.CH in the directory 
;/data/irradiance/virgo/virgo_tsi_d_v4_901.dat or virgo_tsi_h_v4_901.dat
;as daily and hourly values respectively. These files contain VIRGO, DIARAD 
;and PMO6-V data at level 2.0 (determined by comparison of level 1.8 data 
;of DIARAD and PMO6-V: non-exposure dependent changes) and level 1.8 (determined 
;by comparison of backup and operational individual radiometers: exposure dependent 
;changes). The level 1.8 DIARAD data are also available from 
;http://remotesensing.oma.be/solarconstant/virgo/diarad_data.htm
;
;Selected REFERENCES:
;(1)   Fr{\"o}hlich, C., Crommelynck, D., Wehrli, C., Anklin, M., Dewitte, S., Fichot,
;      A., Finsterle, W., Jim{\e}nez, A., Chevalier, A. and Roth, H.~J.: 1997,
;      In-flight performances of {VIRGO} solar irradiance instruments on {SOHO},
;      {\em Sol. Phys.} {\bf 175},~267--286.
;(2)   Fr{\"o}hlich, C. and M. Anklin, `Uncertainty of Total Solar Irradiance: 
;      An Assessment of the Last 20 Years of Space Radiometry. {\em Metrologia}, 
;      {\bf 37}, 387-391, 2000
;   Since version 3.00 a new determination of the degradation of the 
;   radiometers has been used to produce level 1.8 and 2.0 which is described in 
;(3)   Fr{\"o}hlich, C. and W. Finsterle, `VIRGO Radiometry and Total Solar 
;      Irradiance 1996-2000 Revised. In: P. Brekke, B. Fleck, and J. B. Gurman (eds.): 
;      Recent Insights Into the Physics of the Sun and Heliosphere - Highlights
;      from SOHO and Other Space Missions. p.105-110, ASP Conference Series, 
;      Vol. 203, 2001
;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
;      form VIRGO on SOHO: 5 years observations with DIARAD, in preparation, 2002
;   These publications or preprints of them can be found on the anonymous ftp 
;   server obsun.wrcpmod.ch in the directory /publications/ best reachable 
;   through www.pmodwrc.ch.
;
;Describtion of columns:
;1st col: Date (YYYYMMDD)
;2nd col: Mean Time (hhmmss) 
;3rd col: TSI VIRGO (Wm-2) eff. reading is 10 sec before indicated time
;4th col: TSI DIARAD level 2.0 (Wm-2) eff. reading is 95 sec before indicated time
;5th col: TSI PMO6-V level 2.0 (Wm-2) eff. reading is 10 sec before indicated time
;6th col: TSI DIARAD level 1.8 (Wm-2) eff. reading is 95 sec before indicated time
;7th col: TSI PMO6-V level 1.8 (Wm-2) eff. reading is 10 sec before indicated time
;format  (i4,2i2.2,1x,3i2.2,5f11.5)
;Col 3-7 contain hourly averages.
;Missing values are indicated by -99.
;File created Dec 22 2001
;Version: 4.901; the suffix 01 means updated from 4.90
;                           level 2.0                  level 1.8
;                 VIRGO      DIARAD     PMO6V      DIARAD     PMO6V
19960130 002920 1365.66616 1366.12331 1365.21907 1366.11842 1365.25576
19960130 012920 1365.61237 1366.06952 1365.20489 1366.06466 1365.24168
19960130 022920 1365.64941 1366.10659 1365.18308 1366.10176 1365.21998
19960130 032920 1365.64805 1366.10525 1365.19377 1366.10046 1365.23077
19960130 042920 1365.64924 1366.10646 1365.22785 1366.10170 1365.26495
19960130 052920 1365.65072 1366.10797 1365.22299 1366.10324 1365.26019
19960130 062920 1365.66295 1366.12023 1365.23024 1366.11553 1365.26755
19960130 072920 1365.61901 1366.07629 1365.21636 1366.07163 1365.25376
19960130 082920 1365.63255 1366.08985 1365.19710 1366.08523 1365.23460
19960130 092920 1365.60990 1366.06721 1365.19330 1366.06263 1365.23091
19960130 102920 1365.63865 1366.09599 1365.20574 1366.09144 1365.24345
19960130 112920 1365.64492 1366.10229 1365.18178 1366.09777 1365.21960
19960130 122920 1365.62756 1366.08495 1365.19213 1366.08046 1365.23005
19960130 132920 1365.62076 1366.07816 1365.19600 1366.07371 1365.23403
19960130 142920 1365.63135 1366.08877 1365.19568 1366.08436 1365.23380
19960130 152920 1365.62608 1366.08352 1365.18851 1366.07914 1365.22674
19960130 162920 1365.64102 1366.09848 1365.18651 1366.09414 1365.22485
19960130 172920 1365.63532 1366.09280 1365.19220 1366.08849 1365.23064
19960130 182920 1365.62585 1366.08334 1365.20121 1366.07907 1365.23975
19960130 192920 1365.62570 1366.08321 1365.18326 1366.07897 1365.22190
19960130 202920 1365.61322 1366.07074 1365.18104 1366.06653 1365.21979
19960130 212920 1365.65328 1366.11083 1365.22746 1366.10666 1365.26632
19960130 222920 1365.65772 1366.11529 1365.22682 1366.11116 1365.26578
19960130 232920 1365.65516 1366.11274 1365.19613 1366.10865 1365.23520
19960131 002920 1365.61656 1366.07415 1365.17258 1366.07009 1365.21175
19960131 012920 1365.62292 1366.08053 1365.17922 1366.07650 1365.21849
19960131 022920 1365.63485 1366.09248 1365.18683 1366.08849 1365.22621
19960131 032920 1365.60865 1366.06629 1365.16869 1366.06233 1365.20817
19960131 042920 1365.62744 1366.08510 1365.19405 1366.08118 1365.23364
19960131 052920 1365.62438 1366.08205 1365.17407 1366.07817 1365.21377
19960131 062920 1365.64012 1366.09782 1365.20292 1366.09397 1365.24272
19960131 072920 1365.64115 1366.09886 1365.21463 1366.09505 1365.25454
19960131 082920  -99.00000  -99.00000 1365.20622  -99.00000 1365.24624
19960131 092920 1365.66752 1366.12528 1365.21836 1366.12154 1365.25849
19960131 102920 1365.63059 1366.08835 1365.21873 1366.08464 1365.25896
19960131 112920 1365.60335 1366.06111 1365.19971 1366.05745 1365.24005
19960131 122920 1365.68471 1366.14252 1365.20496 1366.13889 1365.24542
19960131 132920 1365.61712 1366.07492 1365.18103 1366.07133 1365.22160
19960131 142920 1365.61445 1366.07227 1365.19859 1366.06872 1365.23926
19960131 152920 1365.66669 1366.12454 1365.21254 1366.12102 1365.25332
19960131 162920 1365.61398 1366.07183 1365.19831 1366.06835 1365.23920
19960131 172920 1365.65116 1366.10905 1365.21143 1366.10560 1365.25243
19960131 182920 1365.60406 1366.06195 1365.20590 1366.05854 1365.24701
19960131 192920 1365.69463 1366.15257 1365.20602 1366.14920 1365.24725
19960131 202920 1365.61140 1366.06933 1365.20127 1366.06600 1365.24260
19960131 212920 1365.64552 1366.10348 1365.18646 1366.10018 1365.22791
19960131 222920 1365.64798 1366.10596 1365.22400 1366.10270 1365.26556
19960131 232920 1365.66033 1366.11833 1365.22199 1366.11511 1365.26366
19960201 002920 1365.64599 1366.10400 1365.20243 1366.10082 1365.24421
19960201 012920 1365.61334 1366.07137 1365.15489 1366.06822 1365.19678
19960201 022920 1365.59155 1366.04958 1365.14487 1366.04647 1365.18688
19960201 032920 1365.61592 1366.07398 1365.17748 1366.07091 1365.21961
19960201 042920 1365.59002 1366.04809 1365.17161 1366.04506 1365.21385
19960201 052920 1365.61805 1366.07615 1365.18709 1366.07315 1365.22944
19960201 062920 1365.65316 1366.11130 1365.20307 1366.10834 1365.24555
19960201 072920 1365.63701 1366.09516 1365.21929 1366.09224 1365.26188
19960201 082920 1365.64040 1366.09856 1365.21086 1366.09568 1365.25356
19960201 092920 1365.60770 1366.06587 1365.16351 1366.06303 1365.20633
19960201 102920 1365.62453 1366.08273 1365.15511 1366.07992 1365.19804
19960201 112920 1365.64540 1366.10363 1365.18315 1366.10086 1365.22620
19960201 122920 1365.65561 1366.11384 1365.20911 1366.11111 1365.25228
19960201 132920 1365.66064 1366.11887 1365.22436 1366.11618 1365.26765
19960201 142920 1365.65247 1366.11070 1365.21909 1366.10804 1365.26249
19960201 152920 1365.68037 1366.13860 1365.21910 1366.13599 1365.26263
19960201 162920 1365.63825 1366.09646 1365.22386 1366.09389 1365.26751
19960201 172920 1365.67770 1366.13593 1365.21762 1366.13339 1365.26139
19960201 182920 1365.65621 1366.11442 1365.22066 1366.11192 1365.26455
19960201 192920 1365.67266 1366.13087 1365.21971 1366.12841 1365.26372
19960201 202920 1365.69318 1366.15139 1365.25331 1366.14897 1365.29743
19960201 212920 1365.67184 1366.13003 1365.22853 1366.12765 1365.27277
19960201 222920 1365.64672 1366.10489 1365.21808 1366.10255 1365.26245
19960201 232920 1365.67163 1366.12980 1365.22246 1366.12749 1365.26696
19960202 002920 1365.66677 1366.12492 1365.20051 1366.12265 1365.24511
19960202 012920  -99.00000  -99.00000 1365.20440  -99.00000 1365.24909
19960202 022920 1365.63908 1366.09719 1365.22252 1366.09500 1365.26731
19960202 032920 1365.66164 1366.11974 1365.22529 1366.11758 1365.27018
19960202 042920 1365.68217 1366.14026 1365.21541 1366.13814 1365.26040
19960202 052920 1365.62511 1366.08315 1365.22324 1366.08107 1365.26832
19960202 062920 1365.62733 1366.08536 1365.20972 1366.08331 1365.25489
19960202 072920 1365.63076 1366.08876 1365.19765 1366.08675 1365.24292
19960202 082920 1365.64911 1366.10709 1365.19515 1366.10512 1365.24051
19960202 092920 1365.61748 1366.07543 1365.18762 1366.07349 1365.23307
19960202 102920 1365.62422 1366.08214 1365.19526 1366.08024 1365.24081
19960202 112920 1365.61816 1366.07605 1365.19166 1366.07419 1365.23731
19960202 122920 1365.59742 1366.05531 1365.13577 1366.05348 1365.18151
19960202 132920 1365.59230 1366.05018 1365.15212 1366.04839 1365.19795
19960202 142920 1365.57675 1366.03463 1365.13475 1366.03288 1365.18068
19960202 152920 1365.63846 1366.09637 1365.14053 1366.09465 1365.18655
19960202 162920 1365.60460 1366.06250 1365.17221 1366.06082 1365.21833
19960202 172920 1365.62533 1366.08324 1365.18450 1366.08160 1365.23071
19960202 182920 1365.59589 1366.05380 1365.15146 1366.05219 1365.19776
19960202 192920 1365.58265 1366.04057 1365.13407 1366.03900 1365.18046
19960202 202920 1365.63096 1366.08890 1365.17688 1366.08737 1365.22336
19960202 212920 1365.60519 1366.06313 1365.18612 1366.06164 1365.23269
19960202 222920 1365.61903 1366.07699 1365.16542 1366.07553 1365.21208
19960202 232920 1365.62222 1366.08019 1365.18691 1366.07877 1365.23367
19960203 002920 1365.58403 1366.04200 1365.16357 1366.04062 1365.21042
19960203 012920 1365.62415 1366.08215 1365.14462 1366.08081 1365.19156
19960203 022920 1365.57901 1366.03702 1365.14472 1366.03571 1365.19175
19960203 032920 1365.58226 1366.04028 1365.13360 1366.03901 1365.18073
19960203 042920  -99.00000  -99.00000 1365.11822  -99.00000 1365.16543
19960203 052920  -99.00000  -99.00000 1365.11533  -99.00000 1365.16264
19960203 062920  -99.00000  -99.00000 1365.11716  -99.00000 1365.16456
19960203 072920 1365.57198 1366.03008 1365.13457 1366.02896 1365.18206
19960203 082920 1365.56105 1366.01917 1365.11561 1366.01808 1365.16319
19960203 092920 1365.53499 1365.99313 1365.09602 1365.99208 1365.14369
19960203 102920 1365.57440 1366.03258 1365.11921 1366.03157 1365.16697
19960203 112920 1365.59363 1366.05184 1365.16700 1366.05086 1365.21486
19960203 122920 1365.61174 1366.06996 1365.15733 1366.06903 1365.20527
19960203 132920 1365.59753 1366.05576 1365.14569 1366.05486 1365.19372
19960203 142920 1365.55654 1366.01477 1365.13444 1366.01391 1365.18256
19960203 152920 1365.57114 1366.02939 1365.12413 1366.02857 1365.17234
19960203 162920 1365.57707 1366.03533 1365.11586 1366.03455 1365.16416
19960203 172920 1365.56587 1366.02415 1365.10505 1366.02340 1365.15344
19960203 182920 1365.56716 1366.02545 1365.12154 1366.02474 1365.17002
19960203 192920 1365.55089 1366.00918 1365.10342 1366.00851 1365.15199
19960203 202920 1365.53905 1365.99735 1365.09110 1365.99672 1365.13976
19960203 212920 1365.52981 1365.98812 1365.10958 1365.98752 1365.15833
19960203 222920 1365.55324 1366.01157 1365.11998 1366.01101 1365.16883
19960203 232920 1365.56287 1366.02122 1365.11432 1366.02070 1365.16326
19960204 002920 1365.51999 1365.97834 1365.07256 1365.97785 1365.12158
19960204 012920 1365.52123 1365.97959 1365.09194 1365.97914 1365.14105
19960204 022920 1365.54209 1366.00047 1365.09673 1366.00006 1365.14593
19960204 032920 1365.53017 1365.98855 1365.09898 1365.98818 1365.14827
19960204 042920 1365.53523 1365.99363 1365.09321 1365.99329 1365.14259
19960204 052920 1365.53216 1365.99057 1365.10289 1365.99027 1365.15236
19960204 062920 1365.53751 1365.99593 1365.09729 1365.99567 1365.14685
19960204 072920 1365.54796 1366.00640 1365.08390 1366.00617 1365.13355
19960204 082920 1365.52451 1365.98295 1365.08506 1365.98276 1365.13480
19960204 092920  -99.00000  -99.00000 1365.06127  -99.00000 1365.11110
19960204 102920 1365.46473 1365.92317 1365.03593 1365.92306 1365.08585
19960204 112920 1365.50774 1365.96621 1365.06726 1365.96613 1365.11727
19960204 122920 1365.51705 1365.97553 1365.07431 1365.97550 1365.12441
19960204 132920 1365.49319 1365.95167 1365.04474 1365.95167 1365.09493
19960204 142920 1365.48171 1365.94019 1365.04589 1365.94023 1365.09617
19960204 152920 1365.46212 1365.92061 1365.05582 1365.92068 1365.10619
19960204 162920 1365.51826 1365.97677 1365.04945 1365.97689 1365.09991
19960204 172920 1365.48910 1365.94762 1365.07829 1365.94777 1365.12884
19960204 182920 1365.53510 1365.99364 1365.06693 1365.99383 1365.11757
19960204 192920 1365.49850 1365.95704 1365.04923 1365.95727 1365.09996
19960204 202920 1365.48715 1365.94569 1365.04701 1365.94595 1365.09783
19960204 212920 1365.49709 1365.95565 1365.04454 1365.95595 1365.09546
19960204 222920 1365.50438 1365.96294 1365.04584 1365.96328 1365.09685
19960204 232920 1365.51157 1365.97015 1365.03900 1365.97053 1365.09010
19960205 002920 1365.51684 1365.97543 1365.06628 1365.97584 1365.11746
19960205 012920 1365.54032 1365.99893 1365.10171 1365.99938 1365.15298
19960205 022920 1365.49210 1365.95069 1365.06707 1365.95118 1365.11842
19960205 032920 1365.44561 1365.90419 1364.99946 1365.90473 1365.05089
19960205 042920 1365.49105 1365.94966 1365.03950 1365.95023 1365.09102
19960205 052920 1365.47738 1365.93599 1365.04469 1365.93660 1365.09629
19960205 062920  -99.00000  -99.00000 1365.05353  -99.00000 1365.10521
19960205 072920 1365.52466 1365.98331 1365.06156 1365.98400 1365.11333
19960205 082920 1365.47118 1365.92982 1365.06468 1365.93054 1365.11653
19960205 092920 1365.48784 1365.94648 1365.05629 1365.94725 1365.10822
19960205 102920 1365.47938 1365.93804 1365.05163 1365.93884 1365.10365
19960205 112920 1365.50888 1365.96755 1365.01369 1365.96839 1365.06580
19960205 122920 1365.46744 1365.92610 1364.98946 1365.92698 1365.04164
19960205 132920 1365.49901 1365.95769 1364.98008 1365.95861 1365.03236
19960205 142920 1365.47763 1365.93630 1365.01211 1365.93726 1365.06446
19960205 152920 1365.47883 1365.93751 1365.01553 1365.93851 1365.06796
19960205 162920 1365.45909 1365.91777 1364.97814 1365.91881 1365.03066
19960205 172920 1365.43904 1365.89772 1364.98403 1365.89880 1365.03663
19960205 182920 1365.49846 1365.95716 1365.00396 1365.95828 1365.05664
19960205 192920 1365.46682 1365.92552 1365.03957 1365.92668 1365.09235
19960205 202920 1365.46545 1365.92415 1365.05523 1365.92535 1365.10809
19960205 212920 1365.50548 1365.96420 1365.05765 1365.96543 1365.11059
19960205 222920 1365.48955 1365.94826 1365.05659 1365.94954 1365.10961
19960205 232920 1365.49485 1365.95357 1365.03545 1365.95488 1365.08856
19960206 002920 1365.50409 1365.96281 1365.03744 1365.96417 1365.09063
19960206 012920 1365.52218 1365.98092 1365.07866 1365.98232 1365.13193
19960206 022920 1365.53832 1365.99706 1365.07600 1365.99850 1365.12936
19960206 032920 1365.51804 1365.97678 1365.07567 1365.97825 1365.12911
19960206 042920 1365.50970 1365.96844 1365.03998 1365.96995 1365.09350
19960206 052920 1365.47157 1365.93029 1365.02579 1365.93185 1365.07939
19960206 062920 1365.47666 1365.93539 1365.02190 1365.93698 1365.07559
19960206 072920 1365.45761 1365.91634 1365.00190 1365.91798 1365.05567
19960206 082920  -99.00000  -99.00000 1365.01805  -99.00000 1365.07190
19960206 092920 1365.47707 1365.93581 1365.05053 1365.93752 1365.10447
19960206 102920 1365.47825 1365.93699 1365.04278 1365.93875 1365.09680
19960206 112920 1365.46479 1365.92352 1365.01984 1365.92532 1365.07395
19960206 122920 1365.46645 1365.92519 1364.99211 1365.92703 1365.04630
19960206 132920 1365.45780 1365.91653 1365.01325 1365.91841 1365.06753
19960206 142920 1365.48148 1365.94023 1365.03270 1365.94215 1365.08706
19960206 152920 1365.46865 1365.92739 1365.01196 1365.92935 1365.06641
19960206 162920 1365.48582 1365.94457 1365.02507 1365.94657 1365.07960
19960206 172920 1365.50029 1365.95905 1365.02659 1365.96108 1365.08121
19960206 182920 1365.54024 1365.99901 1365.05021 1366.00109 1365.10491
19960206 192920 1365.48250 1365.94125 1365.02994 1365.94337 1365.08473
19960206 202920 1365.49896 1365.95771 1365.00757 1365.95987 1365.06244
19960206 212920 1365.47148 1365.93023 1365.00985 1365.93243 1365.06481
19960206 222920 1365.48391 1365.94266 1365.02640 1365.94490 1365.08144
19960206 232920 1365.52606 1365.98482 1365.02279 1365.98710 1365.07791
19960207 002920 1365.47179 1365.93054 1365.03137 1365.93286 1365.08658
19960207 012920 1365.52697 1365.98574 1365.04242 1365.98810 1365.09772
19960207 022920 1365.53263 1365.99139 1365.05606 1365.99380 1365.11144
19960207 032920 1365.51430 1365.97306 1365.03366 1365.97551 1365.08912
19960207 042920 1365.50894 1365.96769 1365.04597 1365.97018 1365.10152
19960207 052920 1365.47033 1365.92907 1365.03227 1365.93160 1365.08790
19960207 062920  -99.00000  -99.00000 1365.03268  -99.00000 1365.08841
19960207 072920  -99.00000  -99.00000 1364.99418  -99.00000 1365.04999
19960207 082920  -99.00000  -99.00000 1364.99541  -99.00000 1365.05131
19960207 092920 1365.46668 1365.92542 1364.98867 1365.92811 1365.04465
19960207 102920 1365.48617 1365.94491 1365.02528 1365.94764 1365.08135
19960207 112920 1365.48677 1365.94552 1365.06274 1365.94829 1365.11889
19960207 122920 1365.51928 1365.97803 1365.04218 1365.98085 1365.09843
19960207 132920 1365.48295 1365.94169 1365.02752 1365.94454 1365.08385
19960207 142920 1365.46277 1365.92150 1364.99379 1365.92440 1365.05021
19960207 152920 1365.48434 1365.94308 1365.01257 1365.94602 1365.06907
19960207 162920 1365.42942 1365.88814 1365.01013 1365.89112 1365.06672
19960207 172920 1365.46231 1365.92104 1364.99416 1365.92406 1365.05084
19960207 182920 1365.48157 1365.94031 1364.99473 1365.94337 1365.05150
19960207 192920 1365.47622 1365.93496 1365.02787 1365.93806 1365.08472
19960207 202920 1365.50905 1365.96780 1365.04168 1365.97094 1365.09863
19960207 212920 1365.52212 1365.98088 1365.05034 1365.98406 1365.10737
19960207 222920 1365.52493 1365.98369 1365.01561 1365.98691 1365.07273
19960207 232920 1365.52562 1365.98437 1365.03733 1365.98764 1365.09454
19960208 002920  -99.00000  -99.00000 1365.02233  -99.00000 1365.07962
19960208 012920  -99.00000  -99.00000 1365.00554  -99.00000 1365.06292
19960208 022920  -99.00000  -99.00000 1365.00839  -99.00000 1365.06585
19960208 032920 1365.44925 1365.90798 1365.00776 1365.91141 1365.06530
19960208 042920 1365.46862 1365.92736 1364.98881 1365.93083 1365.04644
19960208 052920  -99.00000  -99.00000 1364.97250  -99.00000 1365.03020
19960208 062920 1365.43732 1365.89605 1364.97892 1365.89960 1365.03671
19960208 072920 1365.47742 1365.93616 1364.98684 1365.93976 1365.04471
19960208 082920 1365.41984 1365.87856 1365.00167 1365.88220 1365.05963
19960208 092920 1365.44779 1365.90652 1364.98860 1365.91020 1365.04663
19960208 102920 1365.44105 1365.89978 1364.98715 1365.90350 1365.04526
19960208 112920 1365.43045 1365.88917 1364.98370 1365.89293 1365.04190
19960208 122920 1365.36883 1365.82753 1364.94450 1365.83134 1365.00278
19960208 132920 1365.38957 1365.84828 1364.94705 1365.85212 1365.00542
19960208 142920 1365.41762 1365.87634 1364.96365 1365.88022 1365.02210
19960208 152920 1365.42068 1365.87940 1364.98062 1365.88333 1365.03915
19960208 162920 1365.44200 1365.90073 1364.98157 1365.90469 1365.04018
19960208 172920 1365.36981 1365.82851 1364.95146 1365.83252 1365.01015
19960208 182920 1365.41124 1365.86995 1364.97851 1365.87400 1365.03729
19960208 192920 1365.42664 1365.88537 1364.98722 1365.88946 1365.04609
19960208 202920 1365.40919 1365.86791 1364.99005 1365.87204 1365.04899
19960208 212920 1365.42549 1365.88421 1364.99283 1365.88838 1365.05186
19960208 222920 1365.46133 1365.92006 1365.00256 1365.92428 1365.06167
19960208 232920 1365.44209 1365.90082 1365.01027 1365.90508 1365.06947
19960209 002920 1365.41163 1365.87035 1365.00544 1365.87465 1365.06472
19960209 012920 1365.41476 1365.87348 1364.98604 1365.87782 1365.04540
19960209 022920 1365.39273 1365.85144 1364.96858 1365.85582 1365.02803
19960209 032920 1365.42991 1365.88864 1364.97146 1365.89306 1365.03099
19960209 042920 1365.42228 1365.88100 1365.00545 1365.88547 1365.06506
19960209 052920 1365.39194 1365.85065 1365.00089 1365.85516 1365.06059
19960209 062920 1365.39567 1365.85438 1364.94648 1365.85893 1365.00626
19960209 072920 1365.39419 1365.85290 1364.95615 1365.85749 1365.01602
19960209 082920 1365.47377 1365.93251 1364.99522 1365.93714 1365.05517
19960209 092920 1365.41165 1365.87037 1365.01911 1365.87504 1365.07914
19960209 102920 1365.42639 1365.88511 1364.99208 1365.88983 1365.05220
19960209 112920 1365.43565 1365.89438 1364.97538 1365.89914 1365.03558
19960209 122920 1365.43861 1365.89733 1364.96788 1365.90213 1365.02817
19960209 132920 1365.43257 1365.89129 1364.97626 1365.89613 1365.03664
19960209 142920 1365.44947 1365.90819 1364.99869 1365.91307 1365.05915
19960209 152920 1365.48537 1365.94409 1365.01003 1365.94901 1365.07057
19960209 162920 1365.47374 1365.93246 1365.01143 1365.93742 1365.07206
19960209 172920  -99.00000  -99.00000 1364.99363  -99.00000 1365.05434
19960209 182920  -99.00000  -99.00000 1364.99178  -99.00000 1365.05258
19960209 192920  -99.00000  -99.00000 1364.98321  -99.00000 1365.04410
19960209 202920  -99.00000  -99.00000 1364.99513  -99.00000 1365.05611
19960209 212920  -99.00000  -99.00000 1364.99652  -99.00000 1365.05758
19960209 222920 1365.44529 1365.90395 1364.99524 1365.90917 1365.05638
19960209 232920 1365.45846 1365.91712 1364.99933 1365.92238 1365.06056
19960210 002920 1365.43413 1365.89277 1364.98262 1365.89808 1365.04394
19960210 012920 1365.46124 1365.91988 1365.00361 1365.92522 1365.06501
19960210 022920 1365.44604 1365.90467 1365.00350 1365.91006 1365.06500
19960210 032920 1365.42791 1365.88652 1364.98809 1365.89195 1365.04967
19960210 042920 1365.42580 1365.88440 1364.98588 1365.88987 1365.04754
19960210 052920 1365.45870 1365.91730 1365.00005 1365.92281 1365.06180
19960210 062920 1365.46880 1365.92739 1365.01174 1365.93295 1365.07359
19960210 072920 1365.44668 1365.90526 1365.02313 1365.91086 1365.08506
19960210 082920  -99.00000  -99.00000 1365.02667  -99.00000 1365.08869
19960210 092920 1365.48759 1365.94615 1365.02735 1365.95183 1365.08946
19960210 102920 1365.49965 1365.95820 1365.01855 1365.96393 1365.08074
19960210 112920 1365.48981 1365.94835 1365.01712 1365.95412 1365.07941
19960210 122920 1365.49687 1365.95540 1365.02623 1365.96121 1365.08860
19960210 132920 1365.45844 1365.91696 1365.01410 1365.92282 1365.07656
19960210 142920 1365.49179 1365.95032 1365.02920 1365.95622 1365.09175
19960210 152920 1365.45371 1365.91223 1365.00868 1365.91817 1365.07132
19960210 162920 1365.48311 1365.94164 1365.01200 1365.94762 1365.07474
19960210 172920 1365.43367 1365.89217 1364.97962 1365.89819 1365.04244
19960210 182920 1365.43668 1365.89519 1364.96489 1365.90125 1365.02780
19960210 192920 1365.41559 1365.87408 1364.96461 1365.88019 1365.02762
19960210 202920 1365.44613 1365.90463 1364.96693 1365.91078 1365.03002
19960210 212920 1365.44318 1365.90169 1364.97898 1365.90788 1365.04216
19960210 222920 1365.43124 1365.88974 1364.98150 1365.89598 1365.04478
19960210 232920 1365.42031 1365.87881 1364.93885 1365.88509 1365.00222
19960211 002920 1365.43335 1365.89185  -99.00000 1365.89817  -99.00000
19960211 012920 1365.41955 1365.87805  -99.00000 1365.88442  -99.00000
19960211 022920 1365.45335 1365.91186  -99.00000 1365.91827  -99.00000
19960211 032920 1365.41534 1365.87384  -99.00000 1365.88030  -99.00000
19960211 042920 1365.48770 1365.94622  -99.00000 1365.95273  -99.00000
19960211 052920 1365.42350 1365.88201  -99.00000 1365.88856  -99.00000
19960211 062920 1365.41790 1365.87641  -99.00000 1365.88300  -99.00000
19960211 072920 1365.39025 1365.84875  -99.00000 1365.85539  -99.00000
19960211 082920 1365.40618 1365.86469  -99.00000 1365.87138  -99.00000
19960211 092920 1365.41798 1365.87650  -99.00000 1365.88323  -99.00000
19960211 102920 1365.46082 1365.91936  -99.00000 1365.92613  -99.00000
19960211 112920 1365.43422 1365.89275  -99.00000 1365.89957  -99.00000
19960211 122920 1365.41712 1365.87564  -99.00000 1365.88250  -99.00000
19960211 132920 1365.42530 1365.88382  -99.00000 1365.89073  -99.00000
19960211 142920 1365.42371 1365.88223  -99.00000 1365.88919  -99.00000
19960211 152920 1365.41034 1365.86887  -99.00000 1365.87587  -99.00000
19960211 162920 1365.36366 1365.82217  -99.00000 1365.82922  -99.00000
19960211 172920 1365.38252 1365.84104  -99.00000 1365.84814  -99.00000
19960211 182920 1365.35967 1365.81819  -99.00000 1365.82533  -99.00000
19960211 192920 1365.33474 1365.79325  -99.00000 1365.80044  -99.00000
19960211 202920 1365.35391 1365.81243  -99.00000 1365.81966  -99.00000
19960211 212920 1365.34576 1365.80429  -99.00000 1365.81157  -99.00000
19960211 222920 1365.34194 1365.80046  -99.00000 1365.80779  -99.00000
19960211 232920 1365.33471 1365.79323  -99.00000 1365.80061  -99.00000
19960212 002920 1365.33928 1365.79782  -99.00000 1365.80524  -99.00000
19960212 012920 1365.31305 1365.77158  -99.00000 1365.77905  -99.00000
19960212 022920 1365.32524 1365.78379  -99.00000 1365.79130  -99.00000
19960212 032920 1365.28595 1365.74448  -99.00000 1365.75204  -99.00000
19960212 042920 1365.33852 1365.79707  -99.00000 1365.80468  -99.00000
19960212 052920 1365.39206 1365.85064  -99.00000 1365.85830  -99.00000
19960212 062920 1365.40406 1365.86266  -99.00000 1365.87036  -99.00000
19960212 072920 1365.41448 1365.87309  -99.00000 1365.88084  -99.00000
19960212 082920 1365.38353 1365.84213  -99.00000 1365.84993  -99.00000
19960212 092920 1365.41906 1365.87768  -99.00000 1365.88552  -99.00000
19960212 102920 1365.40861 1365.86723  -99.00000 1365.87512  -99.00000
19960212 112920 1365.40991 1365.86854  -99.00000 1365.87648  -99.00000
19960212 122920 1365.38660 1365.84523  -99.00000 1365.85321  -99.00000
19960212 132920 1365.36688 1365.82551  -99.00000 1365.83355  -99.00000
19960212 142920 1365.36440 1365.82303  -99.00000 1365.83111  -99.00000
19960212 152920 1365.35953 1365.81816  -99.00000 1365.82629  -99.00000
19960212 162920 1365.42063 1365.87928  -99.00000 1365.88746  -99.00000
19960212 172920 1365.42744 1365.88610  -99.00000 1365.89433  -99.00000
19960212 182920 1365.43774 1365.89641  -99.00000 1365.90469  -99.00000
19960212 192920 1365.42498 1365.88365  -99.00000 1365.89198  -99.00000
19960212 202920 1365.42333 1365.88200  -99.00000 1365.89037  -99.00000
19960212 212920 1365.41058 1365.86925  -99.00000 1365.87767  -99.00000
19960212 222920 1365.40547 1365.86414  -99.00000 1365.87261  -99.00000
19960212 232920 1365.40952 1365.86820  -99.00000 1365.87672  -99.00000
