 52  ;total number of comment lines until data start
;TOTAL SOLAR IRRADIANCE (TSI) DATA FROM VIRGO/SOHO
19960131 072920 1365.64033 1366.10232 1365.21003 1366.09331 1365.25514
19960131 082920  -99.00000  -99.00000 1365.20162  -99.00000 1365.24684
19960131 092920 1365.66670 1366.12873 1365.21377 1366.11979 1365.25909
19960131 102920 1365.62977 1366.09180 1365.21413 1366.08290 1365.25957
19960131 112920 1365.60253 1366.06457 1365.19511 1366.05570 1365.24066
19960131 122920 1365.68389 1366.14597 1365.20037 1366.13714 1365.24602
19960131 132920 1365.61630 1366.07837 1365.17644 1366.06958 1365.22220
19960131 142920 1365.61363 1366.07573 1365.19400 1366.06697 1365.23987
19960131 152920 1365.66587 1366.12800 1365.20795 1366.11928 1365.25393
19960131 162920 1365.61316 1366.07529 1365.19372 1366.06661 1365.23981
19960131 172920 1365.65035 1366.11250 1365.20683 1366.10386 1365.25304
19960131 182920 1365.60325 1366.06540 1365.20131 1366.05679 1365.24762
19960131 192920 1365.69382 1366.15602 1365.20143 1366.14745 1365.24786
19960131 202920 1365.61060 1366.07279 1365.19668 1366.06426 1365.24321
19960131 212920 1365.64472 1366.10693 1365.18187 1366.09844 1365.22852
19960131 222920 1365.64718 1366.10941 1365.21941 1366.10095 1365.26617
19960131 232920 1365.65954 1366.12179 1365.21740 1366.11337 1365.26427
19960201 002920 1365.64520 1366.10746 1365.19784 1366.09907 1365.24482
19960201 012920 1365.61256 1366.07482 1365.15030 1366.06648 1365.19740
19960201 022920 1365.59077 1366.05304 1365.14028 1366.04473 1365.18749
19960201 032920 1365.61514 1366.07744 1365.17289 1366.06916 1365.22022
19960201 042920 1365.58925 1366.05155 1365.16703 1366.04332 1365.21447
19960201 052920 1365.61728 1366.07960 1365.18250 1366.07141 1365.23006
19960201 062920 1365.65240 1366.11475 1365.19849 1366.10659 1365.24616
19960201 072920 1365.63625 1366.09862 1365.21471 1366.09049 1365.26250
19960201 082920 1365.63964 1366.10202 1365.20628 1366.09394 1365.25418
19960201 092920 1365.60695 1366.06933 1365.15893 1366.06128 1365.20695
19960201 102920 1365.62379 1366.08619 1365.15053 1366.07818 1365.19866
19960201 112920 1365.64467 1366.10709 1365.17857 1366.09912 1365.22682
19960201 122920 1365.65487 1366.11730 1365.20453 1366.10936 1365.25290
19960201 132920 1365.65990 1366.12233 1365.21978 1366.11443 1365.26827
19960201 142920 1365.65173 1366.11416 1365.21451 1366.10630 1365.26312
19960201 152920 1365.67963 1366.14206 1365.21452 1366.13425 1365.26325
19960201 162920 1365.63751 1366.09992 1365.21928 1366.09214 1365.26813
19960201 172920 1365.67696 1366.13939 1365.21305 1366.13165 1365.26201
19960201 182920 1365.65547 1366.11788 1365.21609 1366.11018 1365.26517
19960201 192920 1365.67192 1366.13433 1365.21513 1366.12667 1365.26434
19960201 202920 1365.69244 1366.15485 1365.24873 1366.14723 1365.29806
19960201 212920 1365.67109 1366.13349 1365.22395 1366.12591 1365.27340
19960201 222920 1365.64597 1366.10836 1365.21350 1366.10081 1365.26307
19960201 232920 1365.67088 1366.13326 1365.21789 1366.12575 1365.26758
19960202 002920 1365.66601 1366.12838 1365.19593 1366.12091 1365.24574
19960202 012920  -99.00000  -99.00000 1365.19982  -99.00000 1365.24972
19960202 022920 1365.63832 1366.10065 1365.21795 1366.09326 1365.26794
19960202 032920 1365.66087 1366.12320 1365.22072 1366.11584 1365.27081
19960202 042920 1365.68140 1366.14372 1365.21084 1366.13640 1365.26103
19960202 052920 1365.62433 1366.08661 1365.21867 1366.07933 1365.26895
19960202 062920 1365.62655 1366.08882 1365.20515 1366.08157 1365.25552
19960202 072920 1365.62997 1366.09223 1365.19308 1366.08501 1365.24356
19960202 082920 1365.64831 1366.11056 1365.19058 1366.10338 1365.24115
19960202 092920 1365.61668 1366.07889 1365.18305 1366.07175 1365.23371
19960202 102920 1365.62342 1366.08561 1365.19070 1366.07851 1365.24145
19960202 112920 1365.61735 1366.07952 1365.18710 1366.07245 1365.23794
19960202 122920 1365.59661 1366.05877 1365.13120 1366.05174 1365.18214
19960202 132920 1365.59148 1366.05364 1365.14756 1366.04665 1365.19859
19960202 142920 1365.57593 1366.03809 1365.13019 1366.03114 1365.18132
19960202 152920 1365.63764 1366.09983 1365.13597 1366.09292 1365.18719
19960202 162920 1365.60378 1366.06596 1365.16765 1366.05909 1365.21896
19960202 172920 1365.62451 1366.08671 1365.17994 1366.07986 1365.23135
19960202 182920 1365.59507 1366.05726 1365.14690 1366.05046 1365.19840
19960202 192920 1365.58183 1366.04403 1365.12951 1366.03726 1365.18110
19960202 202920 1365.63014 1366.09236 1365.17232 1366.08563 1365.22400
19960202 212920 1365.60437 1366.06660 1365.18156 1366.05990 1365.23334
19960202 222920 1365.61821 1366.08045 1365.16086 1366.07380 1365.21273
19960202 232920 1365.62140 1366.08366 1365.18235 1366.07704 1365.23431
19960203 002920 1365.58321 1366.04547 1365.15901 1366.03889 1365.21106
19960203 012920 1365.62333 1366.08562 1365.14006 1366.07907 1365.19221
19960203 022920 1365.57819 1366.04048 1365.14016 1366.03398 1365.19240
19960203 032920 1365.58144 1366.04375 1365.12905 1366.03728 1365.18137
19960203 042920  -99.00000  -99.00000 1365.11366  -99.00000 1365.16608
19960203 052920  -99.00000  -99.00000 1365.11078  -99.00000 1365.16328
19960203 062920  -99.00000  -99.00000 1365.11261  -99.00000 1365.16520
19960203 072920 1365.57116 1366.03355 1365.13002 1366.02723 1365.18271
19960203 082920 1365.56023 1366.02264 1365.11106 1366.01635 1365.16384
19960203 092920 1365.53418 1365.99660 1365.09147 1365.99035 1365.14434
19960203 102920 1365.57359 1366.03605 1365.11466 1366.02984 1365.16762
19960203 112920 1365.59282 1366.05530 1365.16245 1366.04913 1365.21551
19960203 122920 1365.61093 1366.07343 1365.15278 1366.06730 1365.20592
19960203 132920 1365.59672 1366.05923 1365.14114 1366.05313 1365.19437
19960203 142920 1365.55573 1366.01824 1365.12989 1366.01218 1365.18322
19960203 152920 1365.57033 1366.03286 1365.11958 1366.02683 1365.17299
19960203 162920 1365.57627 1366.03880 1365.11131 1366.03282 1365.16481
19960203 172920 1365.56507 1366.02762 1365.10050 1366.02167 1365.15409
19960203 182920 1365.56636 1366.02892 1365.11700 1366.02301 1365.17068
19960203 192920 1365.55009 1366.01265 1365.09888 1366.00677 1365.15265
19960203 202920 1365.53826 1366.00082 1365.08655 1365.99499 1365.14042
19960203 212920 1365.52902 1365.99159 1365.10503 1365.98579 1365.15899
19960203 222920 1365.55245 1366.01504 1365.11544 1366.00928 1365.16948
19960203 232920 1365.56208 1366.02469 1365.10978 1366.01896 1365.16392
19960204 002920 1365.51921 1365.98181 1365.06802 1365.97612 1365.12224
19960204 012920 1365.52045 1365.98306 1365.08740 1365.97741 1365.14171
19960204 022920 1365.54131 1366.00394 1365.09219 1365.99833 1365.14659
19960204 032920 1365.52939 1365.99203 1365.09444 1365.98645 1365.14893
19960204 042920 1365.53445 1365.99710 1365.08867 1365.99156 1365.14325
19960204 052920 1365.53139 1365.99404 1365.09835 1365.98854 1365.15302
19960204 062920 1365.53674 1365.99940 1365.09275 1365.99394 1365.14751
19960204 072920 1365.54719 1366.00987 1365.07937 1366.00444 1365.13422
19960204 082920 1365.52374 1365.98642 1365.08052 1365.98103 1365.13546
19960204 092920  -99.00000  -99.00000 1365.05673  -99.00000 1365.11176
19960204 102920 1365.46397 1365.92664 1365.03140 1365.92133 1365.08652
19960204 112920 1365.50698 1365.96968 1365.06273 1365.96440 1365.11794
19960204 122920 1365.51629 1365.97901 1365.06978 1365.97377 1365.12508
19960204 132920 1365.49243 1365.95515 1365.04021 1365.94995 1365.09560
19960204 142920 1365.48094 1365.94367 1365.04135 1365.93850 1365.09684
19960204 152920 1365.46135 1365.92408 1365.05129 1365.91895 1365.10686
19960204 162920 1365.51748 1365.98025 1365.04492 1365.97516 1365.10058
19960204 172920 1365.48832 1365.95109 1365.07375 1365.94604 1365.12951
19960204 182920 1365.53432 1365.99711 1365.06240 1365.99210 1365.11824
19960204 192920 1365.49772 1365.96052 1365.04470 1365.95554 1365.10064
19960204 202920 1365.48636 1365.94916 1365.04248 1365.94423 1365.09851
19960204 212920 1365.49630 1365.95913 1365.04001 1365.95422 1365.09613
19960204 222920 1365.50358 1365.96642 1365.04132 1365.96156 1365.09752
19960204 232920 1365.51078 1365.97363 1365.03447 1365.96880 1365.09077
19960205 002920 1365.51603 1365.97890 1365.06175 1365.97411 1365.11814
19960205 012920 1365.53952 1366.00241 1365.09719 1365.99766 1365.15365
19960205 022920 1365.49128 1365.95417 1365.06254 1365.94946 1365.11909
19960205 032920 1365.44479 1365.90767 1364.99493 1365.90300 1365.05157
19960205 042920 1365.49023 1365.95314 1365.03498 1365.94851 1365.09170
19960205 052920 1365.47654 1365.93947 1365.04017 1365.93487 1365.09697
19960205 062920  -99.00000  -99.00000 1365.04900  -99.00000 1365.10589
19960205 072920 1365.52382 1365.98679 1365.05704 1365.98227 1365.11401
19960205 082920 1365.47033 1365.93330 1365.06016 1365.92882 1365.11721
19960205 092920 1365.48698 1365.94996 1365.05176 1365.94553 1365.10890
19960205 102920 1365.47851 1365.94151 1365.04711 1365.93712 1365.10433
19960205 112920 1365.50800 1365.97102 1365.00917 1365.96666 1365.06648
19960205 122920 1365.46656 1365.92958 1364.98494 1365.92526 1365.04233
19960205 132920 1365.49813 1365.96117 1364.97556 1365.95689 1365.03304
19960205 142920 1365.47674 1365.93978 1365.00759 1365.93554 1365.06515
19960205 152920 1365.47794 1365.94099 1365.01101 1365.93679 1365.06865
19960205 162920 1365.45820 1365.92125 1364.97362 1365.91709 1365.03135
19960205 172920 1365.43815 1365.90120 1364.97951 1365.89707 1365.03732
19960205 182920 1365.49757 1365.96065 1364.99944 1365.95656 1365.05733
19960205 192920 1365.46593 1365.92900 1365.03506 1365.92495 1365.09303
19960205 202920 1365.46457 1365.92764 1365.05072 1365.92363 1365.10878
19960205 212920 1365.50459 1365.96768 1365.05313 1365.96371 1365.11127
19960205 222920 1365.48866 1365.95175 1365.05208 1365.94782 1365.11030
19960205 232920 1365.49396 1365.95705 1365.03094 1365.95316 1365.08925
19960206 002920 1365.50320 1365.96629 1365.03293 1365.96245 1365.09132
19960206 012920 1365.52130 1365.98440 1365.07414 1365.98059 1365.13262
19960206 022920 1365.53743 1366.00054 1365.07149 1365.99678 1365.13005
19960206 032920 1365.51715 1365.98026 1365.07116 1365.97653 1365.12981
19960206 042920 1365.50881 1365.97192 1365.03547 1365.96823 1365.09420
19960206 052920 1365.47068 1365.93378 1365.02128 1365.93013 1365.08009
19960206 062920 1365.47577 1365.93887 1365.01739 1365.93526 1365.07628
19960206 072920 1365.45673 1365.91982 1364.99739 1365.91626 1365.05637
19960206 082920  -99.00000  -99.00000 1365.01354  -99.00000 1365.07260
19960206 092920 1365.47620 1365.93929 1365.04602 1365.93580 1365.10516
19960206 102920 1365.47738 1365.94048 1365.03827 1365.93703 1365.09750
19960206 112920 1365.46392 1365.92701 1365.01533 1365.92360 1365.07465
19960206 122920 1365.46558 1365.92867 1364.98760 1365.92531 1365.04700
19960206 132920 1365.45692 1365.92002 1365.00874 1365.91669 1365.06823
19960206 142920 1365.48061 1365.94372 1365.02819 1365.94043 1365.08776
19960206 152920 1365.46777 1365.93088 1365.00746 1365.92763 1365.06711
19960206 162920 1365.48495 1365.94806 1365.02057 1365.94485 1365.08030
19960206 172920 1365.49941 1365.96253 1365.02209 1365.95937 1365.08191
19960206 182920 1365.53936 1366.00250 1365.04571 1365.99937 1365.10562
19960206 192920 1365.48163 1365.94474 1365.02544 1365.94166 1365.08543
19960206 202920 1365.49808 1365.96120 1365.00307 1365.95816 1365.06315
19960206 212920 1365.47060 1365.93371 1365.00535 1365.93071 1365.06551
19960206 222920 1365.48303 1365.94615 1365.02190 1365.94319 1365.08215
19960206 232920 1365.52517 1365.98831 1365.01829 1365.98539 1365.07862
19960207 002920 1365.47090 1365.93402 1365.02687 1365.93114 1365.08728
19960207 012920 1365.52609 1365.98923 1365.03793 1365.98639 1365.09842
19960207 022920 1365.53174 1365.99488 1365.05156 1365.99208 1365.11215
19960207 032920 1365.51341 1365.97655 1365.02916 1365.97379 1365.08983
19960207 042920 1365.50804 1365.97118 1365.04147 1365.96846 1365.10223
19960207 052920 1365.46944 1365.93256 1365.02777 1365.92989 1365.08861
19960207 062920  -99.00000  -99.00000 1365.02819  -99.00000 1365.08912
19960207 072920  -99.00000  -99.00000 1364.98968  -99.00000 1365.05070
19960207 082920  -99.00000  -99.00000 1364.99091  -99.00000 1365.05202
19960207 092920 1365.46578 1365.92891 1364.98417 1365.92640 1365.04536
19960207 102920 1365.48526 1365.94840 1365.02078 1365.94593 1365.08206
19960207 112920 1365.48587 1365.94901 1365.05824 1365.94657 1365.11960
19960207 122920 1365.51837 1365.98153 1365.03769 1365.97913 1365.09914
19960207 132920 1365.48204 1365.94518 1365.02303 1365.94283 1365.08456
19960207 142920 1365.46186 1365.92500 1364.98930 1365.92269 1365.05092
19960207 152920 1365.48342 1365.94657 1365.00808 1365.94431 1365.06979
19960207 162920 1365.42850 1365.89164 1365.00564 1365.88941 1365.06744
19960207 172920 1365.46139 1365.92453 1364.98967 1365.92235 1365.05156
19960207 182920 1365.48065 1365.94381 1364.99025 1365.94166 1365.05222
19960207 192920 1365.47530 1365.93846 1365.02338 1365.93635 1365.08544
19960207 202920 1365.50812 1365.97129 1365.03719 1365.96923 1365.09934
19960207 212920 1365.52119 1365.98437 1365.04585 1365.98235 1365.10809
19960207 222920 1365.52400 1365.98718 1365.01112 1365.98520 1365.07345
19960207 232920 1365.52468 1365.98787 1365.03285 1365.98593 1365.09526
19960208 002920  -99.00000  -99.00000 1365.01784  -99.00000 1365.08034
19960208 012920  -99.00000  -99.00000 1365.00105  -99.00000 1365.06364
19960208 022920  -99.00000  -99.00000 1365.00391  -99.00000 1365.06657
19960208 032920 1365.44829 1365.91147 1365.00328 1365.90970 1365.06603
19960208 042920 1365.46767 1365.93086 1364.98433 1365.92912 1365.04716
19960208 052920  -99.00000  -99.00000 1364.96801  -99.00000 1365.03093
19960208 062920 1365.43636 1365.89954 1364.97444 1365.89789 1365.03744
19960208 072920 1365.47646 1365.93966 1364.98236 1365.93805 1365.04543
19960208 082920 1365.41887 1365.88206 1364.99719 1365.88049 1365.06035
19960208 092920 1365.44682 1365.91002 1364.98412 1365.90849 1365.04736
19960208 102920 1365.44007 1365.90327 1364.98267 1365.90179 1365.04599
19960208 112920 1365.42947 1365.89267 1364.97922 1365.89123 1365.04263
19960208 122920 1365.36785 1365.83103 1364.94002 1365.82963 1365.00351
19960208 132920 1365.38858 1365.85178 1364.94257 1365.85041 1365.00614
19960208 142920 1365.41664 1365.87984 1364.95918 1365.87852 1365.02283
19960208 152920 1365.41969 1365.88290 1364.97614 1365.88162 1365.03988
19960208 162920 1365.44101 1365.90423 1364.97709 1365.90299 1365.04091
19960208 172920 1365.36882 1365.83201 1364.94698 1365.83082 1365.01088
19960208 182920 1365.41025 1365.87345 1364.97403 1365.87230 1365.03802
19960208 192920 1365.42566 1365.88887 1364.98275 1365.88775 1365.04682
19960208 202920 1365.40820 1365.87141 1364.98557 1365.87034 1365.04972
19960208 212920 1365.42450 1365.88771 1364.98836 1365.88668 1365.05259
19960208 222920 1365.46034 1365.92356 1364.99809 1365.92257 1365.06241
19960208 232920 1365.44111 1365.90432 1365.00580 1365.90337 1365.07020
19960209 002920 1365.41064 1365.87385 1365.00097 1365.87294 1365.06546
19960209 012920 1365.41378 1365.87698 1364.98156 1365.87612 1365.04613
19960209 022920 1365.39174 1365.85494 1364.96411 1365.85412 1365.02876
19960209 032920 1365.42893 1365.89214 1364.96699 1365.89136 1365.03173
19960209 042920 1365.42130 1365.88451 1365.00098 1365.88377 1365.06579
19960209 052920 1365.39096 1365.85416 1364.99642 1365.85346 1365.06133
19960209 062920 1365.39469 1365.85788 1364.94202 1365.85723 1365.00700
19960209 072920 1365.39321 1365.85640 1364.95169 1365.85579 1365.01676
19960209 082920 1365.47279 1365.93601 1364.99076 1365.93544 1365.05591
19960209 092920 1365.41068 1365.87387 1365.01464 1365.87334 1365.07988
19960209 102920 1365.42542 1365.88862 1364.98762 1365.88813 1365.05294
19960209 112920 1365.43468 1365.89788 1364.97091 1365.89743 1365.03632
19960209 122920 1365.43763 1365.90083 1364.96342 1365.90043 1365.02891
19960209 132920 1365.43160 1365.89479 1364.97180 1365.89443 1365.03738
19960209 142920 1365.44850 1365.91169 1364.99423 1365.91137 1365.05989
19960209 152920 1365.48440 1365.94759 1365.00556 1365.94731 1365.07131
19960209 162920 1365.47278 1365.93596 1365.00697 1365.93573 1365.07281
19960209 172920  -99.00000  -99.00000 1364.98917  -99.00000 1365.05509
19960209 182920  -99.00000  -99.00000 1364.98732  -99.00000 1365.05333
19960209 192920  -99.00000  -99.00000 1364.97875  -99.00000 1365.04484
19960209 202920  -99.00000  -99.00000 1364.99067  -99.00000 1365.05685
19960209 212920  -99.00000  -99.00000 1364.99206  -99.00000 1365.05833
19960209 222920 1365.44435 1365.90746 1364.99078 1365.90747 1365.05713
19960209 232920 1365.45752 1365.92063 1364.99487 1365.92068 1365.06131
19960210 002920 1365.43320 1365.89628 1364.97816 1365.89638 1365.04469
19960210 012920 1365.46030 1365.92339 1364.99915 1365.92352 1365.06576
19960210 022920 1365.44511 1365.90818 1364.99905 1365.90836 1365.06575
19960210 032920 1365.42698 1365.89003 1364.98363 1365.89025 1365.05042
19960210 042920 1365.42488 1365.88791 1364.98142 1365.88818 1365.04829
19960210 052920 1365.45778 1365.92081 1364.99559 1365.92112 1365.06255
19960210 062920 1365.46789 1365.93090 1365.00729 1365.93125 1365.07434
19960210 072920 1365.44578 1365.90877 1365.01867 1365.90916 1365.08581
19960210 082920  -99.00000  -99.00000 1365.02221  -99.00000 1365.08944
19960210 092920 1365.48669 1365.94966 1365.02289 1365.95014 1365.09021
19960210 102920 1365.49876 1365.96171 1365.01409 1365.96223 1365.08150
19960210 112920 1365.48893 1365.95186 1365.01267 1365.95243 1365.08016
19960210 122920 1365.49598 1365.95892 1365.02178 1365.95952 1365.08936
19960210 132920 1365.45756 1365.92048 1365.00964 1365.92112 1365.07732
19960210 142920 1365.49091 1365.95384 1365.02475 1365.95453 1365.09251
19960210 152920 1365.45284 1365.91574 1365.00423 1365.91647 1365.07208
19960210 162920 1365.48224 1365.94515 1365.00755 1365.94592 1365.07549
19960210 172920 1365.43279 1365.89568 1364.97517 1365.89650 1365.04320
19960210 182920 1365.43581 1365.89870 1364.96044 1365.89956 1365.02856
19960210 192920 1365.41471 1365.87760 1364.96016 1365.87850 1365.02838
19960210 202920 1365.44526 1365.90815 1364.96248 1365.90909 1365.03078
19960210 212920 1365.44231 1365.90520 1364.97453 1365.90619 1365.04293
19960210 222920 1365.43037 1365.89326 1364.97706 1365.89429 1365.04555
19960210 232920 1365.41944 1365.88233 1364.93441 1365.88340 1365.00299
19960211 002920 1365.43248 1365.89537  -99.00000 1365.89648  -99.00000
19960211 012920 1365.41868 1365.88157  -99.00000 1365.88273  -99.00000
19960211 022920 1365.45248 1365.91538  -99.00000 1365.91658  -99.00000
19960211 032920 1365.41447 1365.87736  -99.00000 1365.87861  -99.00000
19960211 042920 1365.48683 1365.94974  -99.00000 1365.95104  -99.00000
19960211 052920 1365.42263 1365.88553  -99.00000 1365.88687  -99.00000
19960211 062920 1365.41703 1365.87993  -99.00000 1365.88131  -99.00000
19960211 072920 1365.38938 1365.85227  -99.00000 1365.85370  -99.00000
19960211 082920 1365.40531 1365.86821  -99.00000 1365.86969  -99.00000
19960211 092920 1365.41711 1365.88002  -99.00000 1365.88154  -99.00000
19960211 102920 1365.45995 1365.92288  -99.00000 1365.92445  -99.00000
19960211 112920 1365.43334 1365.89627  -99.00000 1365.89789  -99.00000
19960211 122920 1365.41625 1365.87916  -99.00000 1365.88082  -99.00000
19960211 132920 1365.42442 1365.88734  -99.00000 1365.88905  -99.00000
19960211 142920 1365.42283 1365.88576  -99.00000 1365.88750  -99.00000
19960211 152920 1365.40946 1365.87239  -99.00000 1365.87418  -99.00000
19960211 162920 1365.36278 1365.82569  -99.00000 1365.82753  -99.00000
19960211 172920 1365.38164 1365.84457  -99.00000 1365.84645  -99.00000
19960211 182920 1365.35879 1365.82171  -99.00000 1365.82365  -99.00000
19960211 192920 1365.33386 1365.79678  -99.00000 1365.79876  -99.00000
19960211 202920 1365.35302 1365.81595  -99.00000 1365.81798  -99.00000
19960211 212920 1365.34488 1365.80781  -99.00000 1365.80988  -99.00000
19960211 222920 1365.34105 1365.80399  -99.00000 1365.80611  -99.00000
19960211 232920 1365.33382 1365.79676  -99.00000 1365.79892  -99.00000
19960212 002920 1365.33839 1365.80134  -99.00000 1365.80355  -99.00000
19960212 012920 1365.31216 1365.77511  -99.00000 1365.77737  -99.00000
19960212 022920 1365.32435 1365.78731  -99.00000 1365.78962  -99.00000
19960212 032920 1365.28506 1365.74801  -99.00000 1365.75036  -99.00000
19960212 042920 1365.33762 1365.80060  -99.00000 1365.80300  -99.00000
19960212 052920 1365.39116 1365.85417  -99.00000 1365.85662  -99.00000
19960212 062920 1365.40317 1365.86618  -99.00000 1365.86868  -99.00000
19960212 072920 1365.41358 1365.87661  -99.00000 1365.87915  -99.00000
19960212 082920 1365.38263 1365.84566  -99.00000 1365.84825  -99.00000
19960212 092920 1365.41815 1365.88120  -99.00000 1365.88384  -99.00000
19960212 102920 1365.40770 1365.87076  -99.00000 1365.87344  -99.00000
19960212 112920 1365.40900 1365.87207  -99.00000 1365.87480  -99.00000
19960212 122920 1365.38569 1365.84876  -99.00000 1365.85153  -99.00000
19960212 132920 1365.36598 1365.82904  -99.00000 1365.83187  -99.00000
19960212 142920 1365.36349 1365.82656  -99.00000 1365.82943  -99.00000
19960212 152920 1365.35862 1365.82169  -99.00000 1365.82461  -99.00000
19960212 162920 1365.41972 1365.88281  -99.00000 1365.88578  -99.00000
19960212 172920 1365.42654 1365.88963  -99.00000 1365.89265  -99.00000
19960212 182920 1365.43685 1365.89995  -99.00000 1365.90301  -99.00000
19960212 192920 1365.42409 1365.88719  -99.00000 1365.89030  -99.00000
19960212 202920 1365.42244 1365.88553  -99.00000 1365.88870  -99.00000
19960212 212920 1365.40969 1365.87279  -99.00000 1365.87600  -99.00000
19960212 222920 1365.40458 1365.86767  -99.00000 1365.87093  -99.00000
