;(4)   Crommelynck, D., S. Dewitte and A. Chevalier, Total Solar Irradiance 
20001105 1366.61890 1367.08984 1366.14783 1367.42908 1366.43396
20001106 1366.90417 1367.37830 1366.42798 1367.71924 1366.71399
20001107 1366.99292 1367.47327 1366.51257 1367.81580 1366.79858
20001108 1366.91516 1367.40601 1366.42432 1367.75000 1366.71008
20001109 1366.75537 1367.15845 1366.34546 1367.50391 1366.63110
20001110 1366.51953 1366.94141 1366.09766 1367.28845 1366.38293
20001111 1366.42786 1366.89844 1365.95715 1367.24683 1366.24207
20001112 1366.48865 1366.97253 1366.00476 1367.32239 1366.28931
20001113 1366.49817 1366.95618 1366.05127 1367.30737 1366.33533
20001114 1366.55994 1367.00403 1366.09973 1367.35608 1366.38342
20001115 1366.69031 1367.14197 1366.23572 1367.49500 1366.51904
20001116 1366.70056 1367.14868 1366.25220 1367.50208 1366.53516
20001117 1366.57837 1367.03955 1366.11719 1367.39331 1366.39990
20001118 1366.42834 1366.85583 1365.98792 1367.20959 1366.27051
20001119 1366.28564 1366.74133 1365.82983 1367.09521 1366.11218
20001120 1366.33386 1366.77295 1365.89587 1367.12720 1366.17786
20001121 1366.47546 1366.92200 1366.05603 1367.27661 1366.33752
20001122 1366.58142 1367.02771 1366.12109 1367.38281 1366.40210
20001123 1366.74500 1367.19177 1366.29810 1367.54736 1366.57825
20001124 1366.79443 1367.25916 1366.32703 1367.61499 1366.60608
20001125 1366.87854 1367.34778 1366.41077 1367.70410 1366.68884
20001126 1366.85754 1367.28894 1366.41467 1367.64600 1366.69214
20001127 1366.75708 1367.23523 1366.27881 1367.59290 1366.55591
20001128 1366.74695 1367.17236 1366.29028 1367.53064 1366.56689
20001129 1366.83301 1367.23486  -99.00000 1367.59338  -99.00000
20001130 1366.86450 1367.23718 1366.64343 1367.59558 1366.92004
20001201 1366.94409 1367.34143  -99.00000 1367.69995  -99.00000
20001202 1367.03784 1367.47839 1366.60059 1367.83716 1366.87683
20001203 1367.19897 1367.68445 1366.71399 1368.04346 1366.98987
20001204 1367.27856 1367.75366 1366.79504 1368.11292 1367.07043
20001205 1367.02661 1367.49438 1366.55872 1367.85364 1366.83362
20001206 1366.69165 1367.14026 1366.22156 1367.49951 1366.49585
20001207 1366.54944 1367.03003 1366.05884 1367.38916 1366.33252
20001208 1366.58923 1367.04968 1366.13574 1367.40906 1366.40845
20001209 1366.66589 1367.10498 1366.20862 1367.46448 1366.48010
20001210 1366.74683 1367.21790 1366.27576 1367.57751 1366.54614
20001211 1366.82617 1367.31128 1366.34595 1367.67065 1366.61572
20001212 1366.86646 1367.31409 1366.40649 1367.67334 1366.67590
20001213 1366.72327 1367.18335 1366.25696 1367.54236 1366.52588
20001214 1366.59509 1367.06445 1366.12573 1367.42322 1366.39392
20001215 1366.53406 1366.99878 1366.07117 1367.35742 1366.33838
20001216 1366.68958 1367.17249 1366.22498 1367.53113 1366.49146
20001217 1366.90442 1367.38330 1366.43884 1367.74207 1366.70483
20001218 1367.16504 1367.66272 1366.66724 1368.02173 1366.93298
20001219 1367.25879 1367.73767 1366.78003 1368.09680 1367.04529
20001220 1367.19702 1367.68079 1366.71179 1368.03992 1366.97595
20001221 1367.05029 1367.53125 1366.56934 1367.89014 1366.83215
20001222 1366.88367 1367.34436 1366.41284 1367.70313 1366.67432
20001223 1366.73828 1367.22546 1366.25171 1367.58411 1366.51245
20001224 1366.68774 1367.16113 1366.20618 1367.51965 1366.46606
20001225 1366.70422 1367.17017 1366.22559 1367.52844 1366.48474
20001226 1366.70178 1367.17383 1366.23499 1367.53186 1366.49268
20001227 1366.75073 1367.19287 1366.28125 1367.55042 1366.53735
20001228 1366.70129 1367.14307 1366.24854 1367.50037 1366.50317
20001229 1366.63098 1367.08313 1366.15991 1367.44043 1366.41333
20001230 1366.46387 1366.93396 1365.99377 1367.29138 1366.24622
20001231 1366.25000 1366.70972 1365.78491 1367.06738 1366.03625
20010101 1366.09595 1366.55090 1365.64099 1366.90869 1365.89111
20010102 1366.22290 1366.68909 1365.75769 1367.04712 1366.00635
20010103 1366.35583 1366.84888 1365.86279 1367.20703 1366.11023
20010104 1366.47034 1366.94849 1365.98633 1367.30688 1366.23291
20010105 1366.68311 1367.15027  -99.00000 1367.50879  -99.00000
20010106 1366.91919 1367.38843 1366.44482 1367.74719 1366.68958
20010107 1367.02197 1367.49524 1366.53198 1367.85413 1366.77563
20010108 1367.00684 1367.47839 1366.53540 1367.83752 1366.77759
20010109 1366.96655 1367.40100 1366.53577 1367.76025 1366.77563
20010110 1366.78796 1367.23010 1366.32898 1367.58948 1366.56580
20010111 1366.61890 1367.09131 1366.14661 1367.45081 1366.37952
20010112 1366.44373 1366.89819 1365.98938 1367.25793 1366.21899
20010113 1366.30212 1366.75610 1365.85107 1367.11609 1366.07935
20010114 1366.41309 1366.87292  -99.00000 1367.23303  -99.00000
20010115 1366.67017  -99.00000 1366.23218  -99.00000 1366.45959
20010116 1366.88977 1367.35461 1366.43103 1367.71509 1366.65747
20010117 1367.08972 1367.52759 1366.62988 1367.88818 1366.85535
20010118 1367.09119 1367.55017 1366.63147 1367.91101 1366.85583
20010119 1367.01611 1367.44934 1366.58289 1367.81030 1366.80591
20010120 1366.93225 1367.35840 1366.50610 1367.71948 1366.72766
20010121 1366.87317 1367.30701 1366.43933 1367.66833 1366.65942
20010122 1366.85828 1367.31519 1366.40149 1367.67664 1366.62000
20010123 1366.99487 1367.42676 1366.54492 1367.78833 1366.76172
20010124 1366.81335 1367.25134 1366.36145 1367.61304 1366.57666
20010125 1366.76355 1367.21155 1366.32397 1367.57349 1366.53784
20010126 1366.85449 1367.29248 1366.40295 1367.65454 1366.61548
20010127 1366.79541 1367.24487 1366.34595 1367.60706 1366.55762
20010128 1366.81714 1367.26331 1366.37097 1367.62573 1366.58252
20010129 1366.93408 1367.37268 1366.49487 1367.73523 1366.70654
20010130 1366.95459 1367.42566 1366.48352 1367.78845 1366.69543
20010131 1367.06775 1367.50562 1366.62976 1367.86853 1366.84180
20010201 1367.13318 1367.57190 1366.67957 1367.93494 1366.89172
20010202 1367.10168 1367.53906 1366.65381 1367.90222 1366.86609
20010203 1367.08472 1367.54187 1366.62341 1367.90527 1366.83545
20010204 1367.20105 1367.65112 1366.73547 1368.01465 1366.94727
20010205 1367.09570 1367.54370 1366.63660 1367.90747 1366.84802
20010206 1366.85083 1367.29846 1366.39941 1367.66235 1366.61023
20010207 1366.71838 1367.16516 1366.27173 1367.52930 1366.48145
20010208 1366.71399 1367.16211 1366.26599 1367.52625 1366.47498
20010209 1366.77100 1367.24670 1366.29541 1367.61108 1366.50378
20010210 1366.72559 1367.17065 1366.26904 1367.53516 1366.47705
20010211 1366.75415 1367.21863 1366.29065 1367.58325 1366.49829
20010212 1366.80505 1367.30005 1366.32703 1367.66492 1366.53418
20010213 1366.78979 1367.26489 1366.31482 1367.62988 1366.52136
20010214 1366.81604 1367.25305 1366.36621 1367.61816 1366.57239
20010215 1366.79968 1367.24695 1366.35242 1367.61230 1366.55811
20010216 1366.77356 1367.24963 1366.29761 1367.61511 1366.50281
20010217 1366.70618 1367.18579 1366.22644 1367.55151 1366.43127
20010218 1366.69861 1367.18066 1366.21667 1367.54639 1366.42114
20010219 1366.68188 1367.13770 1366.22192 1367.50366 1366.42590
20010220 1366.68188 1367.15308 1366.21399 1367.51917 1366.41760
20010221 1366.76721 1367.23230 1366.30493 1367.59863 1366.50806
20010222 1366.88733 1367.34998 1366.42273 1367.71643 1366.62537
20010223 1366.84778 1367.35693 1366.35388 1367.72351 1366.55591
20010224 1366.84753 1367.33447 1366.36670 1367.70117 1366.56787
20010225 1366.84583 1367.32239 1366.36926 1367.68933 1366.56946
20010226 1366.77856 1367.25159 1366.30798 1367.61853 1366.50732
20010227 1366.80737 1367.29846 1366.31616 1367.66565 1366.51501
20010228 1366.83728 1367.30212 1366.36609 1367.66943 1366.56458
20010301 1366.93213 1367.42505 1366.43921 1367.79248 1366.63757
20010302 1367.01465 1367.51331 1366.51599 1367.88086 1366.71436
20010303 1366.97583 1367.47473 1366.47693 1367.84253 1366.67529
20010304 1366.77600 1367.27332 1366.27856 1367.64124 1366.47754
20010305 1366.57349 1367.09229 1366.05469 1367.46033 1366.25464
20010306 1366.33826 1366.82703 1365.84705 1367.19531 1366.04858
20010307 1366.30664 1366.80042 1365.81287 1367.16882 1366.01599
20010308 1366.36719 1366.84692 1365.89014 1367.21545 1366.09497
20010309 1366.57019 1367.03699 1366.10754 1367.40564 1366.31396
20010310 1366.73694 1367.20044 1366.27344 1367.56934 1366.48169
20010311 1366.92627 1367.34766 1366.49316 1367.71667 1366.70325
20010312 1366.86401 1367.33093 1366.39709 1367.70007 1366.60913
20010313 1366.77173 1367.21350 1366.32996 1367.58276 1366.54382
20010314 1366.55786 1367.02271 1366.09302 1367.39221 1366.30884
20010315 1366.44922 1366.91943 1365.98022 1367.28906 1366.19788
20010316 1366.42615 1366.89246 1365.96680 1367.26221 1366.18677
20010317 1366.54260 1367.00977 1366.07544 1367.37964 1366.29736
20010318 1366.63184 1367.11511 1366.14868 1367.48511 1366.37280
20010319 1366.71973 1367.20068 1366.23877 1367.57080 1366.46484
20010320 1366.84338 1367.33667 1366.34998 1367.70703 1366.57788
20010321 1366.82153 1367.29639 1366.34680 1367.66687 1366.57642
20010322 1366.60181 1367.07385 1366.12976 1367.44446 1366.36121
20010323 1366.45569 1366.87964 1365.99158 1367.25037 1366.22510
20010324 1366.30981 1366.77356 1365.84607 1367.14441 1366.08191
20010325 1365.97925 1366.50488 1365.45349 1366.87598 1365.69141
20010326 1365.43774 1365.94910 1364.92920 1366.32019 1365.16882
20010327 1364.50305 1364.86731 1364.02039 1365.23865 1364.26147
20010328 1364.07617 1364.56140 1363.59094 1364.93286 1363.83350
20010329 1364.27600 1364.76501 1363.78711 1365.13660 1364.03149
20010330 1364.64734 1365.11218 1364.18262 1365.48389 1364.42883
20010331 1365.17029 1365.64722 1364.69348 1366.01917 1364.94165
20010401 1365.56982 1366.05225 1365.08740 1366.42432 1365.33752
20010402 1366.04651 1366.52954 1365.56348 1366.90173 1365.81567
20010403 1366.42737 1366.92236 1365.93237 1367.29480 1366.18677
20010404 1366.59827 1367.09119 1366.10352 1367.46411 1366.36060
20010405 1366.46143 1366.94165 1365.96228 1367.31519 1366.22290
20010406 1366.10388 1366.61841 1365.59045 1366.99255 1365.85388
20010407 1365.93689 1366.47473 1365.40466 1366.84912 1365.67114
20010408 1365.77844 1366.27893 1365.27783 1366.65356 1365.54749
20010409 1365.72363 1366.20044 1365.24670 1366.57532 1365.51929
20010410 1365.74402 1366.21680 1365.27112 1366.59155 1365.54675
20010411 1365.82373 1366.29529 1365.35217 1366.66992 1365.63074
20010412 1366.01660 1366.47717 1365.55603 1366.85156 1365.83752
20010413 1366.29834 1366.73718 1365.85962 1367.11096 1366.14417
20010414 1366.41626 1366.86267 1365.96985 1367.23584 1366.25720
20010415 1366.49060 1366.92737 1366.06555 1367.29956 1366.35620
20010416 1366.41418 1366.82751 1366.00085 1367.19873 1366.29407
20010417 1366.32861 1366.75049 1365.90674 1367.12061 1366.20239
20010418 1366.28943 1366.72180 1365.85693 1367.09070 1366.15479
20010419 1366.27759 1366.69006 1365.86511 1367.05786 1366.16455
20010420 1366.17896 1366.61792 1365.73999 1366.98462 1366.04053
20010421 1365.87000 1366.28418 1365.45581 1366.64978 1365.75732
20010422 1365.69788 1366.12927 1365.26648 1366.49365 1365.56909
20010423 1365.71094 1366.11816 1365.30371 1366.48132 1365.60718
20010424 1365.63269 1366.06702 1365.19836 1366.42908 1365.50281
20010425 1365.75439 1366.16077 1365.35046 1366.52185 1365.65637
20010426 1365.94995 1366.37512 1365.52478 1366.73535 1365.83240
20010427 1366.09326 1366.53210 1365.65430 1366.89160 1365.96387
20010428 1366.28467 1366.73035 1365.83899 1367.08923 1366.15063
20010429 1366.45813 1366.89941 1366.01697 1367.25793 1366.33081
20010430 1366.55603 1367.00159 1366.11047 1367.35974 1366.42688
20010501 1366.50806 1366.95020 1366.06592 1367.30847 1366.38501
20010502 1366.47473 1366.90576 1366.04370 1367.26440 1366.36597
20010503 1366.38037 1366.82605 1365.93457 1367.18518 1366.26001
20010504 1366.28674 1366.74890 1365.82446 1367.10852 1366.15332
20010505 1366.43420 1366.90320 1365.95679 1367.26318 1366.28918
20010506 1366.53406 1367.00330 1366.06482 1367.36389 1366.40076
20010507 1366.46887 1366.95386 1365.98376 1367.31543 1366.32349
20010508 1366.45874 1366.93359 1365.98389 1367.29602 1366.32751
20010509 1366.40735 1366.88000 1365.93469 1367.24341 1366.28223
20010510 1366.29443 1366.77173 1365.81726 1367.13635 1366.16846
20010511 1366.02710 1366.49158 1365.56262 1366.85767 1365.91748
20010512 1365.68640 1366.15503 1365.21777 1366.52258 1365.57642
20010513 1365.59705 1366.05981 1365.13428 1366.42896 1365.49670
20010514 1365.66699 1366.15295 1365.18103 1366.52368 1365.54736
20010515 1365.88367 1366.33899 1365.43103 1366.71155 1365.80176
20010516 1366.14160 1366.59705 1365.68616 1366.97144 1366.06128
20010517 1366.38367 1366.83057 1365.93689 1367.20679 1366.31689
20010518 1366.52148 1366.97302 1366.06982 1367.35083 1366.45422
20010519 1366.51038 1366.96448 1366.05615 1367.34302 1366.44385
20010520 1366.44556 1366.90112 1365.98999 1367.27979 1366.38025
20010521 1366.29956 1366.75146 1365.84766 1367.13025 1366.23999
20010522 1366.05371 1366.50928 1365.59802 1366.88818 1365.99207
20010523 1365.74719 1366.18530 1365.30908 1366.56433 1365.70422
20010524 1365.65405 1366.09827 1365.20984 1366.47729 1365.60583
20010525 1365.78369 1366.23169 1365.34253 1366.61096 1365.73926
20010526 1366.03235 1366.46716 1365.59741 1366.84656 1365.99451
20010527 1366.34546 1366.77991 1365.91113 1367.15930 1366.30872
20010528 1366.62610 1367.07898 1366.17334 1367.45862 1366.57153
20010529 1366.77026 1367.22180 1366.31885 1367.60144 1366.71777
20010530 1366.73242 1367.17810 1366.28674 1367.55798 1366.68652
20010531 1366.61584 1367.04688 1366.16345 1367.42676 1366.56421
20010601 1366.52612 1366.98669 1366.06555 1367.36670 1366.46753
20010602 1366.46814 1366.91748 1366.01880 1367.29773 1366.42175
20010603 1366.30359 1366.74524 1365.87390 1367.12561 1366.27734
20010604 1366.05591 1366.51099 1365.59961 1366.89136 1366.00342
20010605 1366.03308 1366.49353 1365.57263 1366.87415 1365.97668
20010606 1366.13281 1366.56628 1365.68799 1366.94690 1366.09290
20010607 1366.05103 1366.50818 1365.59302 1366.88904 1365.99878
20010608 1365.65845 1366.11853 1365.19836 1366.49951 1365.60498
20010609 1365.23938 1365.70093 1364.77722 1366.08191 1365.18481
20010610 1365.34180 1365.78625 1364.89539 1366.16748 1365.30383
20010611 1365.66565 1366.11804 1365.21326 1366.49927 1365.62256
20010612 1366.10046 1366.52722 1365.67371 1366.90857 1366.08398
20010613 1366.24133 1366.71826 1365.76978 1367.09973 1366.18091
20010614 1366.27600 1366.73157 1365.82703 1367.11316 1366.23901
20010615 1366.30139 1366.72498 1365.86902 1367.10669 1366.28198
20010616 1365.96826 1366.41553 1365.51953 1366.79749 1365.93359
20010617 1365.66870 1366.12549 1365.21191 1366.50745 1365.62695
20010618 1365.44568 1365.90063 1364.98071 1366.28271 1365.39709
20010619 1365.31616 1365.77173 1364.86072 1366.15393 1365.27832
20010620 1365.29773 1365.75684 1364.84009 1366.13916 1365.25891
20010621 1365.53992 1366.00732 1365.07263 1366.38977 1365.49243
20010622 1365.99609 1366.48901 1365.52869 1366.87158 1365.94910
20010623 1366.31250 1366.79590 1365.83374 1367.17859 1366.25464
20010624 1366.46997 1366.94275 1366.00000 1367.32556 1366.42126
20010625 1366.48279 1366.95593 1366.01306 1367.33887 1366.43433
20010626 1366.32153 1366.79065 1365.85254 1367.17371 1366.27368
20010627 1366.33301 1366.79126 1365.87756 1367.17444 1366.29871
20010628 1366.39038 1366.85498 1365.92578 1367.23828 1366.34692
20010629 1366.46033 1366.91870 1365.99182 1367.30212 1366.41272
20010630 1366.53271 1366.99353 1366.07190 1367.37695 1366.49255
20010701 1366.73413 1367.19812 1366.27014 1367.58179 1366.69043
20010702 1366.96582 1367.38147 1366.49695 1367.76514 1366.91699
20010703 1366.82861 1367.33972 1366.32043 1367.72351 1366.73975
20010704 1366.68311 1367.14832 1366.21594 1367.53235 1366.63464
20010705 1366.50269 1366.96704 1366.03821 1367.35107 1366.45630
20010706 1366.37231 1366.85364 1365.89099 1367.23779 1366.30847
20010707 1366.27588 1366.72241 1365.82935 1367.10669 1366.24646
20010708 1366.17212 1366.62292 1365.72131 1367.00732 1366.13782
20010709 1366.20288 1366.64148 1365.76416 1367.02600 1366.18042
20010710 1366.40515 1366.83301 1365.97437 1367.21765 1366.39026
20010711 1366.60132 1367.02649 1366.16711 1367.41125 1366.58276
20010712 1366.62756 1367.05688 1366.18262 1367.44177 1366.59790
20010713 1366.52942 1366.97876 1366.08008 1367.36365 1366.49500
20010714 1366.28064 1366.72546 1365.82104 1367.11047 1366.23547
20010715 1366.04639 1366.50500 1365.58777 1366.89026 1366.00171
20010716 1365.89514 1366.34863 1365.44153 1366.73401 1365.85474
20010717 1365.98853 1366.42065 1365.55920 1366.80603 1365.97180
20010718 1366.17224 1366.59619 1365.73706 1366.98169 1366.14880
20010719 1366.30090 1366.74756 1365.85437 1367.13318 1366.26538
20010720 1366.28064 1366.72839 1365.83289 1367.11414 1366.24304
20010721 1366.19788 1366.62708 1365.74487 1367.01294 1366.15417
20010722 1366.12793 1366.55884 1365.69690 1366.94482 1366.10510
20010723 1366.17285 1366.60400 1365.72437 1366.98999 1366.13147
20010724 1366.17029 1366.62134 1365.74255 1367.00745 1366.14880
20010725 1366.19714 1366.65991 1365.73450 1367.04614 1366.14014
20010726 1366.24048 1366.70593 1365.77515 1367.09229 1366.17993
20010727 1366.36377 1366.79260 1365.91492 1367.17908 1366.31873
20010728 1366.46362 1366.84875 1366.02563 1367.23535 1366.42822
20010729 1366.55603  -99.00000 1366.11865  -99.00000 1366.52002
20010730 1366.45557 1366.92041 1365.99060 1367.30725 1366.39136
20010731 1366.45557 1366.89197 1366.01917 1367.27881 1366.41919
20010801 1366.39709 1366.83167 1365.94421 1367.21863 1366.34363
20010802 1366.27234 1366.74658 1365.79810 1367.13379 1366.19690
20010803 1366.10730 1366.58057 1365.62061 1366.96790 1366.01904
20010804 1365.70227 1366.17334 1365.23132 1366.56067 1365.62915
20010805 1365.50476 1365.97229 1365.03735 1366.35974 1365.43457
20010806 1365.62695 1366.06262 1365.16199 1366.45020 1365.55835
20010807 1365.72046 1366.16663 1365.27429 1366.55432 1365.66968
20010808 1365.97986 1366.44690 1365.51270 1366.83459 1365.90747
20010809 1366.19824 1366.66357 1365.73291 1367.05139 1366.12695
20010810 1366.23010 1366.69580 1365.76428 1367.08374 1366.15771
20010811 1365.84033 1366.30896 1365.37170 1366.69702 1365.76477
20010812 1365.83020 1366.30713 1365.35315 1366.69531 1365.74597
20010813 1365.99585 1366.46057 1365.53577 1366.84888 1365.92810
20010814 1366.29248 1366.74585 1365.83911 1367.13428 1366.23083
20010815 1366.49500 1366.92200 1366.04260 1367.31042 1366.43335
20010816 1366.63464 1367.09912 1366.17029 1367.48767 1366.55994
20010817 1366.75037 1367.20703 1366.29370 1367.59570 1366.68201
20010818 1366.47729 1366.93176 1366.02271 1367.32056 1366.40955
20010819 1366.17334 1366.62903 1365.71777 1367.01770 1366.10254
20010820 1365.96094 1366.41724 1365.50476 1366.80518 1365.88672
20010821 1365.91113 1366.35938 1365.45776 1366.74634 1365.83643
20010822 1366.01563 1366.47131 1365.56006 1366.85693 1365.93494
20010823 1366.23694 1366.70923 1365.76428 1367.09338 1366.13525
20010824 1366.36658 1366.83313 1365.90027 1367.21558 1366.26709
20010825 1366.30481 1366.76355 1365.84595 1367.14441 1366.20862
20010826 1366.15918 1366.61975 1365.69861 1366.99939 1366.05713
20010827 1366.08752 1366.55444 1365.62048 1366.93286 1365.97510
20010828 1366.09741 1366.56958 1365.62476 1366.94690 1365.97534
20010829 1366.04529 1366.50439 1365.58630 1366.88062 1365.93335
20010830 1365.87561 1366.34070 1365.41064 1366.71606 1365.75415
20010831 1365.83911 1366.30396 1365.37427 1366.67847 1365.71448
20010901 1365.85657 1366.30933 1365.40369 1366.68311 1365.74084
20010902 1365.82019 1366.27258 1365.36987 1366.64551 1365.70386
20010903 1365.82227 1366.28174 1365.36267 1366.65405 1365.69409
20010904 1365.91064 1366.32263 1365.45996 1366.69446 1365.78833
20010905 1365.95325 1366.41846 1365.48804 1366.78992 1365.81360
20010906 1366.19238 1366.65503 1365.73059 1367.02625 1366.05334
20010907 1366.25696 1366.71655 1365.79736 1367.08752 1366.11768
20010908 1366.05505 1366.48132 1365.60925 1366.85217 1365.92700
20010909 1365.63562 1366.09119 1365.18005 1366.46204 1365.49548
20010910 1365.32092 1365.77209 1364.86975 1366.14282 1365.18298
20010911 1365.43945 1365.83691 1364.98853 1366.20752 1365.29980
20010912 1365.66284 1366.10498 1365.22168 1366.47546 1365.53125
20010913 1366.00854 1366.47937 1365.53772 1366.84973 1365.84583
20010914 1366.31848 1366.75916 1365.87769 1367.12952 1366.18457
20010915 1366.59741 1367.05322 1366.13916 1367.42371 1366.44495
20010916 1366.70105 1367.15381 1366.25012 1367.52502 1366.55505
20010917 1366.67639 1367.12720 1366.22083 1367.49939 1366.52515
20010918 1366.45679 1366.90491 1365.99817 1367.27820 1366.30188
20010919 1366.33789 1366.77673 1365.89893 1367.15063 1366.20203
20010920 1366.18604 1366.61475 1365.74304 1366.98938 1366.04553
20010921 1365.99927 1366.43372 1365.58643 1366.80896 1365.88831
20010922 1365.70142 1366.14404 1365.24561 1366.51990 1365.54675
20010923 1365.53699 1365.99146 1365.08252 1366.36804 1365.38318
20010924 1365.32373 1365.80054 1364.84680 1366.17773 1365.14697
20010925 1365.28748 1365.73511 1364.83972 1366.11316 1365.13916
20010926 1365.48523 1365.94812 1365.01855 1366.32703 1365.31738
20010927 1365.66870 1366.11487 1365.22461 1366.49451 1365.52258
20010928 1365.87646 1366.34106 1365.39258 1366.72168 1365.68994
20010929 1366.06348 1366.55542 1365.57153 1366.93677 1365.86804
20010930 1366.23706 1366.68457 1365.78967 1367.06689 1366.08533
20011001 1366.37854 1366.83484 1365.92236 1367.21790 1366.21741
20011002 1366.57581 1367.08716 1366.06628 1367.47107 1366.36047
20011003 1366.92505 1367.41833 1366.43164 1367.80298 1366.72534
20011004 1367.26416 1367.74902 1366.77942 1368.13440 1367.07239
20011005 1367.37476 1367.83936 1366.90112 1368.22546 1367.19348
20011006 1367.16016 1367.65955 1366.66016 1368.04639 1366.95190
20011007 1366.96838 1367.47107 1366.48169 1367.85840 1366.77295
20011008 1366.83496 1367.32251 1366.34766 1367.71057 1366.63831
20011009 1366.93616 1367.41846 1366.45374 1367.80713 1366.74390
20011010 1367.07141 1367.56030 1366.58240 1367.94983 1366.87183
20011011 1367.11121 1367.56470 1366.65771 1367.95496 1366.94641
20011012 1367.01343 1367.48669 1366.53552 1367.87781 1366.82349
20011013 1366.76587 1367.24634 1366.28552 1367.63806 1366.57288
20011014 1366.44946 1366.94043 1365.95850 1367.33289 1366.24524
20011015 1366.28613 1366.78723 1365.78516 1367.18030 1366.07141
20011016 1366.21240 1366.70300 1365.69910 1367.09668 1365.98486
20011017 1366.17981 1366.66724 1365.70801 1367.06128 1365.99341
20011018 1366.22119 1366.70093 1365.74304 1367.09558 1366.02808
20011019 1366.34668 1366.81152 1365.88196 1367.20654 1366.16650
20011020 1366.47644 1366.93872 1366.01416 1367.33423 1366.29834
20011021 1366.54126 1366.99817 1366.07983 1367.39429 1366.36353
20011022 1366.58203 1367.05872 1366.10754 1367.45544 1366.39075
20011023 1366.70654 1367.15149 1366.24280 1367.54883 1366.52551
20011024 1366.70447 1367.15161 1366.25024 1367.54956 1366.53247
20011025 1366.53296 1366.99048 1366.07544 1367.38879 1366.35730
20011026 1366.27332 1366.73865 1365.80798 1367.13733 1366.08960
20011027 1366.10901 1366.57629 1365.64160 1366.97534 1365.92297
20011028 1365.87939 1366.34436 1365.41455 1366.74365 1365.69568
20011029 1365.60547 1366.07788 1365.13306 1366.47717 1365.41418
20011030 1365.51111 1365.93408 1365.06470 1366.33362 1365.34583
20011031 1365.57068 1366.01697 1365.12439 1366.41675 1365.40527
20011101 1365.76440 1366.21362 1365.30383 1366.61377 1365.58447
20011102 1365.90906 1366.36230 1365.45581 1366.76245 1365.73633
20011103 1366.06982 1366.51355 1365.62598 1366.91370 1365.90674
20011104 1366.30188 1366.76514 1365.84265 1367.16516 1366.12366
20011105 1366.47205 1366.92188 1366.02234 1367.32166 1366.30371
20011106 1366.47522 1366.93591 1365.99597 1367.33557 1366.27759
20011107 1366.34143 1366.80798 1365.87256 1367.20740 1366.15454
20011108 1365.88354 1366.33569 1365.42615 1366.73486 1365.70837
20011109 1365.50342 1365.95288 1365.04907 1366.35193 1365.33142
20011110 1365.50452 1365.98999 1365.01892 1366.38904 1365.30151
20011111 1365.89441 1366.35559 1365.44067 1366.75439 1365.72351
20011112 1366.09753 1366.56836 1365.63342 1366.96680 1365.91663
20011113 1366.34814 1366.80542 1365.89087 1367.20337 1366.17480
20011114 1366.62830 1367.11023 1366.14636 1367.50769 1366.43079
20011115 1366.73730 1367.22217 1366.25256 1367.61914 1366.53760
20011116 1366.70142 1367.13477 1366.24255 1367.53125 1366.52820
20011117 1366.38928 1366.86475 1365.91272 1367.26074 1366.19885
20011118 1366.26208 1366.74243 1365.78174 1367.13818 1366.06824
20011119 1366.26685 1366.74219 1365.79163 1367.13770 1366.07837
20011120 1366.35620 1366.85718 1365.85522 1367.25256 1366.14221
20011121 1366.70422 1367.21008 1366.23877 1367.60535 1366.52600
20011122 1366.91785 1367.39233 1366.44348 1367.78760 1366.73071
20011123 1366.96729 1367.44031 1366.49036 1367.83545 1366.77795
20011124 1367.03809 1367.50891 1366.56726 1367.90356 1366.85535
20011125 1367.01685 1367.46729 1366.56775 1367.86121 1366.85657
20011126 1366.83826 1367.32678 1366.34961 1367.72021 1366.63904
20011127 1366.58154 1367.05457 1366.10901 1367.44763 1366.39880
20011128 1366.31836 1366.74170 1365.86560 1367.13452 1366.15576
20011129 1366.09924 1366.53113 1365.63794 1366.92371 1365.92834
20011130 1365.83398 1366.32275 1365.34326 1366.71509 1365.63403
20011201 1365.78931 1366.25586 1365.33679 1366.64783 1365.62817
20011202 1365.90491 1366.37366 1365.43213 1366.76526 1365.72388
20011203 1366.04858 1366.52051 1365.58032 1366.91187 1365.87256
20011204 1366.23254 1366.70508 1365.76013 1367.09619 1366.05249
20011205 1366.25183 1366.70691 1365.79175 1367.09766 1366.08459
20011206 1366.30737 1366.76563 1365.84912 1367.15613 1366.14221
20011207 1366.56946 1367.00818 1366.13025 1367.39844 1366.42383
20011208 1366.98010 1367.41638 1366.54089 1367.80640 1366.83484
20011209 1367.11292 1367.56384 1366.66199 1367.95361 1366.95618
20011210 1366.90515 1367.35608 1366.45410 1367.74561 1366.74866
20011211 1366.74438 1367.19128 1366.30151 1367.58057 1366.59631
20011212 1366.77246 1367.16467 1366.33667 1367.55383 1366.63184
20011213 1366.82312 1367.25952 1366.38684 1367.64832 1366.68213
20011214 1366.78906 1367.23010 1366.34802 1367.61877 1366.64355
20011215 1366.70227 1367.13745 1366.26697 1367.52588 1366.56287
20011216 1366.84937 1367.24817 1366.42407 1367.63635 1366.72034
20011217 1367.07703 1367.51697 1366.63721 1367.90491 1366.93372
20011218 1367.30249 1367.74768 1366.85718 1368.13538 1367.15417
20011219 1367.27319 1367.72644 1366.82007 1368.11377 1367.11743
