19960119 142920 1365.53112  -99.00000 1365.00591  -99.00000 1365.20162
19960119 152920 1365.48309  -99.00000 1364.95791  -99.00000 1365.15384
19960119 162920 1365.49596  -99.00000 1364.97078  -99.00000 1365.16693
19960119 172920 1365.52432  -99.00000 1364.99913  -99.00000 1365.19550
19960119 182920 1365.54245  -99.00000 1365.01725  -99.00000 1365.21385
19960119 192920 1365.54647  -99.00000 1365.02128  -99.00000 1365.21809
19960119 202920 1365.52912  -99.00000 1365.00394  -99.00000 1365.20095
19960119 212920 1365.51661  -99.00000 1364.99143  -99.00000 1365.18866
19960119 222920 1365.51633  -99.00000 1364.99116  -99.00000 1365.18859
19960119 232920 1365.50401  -99.00000 1364.97883  -99.00000 1365.17647
19960120 002920 1365.48970  -99.00000 1364.96453  -99.00000 1365.16236
19960120 012920 1365.48444  -99.00000 1364.95928  -99.00000 1365.15731
19960120 022920 1365.51431  -99.00000 1364.98913  -99.00000 1365.18736
19960120 032920 1365.52571  -99.00000 1365.00053  -99.00000 1365.19894
19960120 042920 1365.54957  -99.00000 1365.02437  -99.00000 1365.22297
19960120 052920 1365.57172  -99.00000 1365.04652  -99.00000 1365.24530
19960120 062920 1365.56397  -99.00000 1365.03876  -99.00000 1365.23772
19960120 072920 1365.54200  -99.00000 1365.01679  -99.00000 1365.21594
19960120 082920 1365.55613  -99.00000 1365.03092  -99.00000 1365.23024
19960120 092920 1365.57879  -99.00000 1365.05357  -99.00000 1365.25306
19960120 102920 1365.56950  -99.00000 1365.04427  -99.00000 1365.24393
19960120 112920 1365.54898  -99.00000 1365.02375  -99.00000 1365.22358
19960120 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960120 132920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960120 142920 1365.47740  -99.00000 1364.95220  -99.00000 1365.15251
19960120 152920 1365.50933  -99.00000 1364.98412  -99.00000 1365.18458
19960120 162920 1365.51694  -99.00000 1364.99173  -99.00000 1365.19235
19960120 172920 1365.51138  -99.00000 1364.98616  -99.00000 1365.18693
19960120 182920 1365.50898  -99.00000 1364.98376  -99.00000 1365.18468
19960120 192920 1365.50544  -99.00000 1364.98022  -99.00000 1365.18129
19960120 202920 1365.49243  -99.00000 1364.96722  -99.00000 1365.16843
19960120 212920 1365.51269  -99.00000 1364.98747  -99.00000 1365.18882
19960120 222920 1365.54227  -99.00000 1365.01704  -99.00000 1365.21852
19960120 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 002920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 012920 1365.50016  -99.00000 1364.97495  -99.00000 1365.17683
19960121 022920 1365.51734  -99.00000 1364.99212  -99.00000 1365.19412
19960121 032920 1365.51067  -99.00000 1364.98546  -99.00000 1365.18759
19960121 042920 1365.51589  -99.00000 1364.99067  -99.00000 1365.19292
19960121 052920 1365.51508  -99.00000 1364.98986  -99.00000 1365.19223
19960121 062920 1365.50232  -99.00000 1364.97711  -99.00000 1365.17960
19960121 072920 1365.51647  -99.00000 1364.99125  -99.00000 1365.19385
19960121 082920 1365.51885  -99.00000 1364.99364  -99.00000 1365.19635
19960121 092920 1365.49999  -99.00000 1364.97478  -99.00000 1365.17760
19960121 102920 1365.48718  -99.00000 1364.96198  -99.00000 1365.16490
19960121 112920 1365.48252  -99.00000 1364.95731  -99.00000 1365.16034
19960121 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 132920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 142920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960121 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
